Method,Name,Error,Occurrences
GET,/api/shipping/calc/3367000,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-837,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/cart/anonymous-837,1
GET,/api/cart/add/anonymous-633/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-633/SHCE/1,1
GET,/api/shipping/calc/5966789,504 Server Error: Gateway Time-out for url: http://20.117.85.216/api/shipping/calc/5966789,1
GET,/api/ratings/api/fetch/EMM,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/ratings/api/fetch/EMM,22
GET,/api/cart/add/anonymous-790/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-790/EPE/1,1
GET,/api/cart/add/anonymous-639/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-639/UHJ/1,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,7
PUT,/api/ratings/api/rate/EMM/4,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/ratings/api/rate/EMM/4,2
GET,/api/cart/add/anonymous-810/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-810/UHJ/1,1
GET,/api/cart/add/anonymous-786/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-786/HPTD/1,1
POST,/api/payment/pay/anonymous-946,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.216/api/payment/pay/anonymous-946,2
POST,/api/payment/pay/anonymous-681,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.216/api/payment/pay/anonymous-681,1
GET,/api/cart/add/anonymous-37/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-540/HPTD/2,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/update/anonymous-540/HPTD/2,1
GET,/api/cart/update/anonymous-464/STAN-1/2,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/update/anonymous-464/STAN-1/2,1
GET,/api/shipping/calc/4050348,504 Server Error: Gateway Time-out for url: http://20.117.85.216/api/shipping/calc/4050348,1
GET,/api/cart/add/anonymous-720/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-720/Watson/1,1
GET,/api/cart/cart/anonymous-752,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/cart/anonymous-752,1
GET,/api/shipping/calc/3202799,504 Server Error: Gateway Time-out for url: http://20.117.85.216/api/shipping/calc/3202799,1
GET,/api/cart/add/anonymous-824/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-565,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/cart/anonymous-565,2
PUT,/api/ratings/api/rate/EMM/5,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/ratings/api/rate/EMM/5,2
POST,/api/shipping/confirm/anonymous-731,404 Client Error:  for url: http://20.117.85.216/api/shipping/confirm/anonymous-731,1
GET,/api/cart/cart/anonymous-623,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/cart/anonymous-623,2
POST,/api/payment/pay/anonymous-707,404 Client Error: NOT FOUND for url: http://20.117.85.216/api/payment/pay/anonymous-707,1
GET,/api/cart/update/anonymous-841/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-560/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-560/RMC/1,1
GET,/api/cart/cart/anonymous-125,404 Client Error: Not Found for url: http://20.117.85.216/api/cart/cart/anonymous-125,1
GET,/api/shipping/calc/3808837,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/shipping/calc/3808837,1
GET,/api/cart/add/anonymous-594/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-594/HPTD/1,1
GET,/api/cart/add/anonymous-550/RED/1,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/add/anonymous-550/RED/1,1
GET,/api/cart/cart/anonymous-604,502 Server Error: Bad Gateway for url: http://20.117.85.216/api/cart/cart/anonymous-604,1
