Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645834158,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645834159,10,,Aggregated,0.000000,0.000000,46,51,59,65,77,81,390,390,390,390,390,50,0,40,52.2759362800025,8.481069000026764,389.4449750000035,477.54
1645834160,20,,Aggregated,0.000000,0.000000,53,67,80,110,160,200,470,510,510,510,510,117,0,53,79.67404521367577,8.481069000026764,513.1287789999988,486.4957264957265
1645834161,30,,Aggregated,44.000000,0.000000,49,66,80,110,190,390,630,750,830,830,830,163,0,49,91.96581844785293,8.481069000026764,831.1896469999738,504.44171779141107
1645834162,40,,Aggregated,49.500000,0.000000,58,76,100,130,210,330,510,700,830,830,830,219,0,58,98.53928755250989,8.481069000026764,831.1896469999738,525.9589041095891
1645834163,50,,Aggregated,49.666667,0.000000,59,80,110,130,200,270,510,700,830,830,830,276,0,59,95.65355416666425,8.481069000026764,831.1896469999738,478.79347826086956
1645834164,60,,Aggregated,49.250000,0.000000,58,76,96,120,190,250,470,630,830,830,830,313,0,58,88.62579569328861,8.481069000026764,831.1896469999738,481.0063897763578
1645834165,70,,Aggregated,53.600000,0.000000,55,75,87,110,180,240,390,630,830,830,830,370,0,55,83.26611012162036,8.481069000026764,831.1896469999738,473.4513513513514
1645834166,80,,Aggregated,51.000000,0.000000,58,76,96,110,180,240,390,510,830,830,830,410,0,58,85.29450917804769,8.481069000026764,831.1896469999738,491.85121951219514
1645834167,90,,Aggregated,50.142857,0.000000,59,82,110,120,170,240,350,510,830,830,830,494,0,59,87.48704282590894,6.440050999970026,831.1896469999738,482.331983805668
1645834168,100,,Aggregated,49.500000,0.000000,61,84,110,120,170,230,330,510,830,830,830,582,0,61,86.50977867697421,5.372043000022586,831.1896469999738,466.2560137457045
1645834169,110,,Aggregated,50.666667,0.000000,59,81,110,120,170,220,330,510,830,830,830,651,0,59,85.38162177111994,5.372043000022586,831.1896469999738,464.82027649769583
