Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2830,390,28000.0,160710.98508887048,2.905919999989237,1718813.818292,2249.947703180212,0.7829142140377884,0.10789277154584363,28000,59000,76000,89000,311000,1368000,1545000,1588000,1718000,1719000,1719000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,47740.6324829999,47740.6324829999,47740.6324829999,47740.6324829999,137.0,0.0002766481321688298,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,45817.52051100011,45817.52051100011,45817.52051100011,45817.52051100011,220.0,0.0002766481321688298,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/cart/add/anonymous-1/RED/1,2,0,59.3589149999616,68.6744299999873,59.3589149999616,77.989945000013,133.0,0.0005532962643376596,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/cart/add/anonymous-1/RMC/1,2,0,39.39137899999423,68.60273550000784,39.39137899999423,97.81409200002145,108.5,0.0005532962643376596,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,36702.92019499993,36702.92019499993,36702.92019499993,36702.92019499993,138.0,0.0002766481321688298,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-10/EMM/1,1,0,87.42630699998699,87.42630699998699,87.42630699998699,87.42630699998699,214.0,0.0002766481321688298,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/api/cart/add/anonymous-10/EPE/1,1,0,46906.62590300008,46906.62590300008,46906.62590300008,46906.62590300008,129.0,0.0002766481321688298,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-10/RED/1,1,0,78.05084899996473,78.05084899996473,78.05084899996473,78.05084899996473,132.0,0.0002766481321688298,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,97.1126830000344,97.1126830000344,97.1126830000344,97.1126830000344,196.0,0.0002766481321688298,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/api/cart/add/anonymous-10/UHJ/1,2,0,110.0,23521.699195000052,107.83694999997806,46935.56144000013,173.5,0.0005532962643376596,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-10/Watson/1,1,0,27810.619978999966,27810.619978999966,27810.619978999966,27810.619978999966,106.0,0.0002766481321688298,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-100/EMM/1,1,0,114.31865599996627,114.31865599996627,114.31865599996627,114.31865599996627,215.0,0.0002766481321688298,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,98640.93993699999,98640.93993699999,98640.93993699999,98640.93993699999,121.0,0.0002766481321688298,0.0,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
GET,/api/cart/add/anonymous-100/RMC/1,1,0,60.689801000023635,60.689801000023635,60.689801000023635,60.689801000023635,108.0,0.0002766481321688298,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,104268.95111700014,104268.95111700014,104268.95111700014,104268.95111700014,233.0,0.0002766481321688298,0.0,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,42708.79063799976,42708.79063799976,42708.79063799976,42708.79063799976,111.0,0.0002766481321688298,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/api/cart/add/anonymous-100/UHJ/1,2,0,204.17095299995935,236.20676449999678,204.17095299995935,268.2425760000342,139.5,0.0005532962643376596,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,104223.96001300012,104223.96001300012,104223.96001300012,104223.96001300012,111.0,0.0002766481321688298,0.0,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000,104000
GET,/api/cart/add/anonymous-1001/UHJ/1,1,0,54985.091577000276,54985.091577000276,54985.091577000276,54985.091577000276,138.0,0.0002766481321688298,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-101/EMM/1,2,0,80.05012900002839,31092.317547999985,80.05012900002839,62104.58496699994,137.0,0.0005532962643376596,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-101/SHCE/1,2,0,48.390619000031165,125.82758300001728,48.390619000031165,203.2645470000034,176.5,0.0005532962643376596,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-101/UHJ/1,2,0,330.0,19940.227865999987,326.6142630000104,39553.84146899996,184.0,0.0005532962643376596,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1010/EPE/1,1,0,23836.884960000134,23836.884960000134,23836.884960000134,23836.884960000134,220.0,0.0002766481321688298,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1010/UHJ/1,1,0,1692.588784000236,1692.588784000236,1692.588784000236,1692.588784000236,138.0,0.0002766481321688298,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/cart/add/anonymous-1011/EMM/1,1,0,81947.76546399998,81947.76546399998,81947.76546399998,81947.76546399998,137.0,0.0002766481321688298,0.0,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000
