Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/HPTD,500 Server Error: Internal Server Error for url: http://20.108.42.173/api/ratings/api/fetch/HPTD,7
GET,/api/cart/update/anonymous-658/EPE/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-658/EPE/2,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,6
GET,/api/cart/add/anonymous-781/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-781/EPE/1,1
POST,/api/payment/pay/anonymous-544,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-544,1
POST,/api/shipping/confirm/anonymous-374,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/confirm/anonymous-374,1
GET,/api/cart/add/anonymous-861/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-639,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-639,1
GET,/api/cart/cart/anonymous-614,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-614,1
GET,/api/cart/add/anonymous-795/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-795/EPE/1,1
GET,/api/cart/update/anonymous-601/SHCE/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-601/SHCE/2,1
GET,/api/shipping/calc/5378113,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/calc/5378113,1
GET,/api/cart/add/anonymous-773/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-773/EMM/1,1
GET,/api/catalogue/product/HPTD,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/catalogue/product/HPTD,4
GET,/api/shipping/calc/4594770,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/calc/4594770,1
GET,/api/cart/add/anonymous-621/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-621/RMC/1,1
GET,/api/cart/add/anonymous-924/EMM/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-418,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/confirm/anonymous-418,1
GET,/api/cart/update/anonymous-617/Watson/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-617/Watson/2,1
POST,/api/shipping/confirm/anonymous-579,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-579,1
GET,/api/cart/add/anonymous-600/SHCE/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-600/SHCE/1,1
POST,/api/shipping/confirm/anonymous-417,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/confirm/anonymous-417,1
GET,/api/shipping/calc/3199635,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/calc/3199635,1
GET,/api/cart/cart/anonymous-628,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-628,1
POST,/api/shipping/confirm/anonymous-1029,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-1029,1
GET,/api/cart/update/anonymous-585/EPE/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-585/EPE/2,1
POST,/api/shipping/confirm/anonymous-893,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-705,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-306,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-306,1
POST,/api/shipping/confirm/anonymous-848,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-848,1
GET,/api/cart/cart/anonymous-736,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-736,1
GET,/api/cart/cart/anonymous-599,Remote end closed connection without response,1
GET,/api/catalogue/product/RMC,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/catalogue/product/RMC,3
GET,/api/shipping/calc/3911659,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/calc/3911659,1
GET,/api/cart/cart/anonymous-769,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-769,1
POST,/api/payment/pay/anonymous-750,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-750,1
GET,/api/cart/cart/anonymous-610,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-610,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,5
GET,/api/cart/cart/anonymous-903,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-903,1
GET,/api/cart/update/anonymous-636/RMC/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-636/RMC/2,1
GET,/api/shipping/cities/ru,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/cities/ru,1
GET,/api/cart/cart/anonymous-602,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-602,1
PUT,/api/ratings/api/rate/EMM/4,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-750,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-750,1
GET,/api/cart/cart/anonymous-799,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-607,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-607,1
POST,/api/shipping/confirm/anonymous-984,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-984,1
GET,/api/cart/update/anonymous-803/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3843110,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/calc/3843110,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/cities/jp,16
POST,/api/shipping/confirm/anonymous-860,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-860,1
GET,/api/shipping/calc/6072657,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-888,404 Client Error: NOT FOUND for url: http://20.108.42.173/api/payment/pay/anonymous-888,1
GET,/api/cart/cart/anonymous-799,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-799,1
GET,/api/cart/update/anonymous-672/RED/2,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/update/anonymous-672/RED/2,1
POST,/api/shipping/confirm/anonymous-506,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-506,1
GET,/api/cart/add/anonymous-947/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-532,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-532,1
POST,/api/payment/pay/anonymous-487,404 Client Error: NOT FOUND for url: http://20.108.42.173/api/payment/pay/anonymous-487,1
PUT,/api/ratings/api/rate/HPTD/5,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/ratings/api/rate/HPTD/5,1
GET,/api/cart/add/anonymous-114/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4592454,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/calc/4592454,1
GET,/api/cart/cart/anonymous-623,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-623,1
GET,/api/cart/update/anonymous-996/EPE/2,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/update/anonymous-996/EPE/2,1
GET,/api/cart/add/anonymous-618/UHJ/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-618/UHJ/1,1
GET,/api/cart/add/anonymous-868/HPTD/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-868/HPTD/1,1
GET,/,Remote end closed connection without response,54
GET,/api/cart/cart/anonymous-717,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-717,1
POST,/api/shipping/confirm/anonymous-25,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/confirm/anonymous-25,1
GET,/api/cart/update/anonymous-568/RMC/2,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/update/anonymous-568/RMC/2,1
GET,/api/cart/cart/anonymous-650,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-650,1
GET,/api/cart/add/anonymous-731/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-731/EMM/1,1
POST,/api/shipping/confirm/anonymous-373,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/confirm/anonymous-373,1
POST,/api/shipping/confirm/anonymous-981,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-981,1
POST,/api/payment/pay/anonymous-478,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-478,1
GET,/api/cart/add/anonymous-717/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-717/STAN-1/1,1
GET,/api/cart/cart/anonymous-540,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-540,1
GET,/api/cart/cart/anonymous-655,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-655,1
GET,/api/cart/add/anonymous-617/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-617/EMM/1,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,6
GET,/api/cart/cart/anonymous-688,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-688,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/cities/cz,10
GET,/api/cart/add/anonymous-823/SHCE/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-823/SHCE/1,1
GET,/api/shipping/cities/tr,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-828/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-828/STAN-1/1,1
GET,/api/shipping/calc/5088599,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-669,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-312/RED/2,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/update/anonymous-312/RED/2,1
PUT,/api/ratings/api/rate/UHJ/2,500 Server Error: Internal Server Error for url: http://20.108.42.173/api/ratings/api/rate/UHJ/2,1
GET,/api/cart/add/anonymous-900/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-900/RMC/1,1
POST,/api/payment/pay/anonymous-630,404 Client Error: NOT FOUND for url: http://20.108.42.173/api/payment/pay/anonymous-630,1
GET,/api/cart/cart/anonymous-806,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-806,1
GET,/api/cart/update/anonymous-557/RMC/2,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/update/anonymous-557/RMC/2,1
GET,/api/shipping/calc/3399030,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/shipping/calc/3399030,1
PUT,/api/ratings/api/rate/Watson/4,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/ratings/api/rate/Watson/4,1
GET,/api/cart/add/anonymous-831/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-642,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/payment/pay/anonymous-642,1
GET,/api/cart/cart/anonymous-649,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-723/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-723/RMC/1,1
POST,/api/payment/pay/anonymous-734,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-734,1
GET,/api/ratings/api/fetch/RED,500 Server Error: Internal Server Error for url: http://20.108.42.173/api/ratings/api/fetch/RED,7
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/cities/se,10
POST,/api/payment/pay/anonymous-981,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-981,1
GET,/api/cart/cart/anonymous-556,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-556,1
GET,/api/cart/add/anonymous-833/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/add/anonymous-833/STAN-1/1,1
POST,/api/payment/pay/anonymous-1025,404 Client Error: NOT FOUND for url: http://20.108.42.173/api/payment/pay/anonymous-1025,1
POST,/api/payment/pay/anonymous-1,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-1,1
GET,/api/cart/add/anonymous-8/RMC/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-671,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-671,1
POST,/api/payment/pay/anonymous-612,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-612,1
GET,/api/cart/cart/anonymous-1057,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-1057,1
GET,/api/cart/cart/anonymous-619,404 Client Error: Not Found for url: http://20.108.42.173/api/cart/cart/anonymous-619,1
GET,/api/cart/cart/anonymous-674,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/cart/cart/anonymous-674,2
GET,/api/ratings/api/fetch/HPTD,502 Server Error: Bad Gateway for url: http://20.108.42.173/api/ratings/api/fetch/HPTD,5
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4181802,504 Server Error: Gateway Time-out for url: http://20.108.42.173/api/shipping/calc/4181802,1
POST,/api/payment/pay/anonymous-506,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.42.173/api/payment/pay/anonymous-506,1
POST,/api/shipping/confirm/anonymous-563,404 Client Error:  for url: http://20.108.42.173/api/shipping/confirm/anonymous-563,1
GET,/api/cart/update/anonymous-959/EPE/2,Remote end closed connection without response,1
