Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-638,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-834,500 Server Error: INTERNAL SERVER ERROR for url: http://13.87.72.38/api/payment/pay/anonymous-834,1
POST,/api/shipping/confirm/anonymous-881,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-881,1
POST,/api/shipping/confirm/anonymous-854,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-854,1
GET,/api/cart/update/anonymous-338/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-686/Watson/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-686/Watson/1,1
GET,/api/shipping/calc/3400681,504 Server Error: Gateway Time-out for url: http://13.87.72.38/api/shipping/calc/3400681,1
GET,/api/cart/update/anonymous-983/RED/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-983/RED/2,1
GET,/api/cart/update/anonymous-661/RMC/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/update/anonymous-661/RMC/2,1
GET,/api/cart/update/anonymous-461/Watson/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-461/Watson/2,1
GET,/api/cart/add/anonymous-591/RMC/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-591/RMC/1,1
GET,/api/cart/update/anonymous-721/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-777/EPE/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-777/EPE/1,1
GET,/api/cart/update/anonymous-800/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-732/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-732/RED/1,1
GET,/api/cart/cart/anonymous-569,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-569,1
POST,/api/shipping/confirm/anonymous-636,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-636,1
GET,/api/cart/cart/anonymous-707,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-707,1
GET,/api/catalogue/product/EPE,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/catalogue/product/EPE,10
GET,/api/cart/add/anonymous-658/UHJ/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-658/UHJ/1,1
GET,/api/cart/add/anonymous-596/HPTD/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-596/HPTD/1,1
POST,/api/shipping/confirm/anonymous-634,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-634,1
GET,/api/cart/add/anonymous-830/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-824,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-824,1
GET,/api/cart/cart/anonymous-707,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-707,1
GET,/api/cart/add/anonymous-669/EPE/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-669/EPE/1,1
GET,/api/cart/cart/anonymous-987,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-987,1
GET,/api/cart/update/anonymous-465/STAN-1/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-465/STAN-1/2,1
GET,/api/cart/cart/anonymous-712,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-564/RMC/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-564/RMC/2,1
GET,/api/cart/cart/anonymous-121,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-121,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://13.87.72.38/api/shipping/cities/us,13
PUT,/api/ratings/api/rate/HPTD/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/rate/HPTD/2,2
GET,/api/cart/cart/anonymous-828,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-828,1
GET,/api/cart/add/anonymous-645/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-645/RED/1,1
POST,/api/shipping/confirm/anonymous-993,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-993,1
GET,/api/cart/update/anonymous-477/SHCE/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-477/SHCE/2,2
PUT,/api/ratings/api/rate/EPE/4,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/rate/EPE/4,3
GET,/api/cart/add/anonymous-852/RMC/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-852/RMC/1,1
GET,/api/cart/add/anonymous-651/EMM/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-651/EMM/1,1
GET,/api/cart/add/anonymous-747/EMM/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-747/EMM/1,1
GET,/api/cart/cart/anonymous-278,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-278,1
GET,/api/cart/cart/anonymous-875,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-875,1
GET,/api/cart/add/anonymous-701/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-630/STAN-1/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-630/STAN-1/1,1
POST,/api/payment/pay/anonymous-633,404 Client Error: NOT FOUND for url: http://13.87.72.38/api/payment/pay/anonymous-633,1
POST,/api/payment/pay/anonymous-962,500 Server Error: INTERNAL SERVER ERROR for url: http://13.87.72.38/api/payment/pay/anonymous-962,1
GET,/api/cart/update/anonymous-463/RED/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/update/anonymous-463/RED/2,1
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://13.87.72.38/api/shipping/cities/dk,1
GET,/api/cart/add/anonymous-779/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-689/EPE/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-689/EPE/1,1
POST,/api/shipping/confirm/anonymous-731,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-731,1
PUT,/api/ratings/api/rate/SHCE/5,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/rate/SHCE/5,2
GET,/api/cart/cart/anonymous-532,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-532,1
GET,/api/cart/cart/anonymous-735,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-735,1
PUT,/api/ratings/api/rate/RMC/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/rate/RMC/2,1
GET,/api/cart/update/anonymous-122/UHJ/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-122/UHJ/2,1
GET,/api/cart/cart/anonymous-501,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-501,1
GET,/api/cart/add/anonymous-592/RMC/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-592/RMC/1,1
POST,/api/shipping/confirm/anonymous-798,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-798,1
GET,/api/cart/cart/anonymous-624,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-761/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-761/RED/1,1
GET,/api/shipping/calc/3368838,504 Server Error: Gateway Time-out for url: http://13.87.72.38/api/shipping/calc/3368838,1
GET,/api/cart/add/anonymous-749/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-749/RED/1,2
GET,/api/cart/add/anonymous-732/EMM/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-732/EMM/1,1
GET,/api/cart/update/anonymous-520/EMM/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/update/anonymous-520/EMM/2,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,6
POST,/api/payment/pay/anonymous-663,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-535,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-535,1
GET,/api/cart/add/anonymous-693/EPE/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-693/EPE/1,1
GET,/api/cart/update/anonymous-460/STAN-1/2,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/update/anonymous-460/STAN-1/2,1
GET,/api/cart/add/anonymous-628/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-605/SHCE/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-605/SHCE/1,1
GET,/api/cart/cart/anonymous-487,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-487,1
GET,/api/cart/add/anonymous-997/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-799,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-799,1
POST,/api/shipping/confirm/anonymous-883,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-883,1
GET,/api/cart/add/anonymous-782/STAN-1/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-782/STAN-1/1,1
POST,/api/shipping/confirm/anonymous-771,404 Client Error:  for url: http://13.87.72.38/api/shipping/confirm/anonymous-771,1
GET,/api/cart/add/anonymous-720/EMM/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-720/EMM/1,1
GET,/api/shipping/calc/3952314,504 Server Error: Gateway Time-out for url: http://13.87.72.38/api/shipping/calc/3952314,1
GET,/api/cart/add/anonymous-707/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-707/RED/1,1
PUT,/api/ratings/api/rate/STAN-1/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/rate/STAN-1/1,2
GET,/api/cart/add/anonymous-735/RED/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-735/RED/1,1
GET,/api/cart/cart/anonymous-554,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-655/RMC/1,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/add/anonymous-655/RMC/1,1
GET,/api/cart/cart/anonymous-575,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-575,1
GET,/api/cart/cart/anonymous-434,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-434,1
GET,/api/cart/cart/anonymous-665,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-665,1
GET,/api/cart/cart/anonymous-639,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/cart/anonymous-639,2
GET,/api/catalogue/product/UHJ,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/catalogue/product/UHJ,18
GET,/api/cart/add/anonymous-913/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-641/RED/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-641/RED/2,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-857/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-90/HPTD/2,404 Client Error: Not Found for url: http://13.87.72.38/api/cart/update/anonymous-90/HPTD/2,1
GET,/api/ratings/api/fetch/EMM,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/ratings/api/fetch/EMM,28
GET,/api/cart/cart/anonymous-756,502 Server Error: Bad Gateway for url: http://13.87.72.38/api/cart/cart/anonymous-756,1
