Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3373,570,30000.0,136581.69958128792,2.5873580000279617,1453399.664074,2174.300622591165,0.934506996905397,0.15792143143672585,30000,55000,75000,95000,369000,1066000,1304000,1342000,1390000,1453000,1453000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,54193.94578499987,54193.94578499987,54193.94578499987,54193.94578499987,137.0,0.00027705514287144884,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,29873.038122000027,29873.038122000027,29873.038122000027,29873.038122000027,195.0,0.00027705514287144884,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,51429.90582500033,51429.90582500033,51429.90582500033,51429.90582500033,281.0,0.00027705514287144884,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-1/RED/1,1,0,30.383980000010524,30.383980000010524,30.383980000010524,30.383980000010524,132.0,0.00027705514287144884,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-1/STAN-1/1,3,0,74,58.163094333356945,14.753378000023076,85.91225400004987,139.66666666666666,0.0008311654286143465,0.0,74,74,86,86,86,86,86,86,86,86,86
GET,/api/cart/add/anonymous-1/Watson/1,1,0,58412.43609000003,58412.43609000003,58412.43609000003,58412.43609000003,206.0,0.00027705514287144884,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-10/RED/1,2,0,46000.0,61903.52165699983,45931.490009999834,77875.55330399983,202.0,0.0005541102857428977,0.0,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
GET,/api/cart/add/anonymous-10/RMC/1,1,0,81368.51047299978,81368.51047299978,81368.51047299978,81368.51047299978,108.0,0.00027705514287144884,0.0,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000
GET,/api/cart/add/anonymous-10/SHCE/1,2,0,13,26.37206800000058,12.756919000025846,39.98721699997532,124.0,0.0005541102857428977,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,28.144304000022657,28.144304000022657,28.144304000022657,28.144304000022657,203.0,0.00027705514287144884,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,29.4353479999927,29.4353479999927,29.4353479999927,29.4353479999927,230.0,0.00027705514287144884,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-10/Watson/1,1,0,25682.672274000197,25682.672274000197,25682.672274000197,25682.672274000197,106.0,0.00027705514287144884,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
