Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-905,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-905,1
GET,/api/cart/add/anonymous-801/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-575/RED/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5822365,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/shipping/calc/5822365,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/cities/ru,16
GET,/api/cart/cart/anonymous-610,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-610,1
GET,/api/cart/cart/anonymous-445,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-445,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,8
GET,/api/cart/add/anonymous-182/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-59/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-803/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-137/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-573/EMM/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/EPE,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/ratings/api/fetch/EPE,19
POST,/api/shipping/confirm/anonymous-642,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-642,1
GET,/api/cart/cart/anonymous-547,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-547,1
POST,/api/shipping/confirm/anonymous-527,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-527,2
GET,/api/cart/add/anonymous-597/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-597/EMM/1,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/cities/bg,10
GET,/api/cart/add/anonymous-554/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-554/HPTD/1,1
POST,/api/shipping/confirm/anonymous-868,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-868,1
GET,/api/cart/add/anonymous-556/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-556/EPE/1,1
POST,/api/shipping/confirm/anonymous-5,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-5,1
GET,/api/cart/cart/anonymous-883,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-502/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-502/SHCE/1,1
GET,/api/cart/update/anonymous-822/RED/2,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/update/anonymous-822/RED/2,1
PUT,/api/ratings/api/rate/UHJ/3,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/ratings/api/rate/UHJ/3,1
GET,/api/cart/cart/anonymous-631,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-631,1
GET,/api/cart/cart/anonymous-686,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-686,1
GET,/api/cart/update/anonymous-781/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-795/Watson/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-795/Watson/1,1
POST,/api/payment/pay/anonymous-830,404 Client Error: NOT FOUND for url: http://20.117.88.54/api/payment/pay/anonymous-830,1
GET,/api/cart/cart/anonymous-811,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-811,1
POST,/api/shipping/confirm/anonymous-942,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-942,1
GET,/api/cart/add/anonymous-939/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3208372,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/3208372,1
GET,/api/cart/add/anonymous-541/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-541/UHJ/1,1
GET,/api/cart/cart/anonymous-643,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-643,1
GET,/api/cart/cart/anonymous-696,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-696,1
GET,/api/cart/cart/anonymous-455,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-455,1
POST,/api/payment/pay/anonymous-5,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-5,1
GET,/api/cart/update/anonymous-594/RED/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-594/RED/2,1
GET,/api/shipping/calc/4048116,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/4048116,1
GET,/api/cart/add/anonymous-535/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-535/STAN-1/1,1
GET,/api/cart/cart/anonymous-434,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-434,1
GET,/api/cart/cart/anonymous-793,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-793,1
GET,/api/cart/add/anonymous-822/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-460/Watson/2,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/update/anonymous-460/Watson/2,1
GET,/api/cart/add/anonymous-818/RMC/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-818/RMC/1,1
GET,/api/cart/update/anonymous-468/RMC/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-468/RMC/2,1
GET,/api/cart/cart/anonymous-542,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-542,1
POST,/api/payment/pay/anonymous-36,429 Client Error: TOO MANY REQUESTS for url: http://20.117.88.54/api/payment/pay/anonymous-36,2
POST,/api/payment/pay/anonymous-649,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-649,1
GET,/api/cart/update/anonymous-495/RED/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-495/RED/2,1
GET,/api/cart/cart/anonymous-610,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-610,1
GET,/api/cart/add/anonymous-648/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-815/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-815/EPE/1,1
GET,/api/shipping/calc/3951431,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/3951431,1
POST,/api/shipping/confirm/anonymous-585,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-585,1
GET,/api/cart/update/anonymous-742/HPTD/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-742/HPTD/2,1
GET,/api/cart/update/anonymous-81/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-659,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-659,2
POST,/api/shipping/confirm/anonymous-671,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-671,1
GET,/api/catalogue/product/RMC,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/catalogue/product/RMC,7
GET,/api/cart/add/anonymous-524/EPE/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-524/EPE/1,1
GET,/api/cart/add/anonymous-693/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-693/STAN-1/1,1
POST,/api/shipping/confirm/anonymous-937,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-937,1
GET,/api/cart/cart/anonymous-598,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-598,1
GET,/api/cart/cart/anonymous-618,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-618,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/cities/in,18
GET,/api/cart/cart/anonymous-841,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-841,1
GET,/api/cart/cart/anonymous-538,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-538,1
GET,/api/cart/cart/anonymous-541,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-541,1
GET,/api/shipping/calc/5091665,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/5091665,1
GET,/api/cart/cart/anonymous-672,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-672,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,11
GET,/api/cart/update/anonymous-19/Watson/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-19/Watson/2,1
GET,/api/cart/cart/anonymous-677,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-677,1
POST,/api/payment/pay/anonymous-738,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-738,1
GET,/api/cart/add/anonymous-639/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-639/UHJ/1,1
GET,/api/cart/add/anonymous-835/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-835/EMM/1,1
GET,/api/shipping/calc/3760505,Remote end closed connection without response,1
GET,/api/shipping/calc/5656875,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/SHCE,500 Server Error: Internal Server Error for url: http://20.117.88.54/api/ratings/api/fetch/SHCE,1
GET,/,[Errno 111] Connection refused,1
GET,/api/cart/add/anonymous-556/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-556/HPTD/1,1
GET,/api/catalogue/product/STAN-1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/catalogue/product/STAN-1,11
GET,/api/shipping/calc/3955913,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/3955913,1
GET,/api/cart/add/anonymous-861/RED/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-861/RED/1,1
POST,/api/shipping/confirm/anonymous-885,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-885,1
POST,/api/shipping/confirm/anonymous-54,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-54,1
GET,/api/cart/cart/anonymous-513,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-513,1
GET,/api/cart/cart/anonymous-524,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-524,2
GET,/api/cart/add/anonymous-675/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-675/STAN-1/1,1
GET,/api/cart/cart/anonymous-484,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-484,1
GET,/api/cart/update/anonymous-426/RMC/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3400872,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/shipping/calc/3400872,1
GET,/api/shipping/calc/4169802,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/4169802,1
GET,/api/cart/update/anonymous-819/EMM/2,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/update/anonymous-819/EMM/2,1
POST,/api/payment/pay/anonymous-684,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-684,1
PUT,/api/ratings/api/rate/RED/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/ratings/api/rate/RED/1,1
GET,/api/cart/cart/anonymous-687,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-687,1
POST,/api/payment/pay/anonymous-817,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-817,1
GET,/api/cart/cart/anonymous-744,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-744,1
GET,/api/cart/add/anonymous-846/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-846/STAN-1/1,1
POST,/api/shipping/confirm/anonymous-26,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-35,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-564,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-564,2
POST,/api/shipping/confirm/anonymous-809,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-809,2
GET,/api/catalogue/product/UHJ,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/catalogue/product/UHJ,16
GET,/api/shipping/calc/3186614,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/3186614,1
POST,/api/shipping/confirm/anonymous-428,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/cities/br,9
POST,/api/payment/pay/anonymous-840,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.54/api/payment/pay/anonymous-840,1
POST,/api/shipping/confirm/anonymous-860,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-860,1
GET,/,Remote end closed connection without response,95
POST,/api/shipping/confirm/anonymous-755,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-755,1
GET,/api/shipping/calc/5668470,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/5668470,1
GET,/api/cart/cart/anonymous-496,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-496,1
GET,/api/cart/cart/anonymous-509,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-509,1
GET,/api/shipping/calc/5077894,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/5077894,1
GET,/api/shipping/calc/5384620,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/5384620,1
GET,/api/cart/add/anonymous-678/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-727,404 Client Error: NOT FOUND for url: http://20.117.88.54/api/payment/pay/anonymous-727,1
GET,/api/cart/cart/anonymous-535,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-535,2
GET,/api/cart/update/anonymous-740/Watson/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-762/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-762/STAN-1/1,1
GET,/api/cart/cart/anonymous-623,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-553,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-553,2
GET,/api/catalogue/product/RED,Remote end closed connection without response,8
GET,/api/shipping/cities/ru,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/shipping/cities/ru,1
GET,/api/cart/cart/anonymous-459,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-459,1
POST,/api/shipping/confirm/anonymous-814,404 Client Error:  for url: http://20.117.88.54/api/shipping/confirm/anonymous-814,1
GET,/api/cart/cart/anonymous-832,404 Client Error: Not Found for url: http://20.117.88.54/api/cart/cart/anonymous-832,1
GET,/api/ratings/api/fetch/Watson,[Errno 111] Connection refused,1
GET,/api/shipping/cities/tr,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-473/HPTD/2,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/update/anonymous-473/HPTD/2,1
POST,/api/shipping/confirm/anonymous-39,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/confirm/anonymous-39,1
GET,/api/shipping/calc/3360917,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/shipping/calc/3360917,1
GET,/api/shipping/calc/3807971,504 Server Error: Gateway Time-out for url: http://20.117.88.54/api/shipping/calc/3807971,1
GET,/api/cart/update/anonymous-426/STAN-1/2,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/update/anonymous-426/STAN-1/2,1
GET,/api/cart/cart/anonymous-870,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-800,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-498,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/cart/anonymous-498,1
GET,/api/cart/add/anonymous-559/RED/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-559/RED/1,1
GET,/api/cart/add/anonymous-560/HPTD/1,502 Server Error: Bad Gateway for url: http://20.117.88.54/api/cart/add/anonymous-560/HPTD/1,1
