Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2995,516,37000.0,163571.76244296422,3.009030999976403,1780677.534253,2165.9272120200335,0.8229271057899958,0.1417797617988774,37000,61000,79000,93000,317000,1464000,1537000,1645000,1781000,1781000,1781000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,10.527208999974391,10.527208999974391,10.527208999974391,10.527208999974391,137.0,0.00027476698023038256,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1/RMC/1,1,0,10.310504000017318,10.310504000017318,10.310504000017318,10.310504000017318,184.0,0.00027476698023038256,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,17.431678999969336,17.431678999969336,17.431678999969336,17.431678999969336,201.0,0.00027476698023038256,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,20512.342210000043,20512.342210000043,20512.342210000043,20512.342210000043,209.0,0.00027476698023038256,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1/Watson/1,3,0,22000.0,22860.752826000084,33.1090349999954,46994.611735000035,140.33333333333334,0.0008243009406911477,0.0,22000,22000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-10/EMM/1,1,0,125.96109000003253,125.96109000003253,125.96109000003253,125.96109000003253,137.0,0.00027476698023038256,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/cart/add/anonymous-10/EPE/1,3,1,77,17006.357851333254,44.86735900002259,50896.80161699971,135.0,0.0008243009406911477,0.00027476698023038256,77,77,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,40723.869476999884,40723.869476999884,40723.869476999884,40723.869476999884,138.0,0.00027476698023038256,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-10/Watson/1,2,0,20.185502999993332,25046.76608149998,20.185502999993332,50073.34665999997,157.5,0.0005495339604607651,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-100/EMM/1,2,0,110.0,11357.956235999865,109.71217399998068,22606.20029799975,175.5,0.0005495339604607651,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
