Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2835,353,27000.0,131359.13556923668,2.5178309999773774,1748710.287597,2284.0338624338624,0.7864562639962449,0.09792559477625201,27000,56000,76000,102000,302000,957000,1471000,1589000,1669000,1749000,1749000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,42.10722999999916,42.10722999999916,42.10722999999916,42.10722999999916,129.0,0.00027740961692989237,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,19.215239999994083,19.215239999994083,19.215239999994083,19.215239999994083,213.0,0.00027740961692989237,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,32.50280599996813,32.50280599996813,32.50280599996813,32.50280599996813,124.0,0.00027740961692989237,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,47.90850400002,47.90850400002,47.90850400002,47.90850400002,179.0,0.00027740961692989237,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-1/Watson/1,1,1,62452.017925999826,62452.017925999826,62452.017925999826,62452.017925999826,0.0,0.00027740961692989237,0.00027740961692989237,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-10/EMM/1,1,0,1708971.574485,1708971.574485,1708971.574485,1708971.574485,274.0,0.00027740961692989237,0.0,1709000,1709000,1709000,1709000,1709000,1709000,1709000,1709000,1709000,1709000,1709000
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,72.91681700002073,72.91681700002073,72.91681700002073,72.91681700002073,121.0,0.00027740961692989237,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/api/cart/add/anonymous-10/RED/1,1,0,73.60321800001657,73.60321800001657,73.60321800001657,73.60321800001657,132.0,0.00027740961692989237,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/api/cart/add/anonymous-10/RMC/1,1,0,90.90943299997889,90.90943299997889,90.90943299997889,90.90943299997889,210.0,0.00027740961692989237,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,60088.09743300026,60088.09743300026,60088.09743300026,60088.09743300026,366.0,0.00027740961692989237,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,88.64671499998167,88.64671499998167,88.64671499998167,88.64671499998167,200.0,0.00027740961692989237,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/api/cart/add/anonymous-100/EMM/1,1,0,54.05706599998439,54.05706599998439,54.05706599998439,54.05706599998439,206.0,0.00027740961692989237,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/api/cart/add/anonymous-100/EPE/1,1,0,21.676369000033446,21.676369000033446,21.676369000033446,21.676369000033446,200.0,0.00027740961692989237,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-100/RED/1,2,0,782.3778799997854,28124.66237400008,782.3778799997854,55466.94686800038,201.5,0.0005548192338597847,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-100/Watson/1,2,0,22.168574000033914,35.72104050002167,22.168574000033914,49.27350700000943,106.0,0.0005548192338597847,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,27091.55345399995,27091.55345399995,27091.55345399995,27091.55345399995,129.0,0.00027740961692989237,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1000/SHCE/1,1,0,24544.410567999876,24544.410567999876,24544.410567999876,24544.410567999876,222.0,0.00027740961692989237,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1001/EPE/1,2,0,48084.18395599983,62413.36621299979,48084.18395599983,76742.54846999975,219.5,0.0005548192338597847,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1001/HPTD/1,1,0,46504.08537699968,46504.08537699968,46504.08537699968,46504.08537699968,121.0,0.00027740961692989237,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1001/SHCE/1,1,0,27073.890006000056,27073.890006000056,27073.890006000056,27073.890006000056,124.0,0.00027740961692989237,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1002/EPE/1,2,0,48101.97560300003,51484.924502500005,48101.97560300003,54867.87340199998,164.5,0.0005548192338597847,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,27101.12598700016,27101.12598700016,27101.12598700016,27101.12598700016,106.0,0.00027740961692989237,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1003/EMM/1,1,0,77849.6169099999,77849.6169099999,77849.6169099999,77849.6169099999,137.0,0.00027740961692989237,0.0,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
GET,/api/cart/add/anonymous-1003/EPE/1,2,0,26000.0,56964.622981000044,25824.96097000012,88104.28499199997,210.5,0.0005548192338597847,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1003/RMC/1,1,0,26839.69369799979,26839.69369799979,26839.69369799979,26839.69369799979,108.0,0.00027740961692989237,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1004/EMM/1,1,0,29510.30601599996,29510.30601599996,29510.30601599996,29510.30601599996,137.0,0.00027740961692989237,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1004/UHJ/1,2,0,27000.0,57441.824479499934,26839.13179000001,88044.51716899985,176.0,0.0005548192338597847,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,29443.693891000294,29443.693891000294,29443.693891000294,29443.693891000294,121.0,0.00027740961692989237,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1005/SHCE/1,1,0,88024.4046910002,88024.4046910002,88024.4046910002,88024.4046910002,213.0,0.00027740961692989237,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,43653.88317799989,43653.88317799989,43653.88317799989,43653.88317799989,106.0,0.00027740961692989237,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,88036.37545699984,88036.37545699984,88036.37545699984,88036.37545699984,206.0,0.00027740961692989237,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,30872.001498999907,30872.001498999907,30872.001498999907,30872.001498999907,191.0,0.00027740961692989237,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1006/UHJ/1,1,0,56105.245625999945,56105.245625999945,56105.245625999945,56105.245625999945,138.0,0.00027740961692989237,0.0,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
GET,/api/cart/add/anonymous-1006/Watson/1,1,0,29440.881252000054,29440.881252000054,29440.881252000054,29440.881252000054,106.0,0.00027740961692989237,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1007/EMM/1,1,0,88014.3562520002,88014.3562520002,88014.3562520002,88014.3562520002,201.0,0.00027740961692989237,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1007/EPE/1,1,0,72370.73831399993,72370.73831399993,72370.73831399993,72370.73831399993,129.0,0.00027740961692989237,0.0,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
GET,/api/cart/add/anonymous-1007/SHCE/1,1,0,23344.82950199981,23344.82950199981,23344.82950199981,23344.82950199981,124.0,0.00027740961692989237,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,29511.012026000117,29511.012026000117,29511.012026000117,29511.012026000117,111.0,0.00027740961692989237,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1008/STAN-1/1,1,0,29445.4564130001,29445.4564130001,29445.4564130001,29445.4564130001,111.0,0.00027740961692989237,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1008/UHJ/1,1,0,88115.15844199994,88115.15844199994,88115.15844199994,88115.15844199994,191.0,0.00027740961692989237,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1009/EMM/1,2,0,1533.415032999983,29046.153502499918,1533.415032999983,56558.89197199985,173.0,0.0005548192338597847,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1009/HPTD/1,1,0,25494.687070000055,25494.687070000055,25494.687070000055,25494.687070000055,222.0,0.00027740961692989237,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1009/SHCE/1,1,0,51404.539048000064,51404.539048000064,51404.539048000064,51404.539048000064,124.0,0.00027740961692989237,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,55.288383999993584,55.288383999993584,55.288383999993584,55.288383999993584,214.0,0.00027740961692989237,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,824.5529719997648,824.5529719997648,824.5529719997648,824.5529719997648,271.0,0.00027740961692989237,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/api/cart/add/anonymous-101/RMC/1,1,0,37.15315800002372,37.15315800002372,37.15315800002372,37.15315800002372,184.0,0.00027740961692989237,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,30836.39329200014,30836.39329200014,30836.39329200014,30836.39329200014,111.0,0.00027740961692989237,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,60.966454000038084,60.966454000038084,60.966454000038084,60.966454000038084,138.0,0.00027740961692989237,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-101/Watson/1,1,0,9.977423000009367,9.977423000009367,9.977423000009367,9.977423000009367,106.0,0.00027740961692989237,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-1010/RED/1,1,0,30893.772400000216,30893.772400000216,30893.772400000216,30893.772400000216,132.0,0.00027740961692989237,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1011/HPTD/1,1,0,53627.50104099996,53627.50104099996,53627.50104099996,53627.50104099996,121.0,0.00027740961692989237,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1011/RED/1,2,0,22077.779432999705,53977.54103449984,22077.779432999705,85877.30263599996,210.5,0.0005548192338597847,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,79238.87630899981,79238.87630899981,79238.87630899981,79238.87630899981,106.0,0.00027740961692989237,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1012/EPE/1,1,0,87251.6459200001,87251.6459200001,87251.6459200001,87251.6459200001,207.0,0.00027740961692989237,0.0,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000
GET,/api/cart/add/anonymous-1012/RMC/1,1,0,53759.47547399983,53759.47547399983,53759.47547399983,53759.47547399983,108.0,0.00027740961692989237,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1012/SHCE/1,1,0,43635.66041300009,43635.66041300009,43635.66041300009,43635.66041300009,124.0,0.00027740961692989237,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/cart/add/anonymous-1013/STAN-1/1,1,0,29443.98269500016,29443.98269500016,29443.98269500016,29443.98269500016,111.0,0.00027740961692989237,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1014/EPE/1,1,0,88017.7059990001,88017.7059990001,88017.7059990001,88017.7059990001,200.0,0.00027740961692989237,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1014/Watson/1,1,0,29891.159416999926,29891.159416999926,29891.159416999926,29891.159416999926,106.0,0.00027740961692989237,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1015/EPE/1,1,0,79370.06450199988,79370.06450199988,79370.06450199988,79370.06450199988,129.0,0.00027740961692989237,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1015/HPTD/1,1,0,58186.42173000035,58186.42173000035,58186.42173000035,58186.42173000035,121.0,0.00027740961692989237,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1015/RMC/1,1,0,118638.79256700011,118638.79256700011,118638.79256700011,118638.79256700011,199.0,0.00027740961692989237,0.0,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000
GET,/api/cart/add/anonymous-1016/EMM/1,1,0,104813.24996600006,104813.24996600006,104813.24996600006,104813.24996600006,229.0,0.00027740961692989237,0.0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
