Method,Name,Error,Occurrences
POST,/api/shipping/confirm/anonymous-714,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-714,1
POST,/api/payment/pay/anonymous-872,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.182.69/api/payment/pay/anonymous-872,1
POST,/api/payment/pay/anonymous-79,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-585/RED/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-585/RED/1,1
GET,/api/cart/update/anonymous-604/Watson/2,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/update/anonymous-604/Watson/2,1
GET,/api/cart/add/anonymous-257/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-257/RMC/1,1
GET,/api/ratings/api/fetch/EMM,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/ratings/api/fetch/EMM,18
GET,/api/shipping/calc/3795679,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/calc/3795679,1
GET,/api/cart/cart/anonymous-539,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-539,1
GET,/api/shipping/calc/3847185,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/calc/3847185,1
GET,/api/cart/add/anonymous-602/RED/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-602/RED/1,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,7
GET,/api/shipping/calc/5085806,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/shipping/calc/5085806,1
POST,/api/shipping/confirm/anonymous-790,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-790,1
POST,/api/payment/pay/anonymous-211,429 Client Error: TOO MANY REQUESTS for url: http://20.108.182.69/api/payment/pay/anonymous-211,1
GET,/api/cart/update/anonymous-578/HPTD/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-578/HPTD/2,1
POST,/api/payment/pay/anonymous-115,429 Client Error: TOO MANY REQUESTS for url: http://20.108.182.69/api/payment/pay/anonymous-115,1
GET,/api/cart/update/anonymous-634/EPE/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-634/EPE/2,1
GET,/api/cart/add/anonymous-693/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-693/EPE/1,1
GET,/api/cart/cart/anonymous-901,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-2,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.182.69/api/payment/pay/anonymous-2,1
POST,/api/payment/pay/anonymous-20,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-523,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-523,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/cities/ca,7
POST,/api/shipping/confirm/anonymous-259,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-259,1
GET,/api/cart/cart/anonymous-919,Remote end closed connection without response,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/cities/at,11
GET,/api/cart/update/anonymous-31/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-663/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-563/UHJ/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-563/UHJ/1,1
GET,/api/cart/cart/anonymous-758,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-758,1
GET,/api/cart/add/anonymous-799/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-799/EPE/1,1
POST,/api/shipping/confirm/anonymous-456,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-456,1
POST,/api/shipping/confirm/anonymous-730,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-730,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/codes,461
GET,/api/ratings/api/fetch/EMM,500 Server Error: Internal Server Error for url: http://20.108.182.69/api/ratings/api/fetch/EMM,3
POST,/api/shipping/confirm/anonymous-597,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-597,1
GET,/api/cart/add/anonymous-606/SHCE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-606/SHCE/1,1
POST,/api/payment/pay/anonymous-653,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.182.69/api/payment/pay/anonymous-653,1
GET,/api/shipping/calc/5663112,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/calc/5663112,1
GET,/api/cart/add/anonymous-699/Watson/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-699/Watson/1,1
GET,/api/cart/add/anonymous-702/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-702/STAN-1/1,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/cities/cz,11
GET,/api/ratings/api/fetch/HPTD,500 Server Error: Internal Server Error for url: http://20.108.182.69/api/ratings/api/fetch/HPTD,2
POST,/api/payment/pay/anonymous-844,404 Client Error: NOT FOUND for url: http://20.108.182.69/api/payment/pay/anonymous-844,1
GET,/api/cart/cart/anonymous-765,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-765,1
GET,/api/cart/cart/anonymous-81,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-81,1
POST,/api/shipping/confirm/anonymous-842,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-842,1
GET,/api/shipping/cities/gb,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/shipping/cities/gb,1
GET,/api/cart/add/anonymous-598/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-598/STAN-1/1,1
GET,/api/cart/update/anonymous-452/SHCE/2,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/update/anonymous-452/SHCE/2,1
GET,/api/cart/update/anonymous-36/UHJ/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-684,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-626,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-626,1
GET,/api/cart/cart/anonymous-482,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-515,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-515,2
GET,/api/cart/cart/anonymous-631,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-631,1
PUT,/api/ratings/api/rate/SHCE/4,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/ratings/api/rate/SHCE/4,1
GET,/api/cart/cart/anonymous-713,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-713,1
GET,/api/cart/cart/anonymous-510,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-510,1
GET,/api/cart/update/anonymous-530/UHJ/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-530/UHJ/2,1
GET,/api/cart/add/anonymous-623/Watson/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-623/Watson/1,1
POST,/api/payment/pay/anonymous-182,404 Client Error: NOT FOUND for url: http://20.108.182.69/api/payment/pay/anonymous-182,1
GET,/api/cart/update/anonymous-757/Watson/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-757/Watson/2,1
POST,/api/shipping/confirm/anonymous-601,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-256,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-818,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-107,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-107,1
GET,/api/cart/add/anonymous-620/RED/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-620/RED/1,1
GET,/api/cart/add/anonymous-570/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-570/EMM/1,1
GET,/api/cart/cart/anonymous-964,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/cart/anonymous-964,1
POST,/api/shipping/confirm/anonymous-419,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-419,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,16
GET,/api/cart/cart/anonymous-573,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/5,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/ratings/api/rate/EPE/5,2
GET,/api/cart/add/anonymous-730/EMM/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-708,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.182.69/api/payment/pay/anonymous-708,1
POST,/api/payment/pay/anonymous-757,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.182.69/api/payment/pay/anonymous-757,1
POST,/api/shipping/confirm/anonymous-255,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-255,1
POST,/api/shipping/confirm/anonymous-853,404 Client Error:  for url: http://20.108.182.69/api/shipping/confirm/anonymous-853,1
GET,/api/cart/cart/anonymous-781,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-551/EMM/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-551/EMM/1,1
GET,/,[Errno 111] Connection refused,5
GET,/api/cart/update/anonymous-363/UHJ/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-363/UHJ/2,1
GET,/api/cart/update/anonymous-462/EMM/2,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/update/anonymous-462/EMM/2,1
GET,/api/cart/cart/anonymous-807,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-807,1
GET,/api/cart/cart/anonymous-789,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-789,1
GET,/api/cart/add/anonymous-755/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-755/EPE/1,2
GET,/api/cart/cart/anonymous-439,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/cart/anonymous-439,1
GET,/api/cart/add/anonymous-787/Watson/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-787/Watson/1,1
GET,/api/cart/add/anonymous-839/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-839/STAN-1/1,1
GET,/api/cart/add/anonymous-615/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-615/RMC/1,1
GET,/api/cart/add/anonymous-519/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-519/EPE/1,1
GET,/api/cart/add/anonymous-703/STAN-1/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-703/STAN-1/1,1
POST,/api/payment/pay/anonymous-808,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-801/STAN-1/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-801/STAN-1/2,1
GET,/api/cart/add/anonymous-653/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-653/EPE/1,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.182.69/api/shipping/cities/de,5
GET,/api/cart/add/anonymous-636/SHCE/1,502 Server Error: Bad Gateway for url: http://20.108.182.69/api/cart/add/anonymous-636/SHCE/1,1
GET,/api/cart/update/anonymous-724/Watson/2,404 Client Error: Not Found for url: http://20.108.182.69/api/cart/update/anonymous-724/Watson/2,1
