Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2890,414,43000.0,150198.12952643205,2.615682999987712,1758350.876043,2237.7792387543254,0.7976604802235725,0.11426693384517612,43000,67000,86000,105000,272000,1243000,1587000,1618000,1758000,1758000,1758000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,39435.22361800024,39435.22361800024,39435.22361800024,39435.22361800024,206.0,0.000276007086582551,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/api/cart/add/anonymous-1/RMC/1,1,0,45.55182399997193,45.55182399997193,45.55182399997193,45.55182399997193,108.0,0.000276007086582551,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/api/cart/add/anonymous-1/STAN-1/1,2,0,13,765407.681527,12.890859999970417,1530802.4721940001,150.5,0.000552014173165102,0.0,1531000,1531000,1531000,1531000,1531000,1531000,1531000,1531000,1531000,1531000,1531000
GET,/api/cart/add/anonymous-1/Watson/1,4,0,39,12427.565279999868,27.311130999976285,25307.84860599988,124.5,0.001104028346330204,0.0,24000,24000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-10/EMM/1,2,0,63.44314500000792,25351.089024500052,63.44314500000792,50638.7349040001,137.0,0.000552014173165102,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-10/RMC/1,2,0,89.25922700001365,23218.1731164998,89.25922700001365,46347.08700599958,202.5,0.000552014173165102,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/cart/add/anonymous-10/SHCE/1,2,1,90.48217200000863,23765.676297999988,90.48217200000863,47440.870423999964,62.0,0.000552014173165102,0.000276007086582551,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,52480.58356199999,52480.58356199999,52480.58356199999,52480.58356199999,201.0,0.000276007086582551,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-10/Watson/1,1,0,31.157302999986314,31.157302999986314,31.157302999986314,31.157302999986314,206.0,0.000276007086582551,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-100/EMM/1,1,0,53.81656499997689,53.81656499997689,53.81656499997689,53.81656499997689,137.0,0.000276007086582551,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/api/cart/add/anonymous-100/EPE/1,2,0,51,65.55039199997736,50.509355999963645,80.59142799999108,206.0,0.000552014173165102,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/api/cart/add/anonymous-100/RMC/1,1,0,82.70040899998321,82.70040899998321,82.70040899998321,82.70040899998321,108.0,0.000276007086582551,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/api/cart/add/anonymous-1000/EMM/1,1,0,23028.93343400001,23028.93343400001,23028.93343400001,23028.93343400001,137.0,0.000276007086582551,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1001/HPTD/1,1,0,26589.965565000057,26589.965565000057,26589.965565000057,26589.965565000057,121.0,0.000276007086582551,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,26893.793838999954,26893.793838999954,26893.793838999954,26893.793838999954,132.0,0.000276007086582551,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,56713.14942100026,56713.14942100026,56713.14942100026,56713.14942100026,106.0,0.000276007086582551,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,1,61588.672603000305,61588.672603000305,61588.672603000305,61588.672603000305,0.0,0.000276007086582551,0.000276007086582551,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1005/RMC/1,1,0,80437.82597500013,80437.82597500013,80437.82597500013,80437.82597500013,108.0,0.000276007086582551,0.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,29020.360661999803,29020.360661999803,29020.360661999803,29020.360661999803,205.0,0.000276007086582551,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1006/EPE/1,1,0,79788.83014199982,79788.83014199982,79788.83014199982,79788.83014199982,129.0,0.000276007086582551,0.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,80434.83461000005,80434.83461000005,80434.83461000005,80434.83461000005,106.0,0.000276007086582551,0.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,27971.682000999863,27971.682000999863,27971.682000999863,27971.682000999863,283.0,0.000276007086582551,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-101/SHCE/1,2,0,39,26410.97906849987,38.894175000052655,52783.06396199969,161.0,0.000552014173165102,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-101/UHJ/1,2,0,34,56.218403499997294,33.93364900000506,78.50315799998953,139.5,0.000552014173165102,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/api/cart/add/anonymous-101/Watson/1,1,0,31.48463200000151,31.48463200000151,31.48463200000151,31.48463200000151,106.0,0.000276007086582551,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-1016/RED/1,1,0,108119.39163199987,108119.39163199987,108119.39163199987,108119.39163199987,225.0,0.000276007086582551,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-1016/SHCE/1,1,0,23006.65690699998,23006.65690699998,23006.65690699998,23006.65690699998,124.0,0.000276007086582551,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1017/RED/1,1,0,22978.857025999787,22978.857025999787,22978.857025999787,22978.857025999787,132.0,0.000276007086582551,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1017/Watson/1,1,0,51834.22834600015,51834.22834600015,51834.22834600015,51834.22834600015,202.0,0.000276007086582551,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1018/HPTD/1,1,0,51843.5306639999,51843.5306639999,51843.5306639999,51843.5306639999,193.0,0.000276007086582551,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
