Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-505,404 Client Error: Not Found for url: http://20.117.88.138/api/cart/cart/anonymous-505,1
POST,/api/payment/pay/anonymous-638,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-649/UHJ/1,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/add/anonymous-649/UHJ/1,1
GET,/api/cart/cart/anonymous-381,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-608,404 Client Error: Not Found for url: http://20.117.88.138/api/cart/cart/anonymous-608,1
GET,/api/cart/cart/anonymous-527,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/cart/anonymous-527,1
POST,/api/payment/pay/anonymous-124,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.138/api/payment/pay/anonymous-124,1
GET,/api/cart/add/anonymous-554/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/add/anonymous-554/SHCE/1,1
GET,/api/cart/add/anonymous-499/SHCE/1,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/add/anonymous-499/SHCE/1,1
POST,/api/shipping/confirm/anonymous-508,404 Client Error:  for url: http://20.117.88.138/api/shipping/confirm/anonymous-508,1
GET,/api/shipping/calc/5076704,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,14
POST,/api/shipping/confirm/anonymous-478,404 Client Error:  for url: http://20.117.88.138/api/shipping/confirm/anonymous-478,1
GET,/api/cart/add/anonymous-503/RED/1,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/add/anonymous-503/RED/1,1
GET,/api/ratings/api/fetch/SHCE,500 Server Error: Internal Server Error for url: http://20.117.88.138/api/ratings/api/fetch/SHCE,1
GET,/api/cart/add/anonymous-630/EMM/1,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/add/anonymous-630/EMM/1,1
POST,/api/shipping/confirm/anonymous-18,404 Client Error:  for url: http://20.117.88.138/api/shipping/confirm/anonymous-18,1
GET,/api/cart/cart/anonymous-688,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/cart/cart/anonymous-688,1
GET,/api/shipping/calc/3987623,502 Server Error: Bad Gateway for url: http://20.117.88.138/api/shipping/calc/3987623,1
GET,/api/cart/update/anonymous-52/Watson/2,404 Client Error: Not Found for url: http://20.117.88.138/api/cart/update/anonymous-52/Watson/2,1
POST,/api/payment/pay/anonymous-909,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.88.138/api/payment/pay/anonymous-909,1
