Method,Name,Error,Occurrences
GET,/api/ratings/api/fetch/Watson,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/ratings/api/fetch/Watson,15
POST,/api/shipping/confirm/anonymous-833,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-68,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.232/api/payment/pay/anonymous-68,1
GET,/api/cart/add/anonymous-861/RMC/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-958,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-984/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-417,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.160.232/api/payment/pay/anonymous-417,1
GET,/api/cart/add/anonymous-773/UHJ/1,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/add/anonymous-773/UHJ/1,1
GET,/api/cart/cart/anonymous-510,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/cart/anonymous-510,1
GET,/api/cart/add/anonymous-574/RED/1,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/add/anonymous-574/RED/1,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.232/api/payment/pay/anonymous-50,1
GET,/api/cart/add/anonymous-731/HPTD/1,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/add/anonymous-731/HPTD/1,1
PUT,/api/ratings/api/rate/UHJ/4,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/ratings/api/rate/UHJ/4,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,12
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.160.232/api/shipping/cities/cz,9
POST,/api/payment/pay/anonymous-23,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.232/api/payment/pay/anonymous-23,2
GET,/api/cart/add/anonymous-836/UHJ/1,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/add/anonymous-836/UHJ/1,1
GET,/api/cart/update/anonymous-480/EPE/2,404 Client Error: Not Found for url: http://20.108.160.232/api/cart/update/anonymous-480/EPE/2,1
GET,/api/cart/update/anonymous-364/RMC/2,404 Client Error: Not Found for url: http://20.108.160.232/api/cart/update/anonymous-364/RMC/2,1
POST,/api/payment/pay/anonymous-11,429 Client Error: TOO MANY REQUESTS for url: http://20.108.160.232/api/payment/pay/anonymous-11,1
GET,/api/cart/cart/anonymous-768,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/cart/anonymous-768,1
GET,/api/cart/update/anonymous-429/EPE/2,502 Server Error: Bad Gateway for url: http://20.108.160.232/api/cart/update/anonymous-429/EPE/2,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.160.232/api/shipping/cities/nl,5
GET,/api/cart/add/anonymous-736/RED/1,404 Client Error: Not Found for url: http://20.108.160.232/api/cart/add/anonymous-736/RED/1,1
