Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2890,379,30000.0,120586.16076586342,3.1889140000203042,1594315.2144230003,2265.1301038062284,0.7886155900667696,0.10342052201913692,30000,49000,71000,86000,145000,782000,1443000,1472000,1563000,1594000,1594000
GET,/api/cart/add/anonymous-1/RED/1,1,0,48.83922600004098,48.83922600004098,48.83922600004098,48.83922600004098,132.0,0.0002728773668051106,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/api/cart/add/anonymous-1/SHCE/1,2,0,13,33358.456482000096,12.61965600002668,66704.29330800017,163.5,0.0005457547336102211,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,11.172749999957432,11.172749999957432,11.172749999957432,11.172749999957432,111.0,0.0002728773668051106,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,12.552658000004158,12.552658000004158,12.552658000004158,12.552658000004158,209.0,0.0002728773668051106,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-1/Watson/1,1,0,47220.960408999876,47220.960408999876,47220.960408999876,47220.960408999876,106.0,0.0002728773668051106,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-10/EPE/1,1,0,48.66122399999995,48.66122399999995,48.66122399999995,48.66122399999995,129.0,0.0002728773668051106,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/api/cart/add/anonymous-10/RED/1,1,0,225.47249199999442,225.47249199999442,225.47249199999442,225.47249199999442,132.0,0.0002728773668051106,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/cart/add/anonymous-10/RMC/1,1,0,27.765728000019863,27.765728000019863,27.765728000019863,27.765728000019863,207.0,0.0002728773668051106,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,51192.61163200008,51192.61163200008,51192.61163200008,51192.61163200008,203.0,0.0002728773668051106,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,18932.920936999835,18932.920936999835,18932.920936999835,18932.920936999835,111.0,0.0002728773668051106,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,96.34352299997317,96.34352299997317,96.34352299997317,96.34352299997317,209.0,0.0002728773668051106,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/api/cart/add/anonymous-100/EMM/1,2,0,531.8150230000356,44375.97317400014,531.8150230000356,88220.13132500024,176.0,0.0005457547336102211,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-100/EPE/1,1,0,1318.2892410000022,1318.2892410000022,1318.2892410000022,1318.2892410000022,129.0,0.0002728773668051106,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,873.7799810000411,873.7799810000411,873.7799810000411,873.7799810000411,217.0,0.0002728773668051106,0.0,870,870,870,870,870,870,870,870,870,870,870
GET,/api/cart/add/anonymous-100/RMC/1,2,0,1100.0,12730.325762000064,1077.9185830000415,24382.732941000086,161.5,0.0005457547336102211,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
