Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-65,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-65,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-23,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-23,1
GET,/api/cart/cart/anonymous-718,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/cart/anonymous-718,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/es,3
POST,/api/shipping/confirm/anonymous-496,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-496,1
GET,/api/cart/add/anonymous-458/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-584/HPTD/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,19
GET,/api/cart/update/anonymous-470/EMM/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-470/EMM/2,1
POST,/api/payment/pay/anonymous-335,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-335,1
GET,/api/cart/cart/anonymous-394,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-592/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-919,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-734,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-734,1
GET,/api/cart/update/anonymous-611/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-663/UHJ/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-965,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-965,1
POST,/api/shipping/confirm/anonymous-396,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-396,1
GET,/api/cart/update/anonymous-428/STAN-1/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-428/STAN-1/2,1
POST,/api/payment/pay/anonymous-412,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-412,1
POST,/api/shipping/confirm/anonymous-442,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-523,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-864/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-734,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-734,1
POST,/api/payment/pay/anonymous-44,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-44,1
GET,/api/cart/update/anonymous-788/RED/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-788/RED/2,1
GET,/api/cart/update/anonymous-613/RED/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-613/RED/2,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/au,5
GET,/api/shipping/calc/3300985,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-318,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-318,1
GET,/api/cart/add/anonymous-596/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-370/STAN-1/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-350,Remote end closed connection without response,1
GET,/api/shipping/calc/4581691,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/4581691,1
POST,/api/payment/pay/anonymous-872,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-872,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/bg,3
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-33,1
GET,/api/cart/cart/anonymous-482,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-579/EPE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-411,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-516/SHIP/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-516/SHIP/2,1
GET,/api/cart/add/anonymous-755/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-743/RED/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-743/RED/2,1
POST,/api/shipping/confirm/anonymous-1045,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-818,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-624,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-562,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-840,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-840,1
POST,/api/payment/pay/anonymous-31,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-31,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,12
GET,/api/cart/cart/anonymous-573,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-687,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-687,1
GET,/api/cart/update/anonymous-580/EMM/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-580/EMM/2,1
GET,/api/shipping/calc/3916371,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3916371,1
POST,/api/payment/pay/anonymous-633,404 Client Error: NOT FOUND for url: http://20.90.153.187/api/payment/pay/anonymous-633,1
GET,/api/shipping/calc/5650597,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/5650597,1
POST,/api/payment/pay/anonymous-69,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-69,1
POST,/api/shipping/confirm/anonymous-560,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-560,1
GET,/api/shipping/calc/4004031,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/4004031,1
POST,/api/payment/pay/anonymous-705,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-705,1
PUT,/api/ratings/api/rate/EMM/4,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-982/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-344,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-344,1
GET,/api/cart/update/anonymous-499/Watson/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-499/Watson/2,1
GET,/api/cart/update/anonymous-386/HPTD/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-386/HPTD/2,1
GET,/api/shipping/calc/3993058,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3993058,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/pt,2
GET,/api/cart/update/anonymous-479/EPE/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-479/EPE/2,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4583490,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/4583490,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-836,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-836,1
POST,/api/payment/pay/anonymous-318,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-318,1
POST,/api/payment/pay/anonymous-407,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-407,1
POST,/api/shipping/confirm/anonymous-428,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-640/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5660037,Remote end closed connection without response,1
GET,/api/shipping/calc/3440087,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3440087,1
POST,/api/payment/pay/anonymous-448,Remote end closed connection without response,1
GET,/api/shipping/calc/4037744,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-837/Watson/2,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,53
GET,/api/cart/update/anonymous-445/UHJ/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-445/UHJ/2,1
GET,/api/shipping/calc/4591157,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/4591157,1
GET,/api/cart/add/anonymous-478/RED/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/SHCE/3,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-463,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-463,1
GET,/api/cart/cart/anonymous-702,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/cart/anonymous-702,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/ru,8
POST,/api/payment/pay/anonymous-724,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-724,1
GET,/api/cart/cart/anonymous-492,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1008,Remote end closed connection without response,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/codes,302
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/cities/gb,2
GET,/api/shipping/calc/5829144,Remote end closed connection without response,1
GET,/api/shipping/calc/3186707,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3186707,1
GET,/api/cart/add/anonymous-575/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3960730,Remote end closed connection without response,1
GET,/api/shipping/calc/3844678,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3844678,1
GET,/api/shipping/calc/3311312,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-66,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-66,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,16
GET,/api/cart/add/anonymous-860/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-548/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-972/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3207655,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/3207655,1
GET,/api/cart/add/anonymous-438/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3845305,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-67,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-67,1
GET,/api/cart/update/anonymous-463/SHCE/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-463/SHCE/2,1
GET,/api/cart/update/anonymous-932/SHCE/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-932/SHCE/2,1
POST,/api/payment/pay/anonymous-847,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-847,1
POST,/api/payment/pay/anonymous-537,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-537,1
GET,/api/shipping/cities/ru,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-684,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-684,1
GET,/api/cart/add/anonymous-831/Watson/1,Remote end closed connection without response,2
POST,/api/shipping/confirm/anonymous-412,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-412,1
GET,/api/cart/add/anonymous-794/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-496,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-496,1
GET,/api/shipping/calc/5819617,504 Server Error: Gateway Time-out for url: http://20.90.153.187/api/shipping/calc/5819617,1
POST,/api/payment/pay/anonymous-698,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-698,1
PUT,/api/ratings/api/rate/RMC/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-56,429 Client Error: TOO MANY REQUESTS for url: http://20.90.153.187/api/payment/pay/anonymous-56,1
POST,/api/shipping/confirm/anonymous-335,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-335,1
POST,/api/shipping/confirm/anonymous-553,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-588,404 Client Error: NOT FOUND for url: http://20.90.153.187/api/payment/pay/anonymous-588,1
POST,/api/shipping/confirm/anonymous-611,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-611,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-990/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-914/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-856/RED/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,2
GET,/api/cart/update/anonymous-464/EPE/2,404 Client Error: Not Found for url: http://20.90.153.187/api/cart/update/anonymous-464/EPE/2,1
GET,/api/cart/cart/anonymous-432,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-681/HPTD/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-396,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.153.187/api/payment/pay/anonymous-396,1
POST,/api/shipping/confirm/anonymous-665,404 Client Error:  for url: http://20.90.153.187/api/shipping/confirm/anonymous-665,1
