Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-368,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.157.204/api/payment/pay/anonymous-368,1
POST,/api/shipping/confirm/anonymous-654,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-654,1
POST,/api/shipping/confirm/anonymous-603,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-603,1
GET,/api/cart/update/anonymous-1076/EPE/2,404 Client Error: Not Found for url: http://20.90.157.204/api/cart/update/anonymous-1076/EPE/2,1
POST,/api/payment/pay/anonymous-579,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.157.204/api/payment/pay/anonymous-579,1
GET,/api/cart/update/anonymous-774/EPE/2,404 Client Error: Not Found for url: http://20.90.157.204/api/cart/update/anonymous-774/EPE/2,1
GET,/api/cart/update/anonymous-655/RED/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-811/EMM/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-614,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1021,404 Client Error: Not Found for url: http://20.90.157.204/api/cart/cart/anonymous-1021,1
POST,/api/shipping/confirm/anonymous-744,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-744,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,17
POST,/api/shipping/confirm/anonymous-398,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-398,1
GET,/api/shipping/calc/3845652,504 Server Error: Gateway Time-out for url: http://20.90.157.204/api/shipping/calc/3845652,1
GET,/api/cart/update/anonymous-715/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-861/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3300788,504 Server Error: Gateway Time-out for url: http://20.90.157.204/api/shipping/calc/3300788,1
POST,/api/shipping/confirm/anonymous-332,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-374,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.157.204/api/payment/pay/anonymous-374,1
POST,/api/shipping/confirm/anonymous-341,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-341,1
POST,/api/shipping/confirm/anonymous-741,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-741,1
POST,/api/payment/pay/anonymous-10,429 Client Error: TOO MANY REQUESTS for url: http://20.90.157.204/api/payment/pay/anonymous-10,1
GET,/api/shipping/calc/3440203,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-355,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.157.204/api/payment/pay/anonymous-355,1
POST,/api/payment/pay/anonymous-444,429 Client Error: TOO MANY REQUESTS for url: http://20.90.157.204/api/payment/pay/anonymous-444,1
POST,/api/shipping/confirm/anonymous-859,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-859,1
POST,/api/shipping/confirm/anonymous-848,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-848,1
GET,/api/cart/cart/anonymous-779,404 Client Error: Not Found for url: http://20.90.157.204/api/cart/cart/anonymous-779,1
POST,/api/shipping/confirm/anonymous-413,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-413,1
POST,/api/payment/pay/anonymous-420,429 Client Error: TOO MANY REQUESTS for url: http://20.90.157.204/api/payment/pay/anonymous-420,2
GET,/api/cart/add/anonymous-738/RMC/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-599,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-545/RMC/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-718,404 Client Error:  for url: http://20.90.157.204/api/shipping/confirm/anonymous-718,1
GET,/api/shipping/calc/5844549,Remote end closed connection without response,1
GET,/api/shipping/calc/5853865,Remote end closed connection without response,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.90.157.204/api/shipping/cities/ch,1
GET,/api/cart/update/anonymous-1047/RMC/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3813707,504 Server Error: Gateway Time-out for url: http://20.90.157.204/api/shipping/calc/3813707,1
POST,/api/payment/pay/anonymous-520,500 Server Error: INTERNAL SERVER ERROR for url: http://20.90.157.204/api/payment/pay/anonymous-520,1
GET,/api/cart/update/anonymous-890/EMM/2,Remote end closed connection without response,1
