Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645849386,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645849387,10,,Aggregated,0.000000,0.000000,26,52,56,110,120,210,260,260,260,260,260,32,0,23,49.66107821875454,3.8726039999801287,258.4407779999651,457.8125
1645849388,20,,Aggregated,0.000000,0.000000,18,30,53,110,130,260,880,1400,1400,1400,1400,53,0,18,82.99356881132485,3.7748039999883076,1410.6984320000038,150593.56603773584
1645849389,30,,Aggregated,30.000000,0.000000,16,22,43,96,130,290,830,880,1400,1400,1400,127,0,16,74.23784084252163,3.7748039999883076,1410.6984320000038,114879.18897637795
1645849390,40,,Aggregated,30.000000,0.000000,16,25,43,96,130,360,880,1100,1400,1400,1400,132,0,16,80.26546879545616,3.7748039999883076,1410.6984320000038,110530.87878787878
1645849391,50,,Aggregated,24.333333,0.000000,15,21,31,52,130,420,880,1400,2100,2100,2100,184,0,15,80.97600555434875,3.3922040000220477,2111.678354999981,124183.34782608696
1645849392,60,,Aggregated,33.000000,0.000000,15,22,33,46,130,420,880,1400,3300,3300,3300,209,0,15,90.50204470335001,3.3922040000220477,3309.503520000021,109368.53588516747
1645849393,70,,Aggregated,31.400000,0.000000,13,21,30,39,120,420,1400,2100,3700,3700,3700,247,0,13,99.21301386639756,3.3922040000220477,3745.215051999992,128289.65587044535
1645849394,80,,Aggregated,32.833333,0.000000,17,21,30,40,120,290,1100,2100,4700,4700,4700,356,0,17,97.56761027809013,3.0166040000381145,4699.892465999994,108192.10674157304
1645849395,90,,Aggregated,31.000000,0.000000,18,25,36,50,150,400,1200,2100,5700,5700,5700,446,0,18,111.85255250224215,3.0166040000381145,5674.2731299999605,107828.63677130044
1645849397,100,,Aggregated,31.000000,0.000000,20,30,40,53,170,350,1100,1400,7000,7000,7000,609,0,20,109.68798048111732,3.0166040000381145,7037.011059999997,81312.4105090312
1645849398,110,,Aggregated,44.600000,0.000000,21,33,43,52,140,260,850,1400,7000,7000,7000,742,0,21,97.82151202560698,3.0166040000381145,7037.011059999997,66823.3423180593
1645849399,120,,Aggregated,57.900000,0.000000,21,33,42,50,130,230,830,1400,7000,7000,7000,819,0,21,99.39688526007372,3.0166040000381145,7037.011059999997,60584.770451770455
1645849400,130,,Aggregated,69.000000,0.000000,24,37,50,70,190,420,1700,3300,7300,7300,7300,883,0,24,149.47913035447394,3.0166040000381145,7302.216676,81675.26047565119
1645849401,140,,Aggregated,73.800000,0.000000,29,45,68,100,240,820,2200,4700,8700,8700,8700,988,0,29,192.41708503744988,3.0166040000381145,8696.617508000032,85267.00708502025
1645849402,150,,Aggregated,75.000000,0.000000,31,52,91,140,420,1100,3200,4700,8600,8700,8700,1058,0,31,245.11113665690036,3.0166040000381145,8696.617508000032,91745.7202268431
1645849404,160,,Aggregated,80.800000,0.000000,36,68,130,180,610,1300,3300,4700,8600,8700,8700,1154,0,36,276.2138628466207,3.0166040000381145,8696.617508000032,98374.37435008665
1645849405,170,,Aggregated,86.400000,0.000000,43,90,160,220,710,1400,3900,5700,10000,10000,10000,1289,0,43,314.6588569883633,3.0166040000381145,9973.073835999969,98633.64701318851
1645849408,180,,Aggregated,87.300000,0.000000,53,120,170,230,790,1400,3900,5900,10000,11000,11000,1428,0,52,328.863411272409,3.0166040000381145,11138.871851999966,122021.50840336134
1645849410,190,,Aggregated,68.800000,0.000000,59,130,210,340,1000,3000,4900,7300,14000,14000,14000,1497,0,59,473.09335156379393,3.0166040000381145,14140.512761999958,132866.456245825
1645849412,200,,Aggregated,60.600000,0.000000,65,140,250,380,1400,3000,5200,7800,14000,16000,16000,1537,0,65,522.4919951346777,3.0166040000381145,15860.83081199996,142311.4014313598
1645849413,210,,Aggregated,55.200000,0.000000,72,160,360,790,1500,3300,7200,9500,14000,16000,16000,1608,0,72,660.5477143569648,3.0166040000381145,15860.83081199996,149087.9421641791
1645849415,220,,Aggregated,50.700000,0.000000,78,180,410,860,1600,3300,7800,9500,15000,16000,16000,1647,0,78,700.6957741754701,3.0166040000381145,15860.83081199996,158460.8044930176
1645849416,230,,Aggregated,47.500000,0.000000,110,280,640,1100,2000,4200,7200,9700,15000,16000,16000,1868,0,110.0,801.5112831338319,3.0166040000381145,15860.83081199996,141047.6001070664
1645849417,240,,Aggregated,37.500000,0.000000,150,360,640,1100,1900,3900,7000,9500,15000,16000,16000,2079,0,150.0,797.1803186176031,3.0166040000381145,15934.727503999966,128910.90428090429
1645849418,250,,Aggregated,48.200000,0.000000,200,410,570,950,1700,3800,6800,9500,16000,17000,17000,2262,4,190.0,790.8220802555247,3.0166040000381145,16553.62728299997,119797.60610079576
1645849420,260,,Aggregated,77.100000,0.200000,240,410,530,860,1600,3600,6500,9500,16000,17000,17000,2454,6,240.0,771.685140899347,3.0166040000381145,16553.62728299997,117882.94213528933
1645849421,270,,Aggregated,93.800000,0.500000,280,440,710,1100,1800,3600,7000,9700,16000,17000,17000,2590,12,280.0,833.2499401548255,3.0166040000381145,16553.62728299997,114825.74285714286
1645849422,280,,Aggregated,96.400000,0.600000,300,440,640,1000,1800,3400,6900,9700,16000,17000,17000,2749,14,300.0,822.303837340123,3.0166040000381145,16553.62728299997,109812.30447435431
1645849423,290,,Aggregated,97.100000,0.700000,320,470,790,1100,1800,3800,7000,10000,16000,17000,17000,2888,18,310.0,860.438103816482,3.0166040000381145,16553.62728299997,106870.20810249308
1645849425,300,,Aggregated,115.800000,1.300000,340,490,790,1100,1900,3700,7000,10000,16000,17000,17000,3038,20,340.0,876.0968741129032,3.0166040000381145,16553.62728299997,104607.65404871626
1645849426,310,,Aggregated,130.700000,1.800000,350,520,880,1200,2000,3800,7200,10000,16000,17000,17000,3123,24,350.0,913.5686354591744,3.0166040000381145,16553.62728299997,107936.94908741595
1645849427,320,,Aggregated,139.400000,2.000000,370,590,930,1300,2000,3800,7300,10000,16000,17000,17000,3224,28,370.0,938.6196230018621,3.0166040000381145,16553.62728299997,106166.86910669976
1645849428,330,,Aggregated,130.400000,2.300000,400,670,960,1200,2200,3900,7300,10000,16000,17000,17000,3344,31,390.0,960.6600850287093,3.0166040000381145,16553.62728299997,106030.60436602871
1645849430,340,,Aggregated,106.000000,2.600000,410,700,930,1200,2100,4000,7200,10000,16000,17000,17000,3506,34,410.0,970.5263158984598,3.0166040000381145,16553.62728299997,101915.66371933828
1645849431,350,,Aggregated,97.900000,2.600000,420,690,910,1200,2200,3900,7200,10000,16000,17000,17000,3720,38,420.0,971.1283899862898,3.0166040000381145,16553.62728299997,97366.15752688173
1645849432,360,,Aggregated,104.300000,2.800000,410,650,890,1200,2000,3900,6900,10000,16000,17000,17000,3940,40,410.0,951.2165589538056,3.0166040000381145,16553.62728299997,91952.3459390863
1645849433,370,,Aggregated,117.700000,3.000000,420,660,860,1100,1900,3800,6800,10000,16000,18000,18000,4126,42,410.0,943.3287774745509,3.0166040000381145,18037.992109000013,88673.7186136694
1645849434,380,,Aggregated,119.000000,2.700000,420,650,850,1100,1800,3800,6800,10000,17000,19000,19000,4259,43,420.0,938.6653921817318,3.0166040000381145,19076.242914999966,87037.00633951632
1645849435,390,,Aggregated,123.300000,2.600000,420,640,830,1000,1800,3600,6600,10000,18000,19000,19000,4504,45,420.0,923.9048194103012,3.0166040000381145,19076.242914999966,82755.94005328597
1645849436,400,,Aggregated,125.600000,2.400000,410,620,790,970,1800,3400,6400,10000,18000,20000,20000,4720,46,410.0,902.864176677118,3.0166040000381145,19990.175349999958,78994.94131355932
1645849437,410,,Aggregated,127.600000,2.300000,400,600,770,930,1700,3400,6400,10000,19000,21000,21000,4952,48,400.0,884.765285691437,3.0166040000381145,21020.094702999984,75311.42306138933
1645849439,420,,Aggregated,154.300000,2.000000,400,570,740,900,1600,3200,6400,10000,19000,22000,22000,5165,50,400.0,864.8251470844136,3.0166040000381145,22138.245366000036,72219.50377541142
1645849440,430,,Aggregated,169.400000,2.000000,370,540,720,860,1600,3100,6300,10000,19000,23000,23000,5444,51,370.0,834.5304322184054,3.0166040000381145,22562.61883899998,68541.42432035269
1645849441,440,,Aggregated,177.400000,1.700000,360,510,700,840,1600,3100,6200,10000,20000,24000,24000,5634,53,360.0,821.8887232784876,3.0166040000381145,24142.55768999999,66242.15583954562
1645849442,450,,Aggregated,186.400000,1.700000,340,490,670,810,1500,3000,6200,10000,22000,25000,25000,5906,55,340.0,797.0693838366069,3.0166040000381145,25002.97523400002,63207.33592956315
1645849443,460,,Aggregated,191.100000,1.500000,330,480,660,790,1500,3000,6100,10000,22000,25000,25000,6041,56,330.0,783.4572730341008,3.0166040000381145,25002.97523400002,61804.571759642444
1645849444,470,,Aggregated,186.400000,1.400000,320,470,640,770,1500,3000,6100,10000,22000,25000,25000,6203,58,320.0,770.3613762105442,3.0166040000381145,25002.97523400002,60202.59680799613
