Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-568,404 Client Error: Not Found for url: http://20.108.165.118/api/cart/cart/anonymous-568,1
POST,/api/shipping/confirm/anonymous-491,404 Client Error:  for url: http://20.108.165.118/api/shipping/confirm/anonymous-491,1
GET,/api/shipping/calc/5511237,Remote end closed connection without response,1
GET,/api/shipping/calc/5858783,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,9
GET,/api/ratings/api/fetch/RED,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/ratings/api/fetch/RED,19
POST,/api/payment/pay/anonymous-318,404 Client Error: NOT FOUND for url: http://20.108.165.118/api/payment/pay/anonymous-318,1
GET,/api/cart/add/anonymous-688/RMC/1,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/cart/add/anonymous-688/RMC/1,1
PUT,/api/ratings/api/rate/HPTD/3,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/ratings/api/rate/HPTD/3,1
POST,/api/payment/pay/anonymous-707,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.165.118/api/payment/pay/anonymous-707,1
POST,/api/shipping/confirm/anonymous-844,404 Client Error:  for url: http://20.108.165.118/api/shipping/confirm/anonymous-844,1
GET,/api/cart/cart/anonymous-587,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-429,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-58,429 Client Error: TOO MANY REQUESTS for url: http://20.108.165.118/api/payment/pay/anonymous-58,1
GET,/api/cart/add/anonymous-505/EPE/1,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/cart/add/anonymous-505/EPE/1,1
GET,/api/cart/cart/anonymous-497,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/cart/cart/anonymous-497,1
GET,/api/cart/add/anonymous-1038/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-696,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.165.118/api/payment/pay/anonymous-696,1
GET,/api/cart/update/anonymous-564/RMC/2,404 Client Error: Not Found for url: http://20.108.165.118/api/cart/update/anonymous-564/RMC/2,1
GET,/api/cart/add/anonymous-985/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/cities/fr,502 Server Error: Bad Gateway for url: http://20.108.165.118/api/shipping/cities/fr,3
GET,/api/cart/update/anonymous-745/EPE/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-359,404 Client Error:  for url: http://20.108.165.118/api/shipping/confirm/anonymous-359,1
