Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2658,336,32000.0,121788.80006584054,3.2129289999716093,1802151.6698949998,2277.3152746425885,0.730081506287052,0.09229021298436776,32000,64000,86000,96000,162000,664000,1530000,1599000,1753000,1802000,1802000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,10.266290999993544,10.266290999993544,10.266290999993544,10.266290999993544,214.0,0.00027467325292966594,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-1/EPE/1,1,0,23526.077393999913,23526.077393999913,23526.077393999913,23526.077393999913,129.0,0.00027467325292966594,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,13.248318000023573,13.248318000023573,13.248318000023573,13.248318000023573,193.0,0.00027467325292966594,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,71169.03219999994,71169.03219999994,71169.03219999994,71169.03219999994,124.0,0.00027467325292966594,0.0,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,42.0611740000254,42.0611740000254,42.0611740000254,42.0611740000254,138.0,0.00027467325292966594,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/cart/add/anonymous-1/Watson/1,1,0,29.082357999982378,29.082357999982378,29.082357999982378,29.082357999982378,106.0,0.00027467325292966594,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-10/EPE/1,1,0,21.061086000031537,21.061086000031537,21.061086000031537,21.061086000031537,129.0,0.00027467325292966594,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,20.131877999972403,20.131877999972403,20.131877999972403,20.131877999972403,219.0,0.00027467325292966594,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/cart/add/anonymous-10/RED/1,2,0,9,12.496910500004788,8.618576000003486,16.37524500000609,166.5,0.0005493465058593319,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,59876.002833999795,59876.002833999795,59876.002833999795,59876.002833999795,111.0,0.00027467325292966594,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-100/EMM/1,1,0,33933.519096000055,33933.519096000055,33933.519096000055,33933.519096000055,223.0,0.00027467325292966594,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,40.13525200002732,24982.399738500022,40.13525200002732,49924.664225000015,121.0,0.0005493465058593319,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-100/RED/1,1,0,14.129223999987062,14.129223999987062,14.129223999987062,14.129223999987062,219.0,0.00027467325292966594,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,206.07349699997712,206.07349699997712,206.07349699997712,206.07349699997712,191.0,0.00027467325292966594,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,296.3040849999743,296.3040849999743,296.3040849999743,296.3040849999743,138.0,0.00027467325292966594,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/api/cart/add/anonymous-1000/EMM/1,1,0,30701.910126999792,30701.910126999792,30701.910126999792,30701.910126999792,137.0,0.00027467325292966594,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,20100.46212799989,20100.46212799989,20100.46212799989,20100.46212799989,129.0,0.00027467325292966594,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,27424.349798000094,27424.349798000094,27424.349798000094,27424.349798000094,223.0,0.00027467325292966594,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1000/UHJ/1,1,1,59435.139308000085,59435.139308000085,59435.139308000085,59435.139308000085,0.0,0.00027467325292966594,0.00027467325292966594,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,56848.406523,56848.406523,56848.406523,56848.406523,137.0,0.00027467325292966594,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,67016.89187900002,67016.89187900002,67016.89187900002,67016.89187900002,111.0,0.00027467325292966594,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1001/Watson/1,1,0,27536.434339999687,27536.434339999687,27536.434339999687,27536.434339999687,106.0,0.00027467325292966594,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1002/HPTD/1,1,0,30703.208439000264,30703.208439000264,30703.208439000264,30703.208439000264,213.0,0.00027467325292966594,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1002/RED/1,1,0,103081.95023500003,103081.95023500003,103081.95023500003,103081.95023500003,132.0,0.00027467325292966594,0.0,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
GET,/api/cart/add/anonymous-1002/SHCE/1,1,0,708.2221929999832,708.2221929999832,708.2221929999832,708.2221929999832,124.0,0.00027467325292966594,0.0,710,710,710,710,710,710,710,710,710,710,710
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,61630.93611899967,61630.93611899967,61630.93611899967,61630.93611899967,111.0,0.00027467325292966594,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1003/EPE/1,1,0,67033.42132800026,67033.42132800026,67033.42132800026,67033.42132800026,129.0,0.00027467325292966594,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1003/RED/1,1,0,31405.60256500021,31405.60256500021,31405.60256500021,31405.60256500021,132.0,0.00027467325292966594,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,109984.202697,109984.202697,109984.202697,109984.202697,111.0,0.00027467325292966594,0.0,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,24408.885048999764,24408.885048999764,24408.885048999764,24408.885048999764,138.0,0.00027467325292966594,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1005/RED/1,1,0,50023.57761699977,50023.57761699977,50023.57761699977,50023.57761699977,210.0,0.00027467325292966594,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1005/RMC/1,1,0,56872.41533999986,56872.41533999986,56872.41533999986,56872.41533999986,108.0,0.00027467325292966594,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1006/HPTD/1,1,0,60701.24301700025,60701.24301700025,60701.24301700025,60701.24301700025,121.0,0.00027467325292966594,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1007/RED/1,1,0,738.0490430000464,738.0490430000464,738.0490430000464,738.0490430000464,196.0,0.00027467325292966594,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,27422.09387799994,27422.09387799994,27422.09387799994,27422.09387799994,111.0,0.00027467325292966594,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1008/UHJ/1,1,0,27405.880931999945,27405.880931999945,27405.880931999945,27405.880931999945,138.0,0.00027467325292966594,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-101/EPE/1,1,0,1348.476171999664,1348.476171999664,1348.476171999664,1348.476171999664,129.0,0.00027467325292966594,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-101/RED/1,1,0,10.645794000026854,10.645794000026854,10.645794000026854,10.645794000026854,132.0,0.00027467325292966594,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-101/SHCE/1,2,0,78,14116.097490500011,77.81378300001052,28154.38119800001,224.5,0.0005493465058593319,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,222.00203599999213,222.00203599999213,222.00203599999213,222.00203599999213,191.0,0.00027467325292966594,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,315.2706500000022,315.2706500000022,315.2706500000022,315.2706500000022,138.0,0.00027467325292966594,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/api/cart/add/anonymous-1010/EPE/1,1,0,29235.1187270001,29235.1187270001,29235.1187270001,29235.1187270001,129.0,0.00027467325292966594,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,101200.7176000002,101200.7176000002,101200.7176000002,101200.7176000002,106.0,0.00027467325292966594,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1012/EMM/1,1,0,101185.89076699982,101185.89076699982,101185.89076699982,101185.89076699982,137.0,0.00027467325292966594,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1014/RED/1,2,0,67000.0,66816.47184550003,66557.53898600006,67075.40470499998,133.0,0.0005493465058593319,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1014/RMC/1,2,0,34000.0,42699.58593449996,33567.86160000002,51831.310268999914,108.5,0.0005493465058593319,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1015/RMC/1,1,0,67142.56500999999,67142.56500999999,67142.56500999999,67142.56500999999,108.0,0.00027467325292966594,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1016/RED/1,1,0,659.0772320000724,659.0772320000724,659.0772320000724,659.0772320000724,132.0,0.00027467325292966594,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/api/cart/add/anonymous-1016/RMC/1,1,1,59441.59376600009,59441.59376600009,59441.59376600009,59441.59376600009,0.0,0.00027467325292966594,0.00027467325292966594,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
GET,/api/cart/add/anonymous-1017/RMC/1,2,1,59440.520457000275,80336.0899180002,59440.520457000275,101231.65937900012,54.0,0.0005493465058593319,0.00027467325292966594,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1018/HPTD/1,1,0,594.1403469996658,594.1403469996658,594.1403469996658,594.1403469996658,200.0,0.00027467325292966594,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/api/cart/add/anonymous-1018/RED/1,1,0,51936.670220999986,51936.670220999986,51936.670220999986,51936.670220999986,132.0,0.00027467325292966594,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1018/STAN-1/1,1,0,27191.868715000055,27191.868715000055,27191.868715000055,27191.868715000055,111.0,0.00027467325292966594,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1019/EMM/1,1,0,25182.599742000093,25182.599742000093,25182.599742000093,25182.599742000093,137.0,0.00027467325292966594,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1019/STAN-1/1,1,0,26997.76666600019,26997.76666600019,26997.76666600019,26997.76666600019,201.0,0.00027467325292966594,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-102/HPTD/1,3,0,510.0,740.5712123333311,276.6251190000162,1434.1671619999943,121.0,0.0008240197587889978,0.0,510,510,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-102/STAN-1/1,1,0,27806.713366999702,27806.713366999702,27806.713366999702,27806.713366999702,111.0,0.00027467325292966594,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-102/Watson/1,2,0,200.0,14023.314283999809,199.41853900002116,27847.210028999598,193.0,0.0005493465058593319,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-1020/RMC/1,2,0,25163.552568999876,29370.588328499936,25163.552568999876,33577.624088,108.5,0.0005493465058593319,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-1021/EPE/1,1,0,61148.82321700043,61148.82321700043,61148.82321700043,61148.82321700043,129.0,0.00027467325292966594,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1021/SHCE/1,1,0,33953.33747500036,33953.33747500036,33953.33747500036,33953.33747500036,222.0,0.00027467325292966594,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-1023/EPE/1,1,0,34060.57104299998,34060.57104299998,34060.57104299998,34060.57104299998,129.0,0.00027467325292966594,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-1023/RMC/1,1,0,86090.01710499979,86090.01710499979,86090.01710499979,86090.01710499979,108.0,0.00027467325292966594,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1025/RMC/1,1,0,50023.052913000356,50023.052913000356,50023.052913000356,50023.052913000356,108.0,0.00027467325292966594,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1025/UHJ/1,1,0,116798.52833800032,116798.52833800032,116798.52833800032,116798.52833800032,216.0,0.00027467325292966594,0.0,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
GET,/api/cart/add/anonymous-1026/EPE/1,1,0,25106.530139999904,25106.530139999904,25106.530139999904,25106.530139999904,129.0,0.00027467325292966594,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1027/EMM/1,1,0,27689.006704999883,27689.006704999883,27689.006704999883,27689.006704999883,137.0,0.00027467325292966594,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-103/EMM/1,1,0,250.17838200000142,250.17838200000142,250.17838200000142,250.17838200000142,215.0,0.00027467325292966594,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-103/RMC/1,2,0,360.0,428.7379929999986,355.1390050000123,502.3369809999849,146.0,0.0005493465058593319,0.0,500,500,500,500,500,500,500,500,500,500,500
