Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2279,37,28000.0,77963.86704487758,2.8828970000063237,1924060.5225169999,2544.015796401931,0.6226500844298382,0.01010884296792629,28000,61000,81000,91000,130000,202000,614000,1597000,1787000,1924000,1924000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,12.688002999993842,12.688002999993842,12.688002999993842,12.688002999993842,207.0,0.0002732119721061159,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,43.82039099999702,43.82039099999702,43.82039099999702,43.82039099999702,121.0,0.0002732119721061159,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/api/cart/add/anonymous-1/RMC/1,2,0,22,30.303298500001574,21.774204999985614,38.832392000017535,153.5,0.0005464239442122318,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-10/RMC/1,1,0,15.467702000023564,15.467702000023564,15.467702000023564,15.467702000023564,216.0,0.0002732119721061159,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-10/SHCE/1,2,0,110.0,543.1032175000041,105.81007399997588,980.3963610000324,124.5,0.0005464239442122318,0.0,980,980,980,980,980,980,980,980,980,980,980
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,52.635004999956436,52.635004999956436,52.635004999956436,52.635004999956436,138.0,0.0002732119721061159,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/cart/add/anonymous-100/RED/1,1,0,378.7253969999824,378.7253969999824,378.7253969999824,378.7253969999824,132.0,0.0002732119721061159,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/api/cart/add/anonymous-100/RMC/1,1,0,127.0858290000092,127.0858290000092,127.0858290000092,127.0858290000092,210.0,0.0002732119721061159,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,36.29577499998504,36.29577499998504,36.29577499998504,36.29577499998504,138.0,0.0002732119721061159,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/cart/add/anonymous-100/Watson/1,1,0,52.774061999969035,52.774061999969035,52.774061999969035,52.774061999969035,209.0,0.0002732119721061159,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/cart/add/anonymous-1000/EMM/1,1,1,84826.47348,84826.47348,84826.47348,84826.47348,0.0,0.0002732119721061159,0.0002732119721061159,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
GET,/api/cart/add/anonymous-1000/RED/1,2,0,440.0,30680.68667549983,435.79878699983965,60925.57456399982,133.0,0.0005464239442122318,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1000/SHCE/1,1,0,684.0771940001105,684.0771940001105,684.0771940001105,684.0771940001105,124.0,0.0002732119721061159,0.0,680,680,680,680,680,680,680,680,680,680,680
GET,/api/cart/add/anonymous-1001/EPE/1,1,0,111342.23676800002,111342.23676800002,111342.23676800002,111342.23676800002,129.0,0.0002732119721061159,0.0,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000
GET,/api/cart/add/anonymous-1001/SHCE/1,1,0,33079.30774199986,33079.30774199986,33079.30774199986,33079.30774199986,222.0,0.0002732119721061159,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,33080.293741000336,33080.293741000336,33080.293741000336,33080.293741000336,124.0,0.0002732119721061159,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/cart/add/anonymous-1004/RED/1,1,0,30318.011137999747,30318.011137999747,30318.011137999747,30318.011137999747,132.0,0.0002732119721061159,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1004/UHJ/1,1,0,34829.29765300014,34829.29765300014,34829.29765300014,34829.29765300014,209.0,0.0002732119721061159,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/api/cart/add/anonymous-1004/Watson/1,2,0,52000.0,56138.438402499785,51675.30065499977,60601.576149999804,154.0,0.0005464239442122318,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,60603.43394799974,60603.43394799974,60603.43394799974,60603.43394799974,219.0,0.0002732119721061159,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1005/RED/1,2,0,30330.487322999943,31710.494125999958,30330.487322999943,33090.50092899997,132.0,0.0005464239442122318,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/cart/add/anonymous-1005/STAN-1/1,1,0,146242.5498050002,146242.5498050002,146242.5498050002,146242.5498050002,196.0,0.0002732119721061159,0.0,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,55605.148491000364,55605.148491000364,55605.148491000364,55605.148491000364,111.0,0.0002732119721061159,0.0,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
GET,/api/cart/add/anonymous-1006/Watson/1,1,0,25697.35298600017,25697.35298600017,25697.35298600017,25697.35298600017,182.0,0.0002732119721061159,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1007/EPE/1,1,0,85782.29188500017,85782.29188500017,85782.29188500017,85782.29188500017,129.0,0.0002732119721061159,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,60848.57825600011,60848.57825600011,60848.57825600011,60848.57825600011,121.0,0.0002732119721061159,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-101/RMC/1,1,0,30.018678999965687,30.018678999965687,30.018678999965687,30.018678999965687,190.0,0.0002732119721061159,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,84.84385600002042,84.84385600002042,84.84385600002042,84.84385600002042,124.0,0.0002732119721061159,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,40.81657099999347,40.81657099999347,40.81657099999347,40.81657099999347,111.0,0.0002732119721061159,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,399.23987899999247,399.23987899999247,399.23987899999247,399.23987899999247,230.0,0.0002732119721061159,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/api/cart/add/anonymous-1010/RED/1,1,0,60933.42895399974,60933.42895399974,60933.42895399974,60933.42895399974,210.0,0.0002732119721061159,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1010/RMC/1,1,0,29721.586543000285,29721.586543000285,29721.586543000285,29721.586543000285,108.0,0.0002732119721061159,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1013/STAN-1/1,1,0,28765.471855000214,28765.471855000214,28765.471855000214,28765.471855000214,111.0,0.0002732119721061159,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1014/EPE/1,1,0,85787.44087899986,85787.44087899986,85787.44087899986,85787.44087899986,129.0,0.0002732119721061159,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1015/HPTD/1,1,0,61183.07163999998,61183.07163999998,61183.07163999998,61183.07163999998,121.0,0.0002732119721061159,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1015/STAN-1/1,1,0,25558.76249799985,25558.76249799985,25558.76249799985,25558.76249799985,111.0,0.0002732119721061159,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1016/STAN-1/1,1,0,85784.59778200022,85784.59778200022,85784.59778200022,85784.59778200022,111.0,0.0002732119721061159,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1017/EMM/1,1,0,24942.981947000135,24942.981947000135,24942.981947000135,24942.981947000135,137.0,0.0002732119721061159,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1017/RED/1,1,0,83997.74498899978,83997.74498899978,83997.74498899978,83997.74498899978,132.0,0.0002732119721061159,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1018/HPTD/1,1,0,66650.50753100013,66650.50753100013,66650.50753100013,66650.50753100013,121.0,0.0002732119721061159,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1018/Watson/1,1,0,31238.726154000233,31238.726154000233,31238.726154000233,31238.726154000233,193.0,0.0002732119721061159,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1019/STAN-1/1,2,0,52000.0,67835.77387600031,51787.71342000028,83883.83433200033,111.5,0.0005464239442122318,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1019/Watson/1,1,0,51950.095929999865,51950.095929999865,51950.095929999865,51950.095929999865,184.0,0.0002732119721061159,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-102/EPE/1,1,0,52.33166299996128,52.33166299996128,52.33166299996128,52.33166299996128,129.0,0.0002732119721061159,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/api/cart/add/anonymous-102/HPTD/1,1,0,1003.3645519999936,1003.3645519999936,1003.3645519999936,1003.3645519999936,199.0,0.0002732119721061159,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/cart/add/anonymous-102/RMC/1,1,0,125.61413399998855,125.61413399998855,125.61413399998855,125.61413399998855,108.0,0.0002732119721061159,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/cart/add/anonymous-102/Watson/1,1,0,21.532884000009744,21.532884000009744,21.532884000009744,21.532884000009744,200.0,0.0002732119721061159,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-1020/EPE/1,1,0,84016.26326599989,84016.26326599989,84016.26326599989,84016.26326599989,129.0,0.0002732119721061159,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1020/Watson/1,1,0,41009.28550899971,41009.28550899971,41009.28550899971,41009.28550899971,106.0,0.0002732119721061159,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-1022/RED/1,1,0,84017.24966499978,84017.24966499978,84017.24966499978,84017.24966499978,132.0,0.0002732119721061159,0.0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000
GET,/api/cart/add/anonymous-1022/Watson/1,1,0,24939.499951000016,24939.499951000016,24939.499951000016,24939.499951000016,106.0,0.0002732119721061159,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1023/RED/1,1,0,60467.26109700012,60467.26109700012,60467.26109700012,60467.26109700012,132.0,0.0002732119721061159,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1024/EPE/1,1,0,41246.42061999976,41246.42061999976,41246.42061999976,41246.42061999976,288.0,0.0002732119721061159,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-1024/HPTD/1,1,0,50148.75142000028,50148.75142000028,50148.75142000028,50148.75142000028,219.0,0.0002732119721061159,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1024/RED/1,1,0,146262.38218200023,146262.38218200023,146262.38218200023,146262.38218200023,132.0,0.0002732119721061159,0.0,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000
GET,/api/cart/add/anonymous-1024/Watson/1,1,0,60475.68388700028,60475.68388700028,60475.68388700028,60475.68388700028,106.0,0.0002732119721061159,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1025/EPE/1,1,0,85787.00457900004,85787.00457900004,85787.00457900004,85787.00457900004,129.0,0.0002732119721061159,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1025/RMC/1,1,0,41208.76376600018,41208.76376600018,41208.76376600018,41208.76376600018,184.0,0.0002732119721061159,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-1025/Watson/1,1,0,146253.86649099982,146253.86649099982,146253.86649099982,146253.86649099982,106.0,0.0002732119721061159,0.0,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000
GET,/api/cart/add/anonymous-1026/SHCE/1,2,1,25000.0,29506.04921150011,24921.306173000175,34090.79225000005,62.0,0.0005464239442122318,0.0002732119721061159,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-1026/UHJ/1,1,0,64531.47962699995,64531.47962699995,64531.47962699995,64531.47962699995,138.0,0.0002732119721061159,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1026/Watson/1,1,1,59712.5405490001,59712.5405490001,59712.5405490001,59712.5405490001,0.0,0.0002732119721061159,0.0002732119721061159,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1027/EPE/1,2,0,58000.0,101950.12757600012,57655.50134900013,146244.7538030001,129.5,0.0005464239442122318,0.0,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000,146000
GET,/api/cart/add/anonymous-1027/STAN-1/1,1,1,59713.01584899993,59713.01584899993,59713.01584899993,59713.01584899993,0.0,0.0002732119721061159,0.0002732119721061159,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1028/SHCE/1,2,1,34090.04815100024,50608.50305250028,34090.04815100024,67126.95795400032,62.0,0.0005464239442122318,0.0002732119721061159,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1029/EMM/1,1,0,60687.11145099996,60687.11145099996,60687.11145099996,60687.11145099996,137.0,0.0002732119721061159,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1029/HPTD/1,1,0,24940.321250000125,24940.321250000125,24940.321250000125,24940.321250000125,223.0,0.0002732119721061159,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1029/SHCE/1,1,1,59712.387949,59712.387949,59712.387949,59712.387949,0.0,0.0002732119721061159,0.0002732119721061159,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1029/Watson/1,1,0,24931.87456099986,24931.87456099986,24931.87456099986,24931.87456099986,293.0,0.0002732119721061159,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-103/EMM/1,1,0,145.07309700002224,145.07309700002224,145.07309700002224,145.07309700002224,229.0,0.0002732119721061159,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-103/EPE/1,1,0,360.39329999999836,360.39329999999836,360.39329999999836,360.39329999999836,129.0,0.0002732119721061159,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/api/cart/add/anonymous-103/RED/1,1,0,107.09653999998636,107.09653999998636,107.09653999998636,107.09653999998636,201.0,0.0002732119721061159,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-103/SHCE/1,1,0,37.799473000006856,37.799473000006856,37.799473000006856,37.799473000006856,124.0,0.0002732119721061159,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/cart/add/anonymous-1030/HPTD/1,1,0,24931.856059999973,24931.856059999973,24931.856059999973,24931.856059999973,121.0,0.0002732119721061159,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1030/RED/1,1,1,59712.60094900026,59712.60094900026,59712.60094900026,59712.60094900026,0.0,0.0002732119721061159,0.0002732119721061159,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/cart/add/anonymous-1031/EPE/1,1,0,25524.158440000065,25524.158440000065,25524.158440000065,25524.158440000065,129.0,0.0002732119721061159,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1031/STAN-1/1,1,0,97917.02728400014,97917.02728400014,97917.02728400014,97917.02728400014,111.0,0.0002732119721061159,0.0,98000,98000,98000,98000,98000,98000,98000,98000,98000,98000,98000
GET,/api/cart/add/anonymous-1033/EPE/1,1,0,65508.70982000015,65508.70982000015,65508.70982000015,65508.70982000015,129.0,0.0002732119721061159,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
GET,/api/cart/add/anonymous-1033/UHJ/1,1,0,31231.348363000052,31231.348363000052,31231.348363000052,31231.348363000052,220.0,0.0002732119721061159,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1034/EMM/1,2,0,31218.10767900024,59877.60348750021,31218.10767900024,88537.09929600017,137.0,0.0005464239442122318,0.0,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000
GET,/api/cart/add/anonymous-1035/EPE/1,1,0,31200.6797009999,31200.6797009999,31200.6797009999,31200.6797009999,179.0,0.0002732119721061159,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1035/STAN-1/1,1,0,65515.691812000114,65515.691812000114,65515.691812000114,65515.691812000114,111.0,0.0002732119721061159,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
GET,/api/cart/add/anonymous-1036/STAN-1/1,1,0,30351.775535999877,30351.775535999877,30351.775535999877,30351.775535999877,111.0,0.0002732119721061159,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1038/RED/1,1,0,41640.90974100008,41640.90974100008,41640.90974100008,41640.90974100008,202.0,0.0002732119721061159,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/cart/add/anonymous-1038/STAN-1/1,1,0,31220.642075999876,31220.642075999876,31220.642075999876,31220.642075999876,267.0,0.0002732119721061159,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1038/Watson/1,1,0,88545.96398600006,88545.96398600006,88545.96398600006,88545.96398600006,106.0,0.0002732119721061159,0.0,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000
GET,/api/cart/add/anonymous-1039/HPTD/1,2,0,42000.0,53993.77812149987,41637.22784499987,66350.32839799987,121.0,0.0005464239442122318,0.0,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000
GET,/api/cart/add/anonymous-1039/RED/1,1,0,30332.079559999784,30332.079559999784,30332.079559999784,30332.079559999784,219.0,0.0002732119721061159,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1039/UHJ/1,1,0,31832.051129999854,31832.051129999854,31832.051129999854,31832.051129999854,138.0,0.0002732119721061159,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/cart/add/anonymous-104/EPE/1,1,0,1026.9293469999639,1026.9293469999639,1026.9293469999639,1026.9293469999639,129.0,0.0002732119721061159,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/cart/add/anonymous-104/HPTD/1,1,0,19.61738500000365,19.61738500000365,19.61738500000365,19.61738500000365,121.0,0.0002732119721061159,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/cart/add/anonymous-104/RMC/1,1,0,146.8971180000267,146.8971180000267,146.8971180000267,146.8971180000267,207.0,0.0002732119721061159,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-104/STAN-1/1,1,0,27.56307999999308,27.56307999999308,27.56307999999308,27.56307999999308,200.0,0.0002732119721061159,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-1040/RED/1,1,0,124371.94500800024,124371.94500800024,124371.94500800024,124371.94500800024,196.0,0.0002732119721061159,0.0,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000
GET,/api/cart/add/anonymous-1040/SHCE/1,2,0,26000.0,62564.1980790001,25550.901608000004,99577.4945500002,124.5,0.0005464239442122318,0.0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
GET,/api/cart/add/anonymous-1040/STAN-1/1,1,0,64003.27613099989,64003.27613099989,64003.27613099989,64003.27613099989,111.0,0.0002732119721061159,0.0,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
