Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-403,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-403,1
POST,/api/payment/pay/anonymous-103,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-103,1
POST,/api/payment/pay/anonymous-107,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-107,1
POST,/api/payment/pay/anonymous-171,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-171,2
POST,/api/payment/pay/anonymous-287,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-287,1
GET,/api/cart/update/anonymous-657/HPTD/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-657/HPTD/2,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,13
GET,/api/cart/add/anonymous-631/RMC/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-585/RMC/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-304,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-304,2
POST,/api/payment/pay/anonymous-411,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-411,1
GET,/api/cart/update/anonymous-381/STAN-1/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-381/STAN-1/2,1
POST,/api/payment/pay/anonymous-94,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-94,1
POST,/api/payment/pay/anonymous-599,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-599,1
GET,/api/cart/cart/anonymous-1023,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-1023,1
POST,/api/shipping/confirm/anonymous-504,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-504,1
GET,/api/cart/cart/anonymous-587,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1029/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-212,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-212,1
GET,/api/shipping/calc/5083883,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-213,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-213,2
POST,/api/payment/pay/anonymous-906,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-906,1
POST,/api/payment/pay/anonymous-337,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-337,1
POST,/api/payment/pay/anonymous-189,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-189,1
GET,/api/shipping/calc/5547096,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-61,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-61,2
GET,/api/cart/update/anonymous-522/Watson/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-522/Watson/2,1
GET,/api/cart/add/anonymous-333/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-432,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-432,2
GET,/api/cart/cart/anonymous-1037,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-951/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-382/HPTD/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-382/HPTD/2,1
GET,/api/cart/update/anonymous-283/EPE/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-283/EPE/2,1
POST,/api/shipping/confirm/anonymous-966,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-966,1
POST,/api/shipping/confirm/anonymous-296,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-296,1
GET,/api/cart/cart/anonymous-491,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-248,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-248,2
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.175.86/api/shipping/cities/es,1
GET,/api/cart/cart/anonymous-467,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-467,1
GET,/api/cart/add/anonymous-875/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-718,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-864,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-864,1
POST,/api/shipping/confirm/anonymous-193,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-362,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-362,1
POST,/api/payment/pay/anonymous-568,Remote end closed connection without response,1
GET,/api/shipping/calc/4580552,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-303/EPE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-788,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-788,1
POST,/api/payment/pay/anonymous-297,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-297,1
POST,/api/payment/pay/anonymous-114,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-114,1
POST,/api/payment/pay/anonymous-253,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-253,1
POST,/api/payment/pay/anonymous-83,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-83,2
POST,/api/shipping/confirm/anonymous-427,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-427,1
POST,/api/payment/pay/anonymous-244,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-244,2
GET,/api/shipping/calc/3439798,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-384,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-384,1
GET,/api/cart/update/anonymous-411/RMC/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-411/RMC/2,1
POST,/api/payment/pay/anonymous-220,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-220,1
POST,/api/payment/pay/anonymous-414,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-414,1
POST,/api/payment/pay/anonymous-136,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-136,2
POST,/api/shipping/confirm/anonymous-400,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-400,1
GET,/api/cart/update/anonymous-625/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3353278,504 Server Error: Gateway Time-out for url: http://20.108.175.86/api/shipping/calc/3353278,1
GET,/api/shipping/calc/3347314,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,5
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,2
POST,/api/shipping/confirm/anonymous-627,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-627,1
GET,/api/cart/add/anonymous-876/RMC/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-816/EPE/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-636,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-636,1
GET,/api/shipping/calc/3925418,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-154,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-154,2
GET,/api/shipping/calc/5391143,504 Server Error: Gateway Time-out for url: http://20.108.175.86/api/shipping/calc/5391143,1
POST,/api/payment/pay/anonymous-463,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-463,1
GET,/api/cart/update/anonymous-557/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1088/EPE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-405,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-405,1
POST,/api/payment/pay/anonymous-961,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-961,1
POST,/api/payment/pay/anonymous-668,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-668,1
GET,/api/cart/add/anonymous-772/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-727/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5349178,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-97,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-97,1
GET,/api/cart/add/anonymous-835/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-243,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-243,2
GET,/api/cart/cart/anonymous-538,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/cart/anonymous-538,1
POST,/api/shipping/confirm/anonymous-450,404 Client Error:  for url: http://20.108.175.86/api/shipping/confirm/anonymous-450,1
GET,/api/cart/update/anonymous-668/EMM/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-454/RED/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-454/RED/2,1
GET,/api/cart/update/anonymous-642/RMC/2,404 Client Error: Not Found for url: http://20.108.175.86/api/cart/update/anonymous-642/RMC/2,1
POST,/api/payment/pay/anonymous-109,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.86/api/payment/pay/anonymous-109,1
GET,/api/cart/cart/anonymous-1038,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-131,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-131,2
POST,/api/shipping/confirm/anonymous-499,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-755,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-112,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-112,1
GET,/api/cart/add/anonymous-1042/RED/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-428,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-195,403 Client Error: FORBIDDEN for url: http://20.108.175.86/api/payment/pay/anonymous-195,2
GET,/api/cart/update/anonymous-828/UHJ/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-613,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.86/api/payment/pay/anonymous-613,1
POST,/api/shipping/confirm/anonymous-831,Remote end closed connection without response,1
GET,/api/shipping/calc/4053568,504 Server Error: Gateway Time-out for url: http://20.108.175.86/api/shipping/calc/4053568,1
