Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2336,65,41000.0,92633.68352820644,9.78442499990706,1923380.9468089999,2514.0436643835615,0.6419714445863358,0.017863075298849243,41000,61000,76000,85000,122000,248000,951000,1684000,1923000,1923000,1923000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,21.350947999962955,21.350947999962955,21.350947999962955,21.350947999962955,137.0,0.0002748165430592191,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-1/RED/1,2,0,39,43.28805249997458,38.51849099999072,48.05761399995845,133.0,0.0005496330861184382,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-1/RMC/1,1,0,14.61893299995154,14.61893299995154,14.61893299995154,14.61893299995154,215.0,0.0002748165430592191,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-10/EMM/1,2,0,40.425095000045985,43.90605700001515,40.425095000045985,47.38701899998432,175.5,0.0005496330861184382,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,27.85496499996043,27.85496499996043,27.85496499996043,27.85496499996043,229.0,0.0002748165430592191,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-10/UHJ/1,1,0,38.764196999977685,38.764196999977685,38.764196999977685,38.764196999977685,138.0,0.0002748165430592191,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,3354.8310969999875,3354.8310969999875,3354.8310969999875,3354.8310969999875,121.0,0.0002748165430592191,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/cart/add/anonymous-100/SHCE/1,3,0,2000.0,2048.5046959999713,1921.432125000024,2201.5452989999176,154.0,0.0008244496291776573,0.0,2000,2000,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/cart/add/anonymous-1000/RED/1,1,0,20995.37010399945,20995.37010399945,20995.37010399945,20995.37010399945,132.0,0.0002748165430592191,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1000/RMC/1,1,0,31185.699413999828,31185.699413999828,31185.699413999828,31185.699413999828,210.0,0.0002748165430592191,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,47381.16224099985,47381.16224099985,47381.16224099985,47381.16224099985,182.0,0.0002748165430592191,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,22680.208883999967,22680.208883999967,22680.208883999967,22680.208883999967,106.0,0.0002748165430592191,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,39927.97302099962,39927.97302099962,39927.97302099962,39927.97302099962,121.0,0.0002748165430592191,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1009/HPTD/1,1,0,51814.92211800014,51814.92211800014,51814.92211800014,51814.92211800014,226.0,0.0002748165430592191,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1009/UHJ/1,1,0,41820.18447200017,41820.18447200017,41820.18447200017,41820.18447200017,138.0,0.0002748165430592191,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,3357.7243080000017,3357.7243080000017,3357.7243080000017,3357.7243080000017,121.0,0.0002748165430592191,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/cart/add/anonymous-101/RED/1,1,0,2174.2583989999957,2174.2583989999957,2174.2583989999957,2174.2583989999957,132.0,0.0002748165430592191,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/cart/add/anonymous-101/RMC/1,1,0,1919.6584580000717,1919.6584580000717,1919.6584580000717,1919.6584580000717,210.0,0.0002748165430592191,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/cart/add/anonymous-101/Watson/1,1,0,2024.2098280000391,2024.2098280000391,2024.2098280000391,2024.2098280000391,193.0,0.0002748165430592191,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/cart/add/anonymous-1010/Watson/1,1,0,44825.96317400021,44825.96317400021,44825.96317400021,44825.96317400021,106.0,0.0002748165430592191,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/api/cart/add/anonymous-1011/STAN-1/1,1,0,64230.5581239998,64230.5581239998,64230.5581239998,64230.5581239998,191.0,0.0002748165430592191,0.0,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
GET,/api/cart/add/anonymous-1011/UHJ/1,1,0,49617.86123000002,49617.86123000002,49617.86123000002,49617.86123000002,138.0,0.0002748165430592191,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1012/SHCE/1,1,0,39571.0430930003,39571.0430930003,39571.0430930003,39571.0430930003,124.0,0.0002748165430592191,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1012/UHJ/1,1,0,44824.77696400019,44824.77696400019,44824.77696400019,44824.77696400019,138.0,0.0002748165430592191,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/api/cart/add/anonymous-1013/HPTD/1,1,0,39569.74898199996,39569.74898199996,39569.74898199996,39569.74898199996,121.0,0.0002748165430592191,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1013/RMC/1,1,0,44825.98887400036,44825.98887400036,44825.98887400036,44825.98887400036,108.0,0.0002748165430592191,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
