Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645856528,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1645856529,10,,Aggregated,0.000000,0.000000,19,31,57,87,97,120,150,150,150,150,150,33,0,19,37.84023375756492,5.314511999927163,147.85373299991988,443.42424242424244
1645856530,20,,Aggregated,0.000000,0.000000,21,29,42,49,97,210,760,1200,1200,1200,1200,92,0,21,57.516400293474874,5.314511999927163,1159.9804390000372,130684.96739130435
1645856531,30,,Aggregated,33.000000,0.000000,29,47,89,210,330,730,1100,1200,1500,1500,1500,118,0,29,124.60353618643664,5.314511999927163,1461.2818899998956,250233.77966101695
1645856532,40,,Aggregated,46.000000,0.000000,32,41,51,73,220,350,760,1200,1500,1500,1500,252,0,32,94.66170613888777,5.314511999927163,1473.8078490000817,143696.65873015873
1645856533,50,,Aggregated,35.333333,0.000000,32,40,49,58,220,490,840,1200,1500,1500,1500,323,0,32,94.21017068730536,5.314511999927163,1473.8078490000817,164995.90712074304
1645856535,60,,Aggregated,55.500000,0.000000,32,42,56,87,340,640,1200,1500,3400,3400,3400,339,0,32,130.12945294395274,5.314511999927163,3366.105910000101,235859.51032448377
1645856536,70,,Aggregated,53.833333,0.000000,36,47,57,97,520,760,1600,2600,5000,5000,5000,431,0,36,177.26462011368923,5.314511999927163,4984.13439400008,214937.3410672854
1645856537,80,,Aggregated,48.428571,0.000000,37,49,86,160,490,740,1600,2600,6100,6100,6100,515,0,37,183.20612989126158,5.314511999927163,6140.076918999966,205264.03883495147
1645856539,90,,Aggregated,43.000000,0.000000,38,50,110,180,510,770,1800,2600,7200,7200,7200,560,0,38,204.39716451964222,5.314511999927163,7215.556444000072,227794.93214285714
1645856540,100,,Aggregated,54.200000,0.000000,41,69,150,260,680,1000,2100,2700,8500,8500,8500,638,0,41,244.77182119905802,5.314511999927163,8462.494506999974,219567.91536050156
1645856542,110,,Aggregated,54.200000,0.000000,48,80,150,250,640,1000,2300,3500,8500,8500,8500,692,0,48,245.71935879479634,5.314511999927163,8462.494506999974,241437.3049132948
1645856543,120,,Aggregated,58.600000,0.000000,61,120,220,280,720,1500,2300,3500,9900,9900,9900,824,0,61,291.26072818810405,5.314511999927163,9902.89480499996,212054.68446601942
1645856544,130,,Aggregated,47.000000,0.000000,72,130,220,280,640,1200,2200,4100,11000,11000,11000,973,0,72,289.7967763134607,5.314511999927163,11075.477091000039,189445.28982528264
1645856545,140,,Aggregated,47.000000,0.000000,76,140,250,300,640,1300,2300,5000,11000,12000,12000,1006,0,76,310.6924815646098,5.314511999927163,12113.667364999968,197405.80218687872
1645856546,150,,Aggregated,62.100000,0.000000,86,170,270,320,760,1400,2400,5500,12000,13000,13000,1127,0,86,347.8635548651266,5.314511999927163,13152.69930799991,183781.78615794145
1645856548,160,,Aggregated,66.700000,0.000000,97,170,260,320,740,1300,2500,5800,14000,14000,14000,1335,3,97,358.40264360374334,5.314511999927163,13926.703889999999,177180.5415730337
1645856550,170,,Aggregated,79.300000,0.300000,100,180,280,350,850,1800,4400,6700,14000,15000,15000,1369,9,100.0,440.49077741782156,5.314511999927163,14607.977478000066,190909.05259313367
1645856551,180,,Aggregated,77.500000,0.300000,110,210,330,480,1100,1900,5300,7000,14000,15000,15000,1438,13,110.0,495.8979542225296,5.314511999927163,14607.977478000066,191957.73852573018
1645856555,190,,Aggregated,74.600000,1.300000,120,230,350,540,1400,1900,5700,7700,14000,15000,15000,1476,16,120.0,545.806680468156,5.314511999927163,14607.977478000066,223906.48712737128
1645856556,200,,Aggregated,67.000000,1.600000,120,240,360,550,1400,2000,5800,8500,14000,15000,15000,1480,16,120.0,558.0422030236474,5.314511999927163,14607.977478000066,241524.20337837838
1645856557,210,,Aggregated,47.000000,1.600000,120,260,450,640,1600,4500,7100,11000,14000,15000,15000,1520,28,120.0,726.5213080440774,5.314511999927163,14607.977478000066,245459.50592105262
1645856559,220,,Aggregated,28.000000,2.200000,140,340,690,910,2200,5400,8900,11000,14000,15000,15000,1644,32,140.0,916.1353810030399,5.314511999927163,14607.977478000066,233359.6806569343
1645856560,230,,Aggregated,18.500000,2.500000,180,370,690,870,2200,5700,8900,10000,14000,15000,15000,1795,35,180.0,939.2325038518094,5.314511999927163,14607.977478000066,216448.0373259053
1645856561,240,,Aggregated,30.400000,2.900000,250,450,650,850,2400,5300,8600,10000,14000,15000,15000,2026,36,250.0,935.3251178509365,5.314511999927163,14607.977478000066,193589.70977295164
1645856562,250,,Aggregated,40.700000,2.700000,300,480,590,810,2100,5200,8500,10000,14000,15000,15000,2236,38,300.0,907.1567717432893,5.314511999927163,14607.977478000066,175449.3072450805
1645856565,260,,Aggregated,55.300000,2.500000,330,480,570,770,1900,5000,8300,9900,14000,15000,15000,2412,40,320.0,883.4698461036456,5.314511999927163,14607.977478000066,175797.58043117746
1645856566,270,,Aggregated,93.700000,2.400000,340,490,610,840,2600,5000,8300,9900,14000,15000,15000,2480,43,340.0,945.4768818052386,5.314511999927163,14607.977478000066,173982.80887096774
1645856567,280,,Aggregated,93.600000,2.400000,350,500,700,1000,2700,4900,8300,9800,14000,15000,15000,2541,44,350.0,983.9333590665053,5.314511999927163,14607.977478000066,174821.34907516727
1645856568,290,,Aggregated,98.600000,2.600000,360,510,770,1300,2700,5000,8300,9800,14000,15000,15000,2574,46,360.0,1011.4929768073005,5.314511999927163,14607.977478000066,180901.65695415696
1645856570,300,,Aggregated,104.600000,2.100000,370,520,800,1500,2800,5000,8300,9800,14000,15000,15000,2605,46,370.0,1039.2510361163113,5.314511999927163,14607.977478000066,189731.71938579655
1645856572,310,,Aggregated,93.500000,1.400000,380,530,840,1600,3000,5200,8300,9900,14000,15000,15000,2641,48,380.0,1100.4542721609203,5.314511999927163,14607.977478000066,192851.4418780765
