Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-443/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1017/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-729,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/cart/anonymous-729,1
POST,/api/payment/pay/anonymous-443,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.128/api/payment/pay/anonymous-443,1
GET,/api/cart/add/anonymous-1070/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-756,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.128/api/payment/pay/anonymous-756,1
POST,/api/payment/pay/anonymous-300,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-300,1
POST,/api/payment/pay/anonymous-88,429 Client Error: TOO MANY REQUESTS for url: http://20.117.85.128/api/payment/pay/anonymous-88,2
GET,/api/cart/add/anonymous-458/SHCE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3309382,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-321,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,15
POST,/api/payment/pay/anonymous-434,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-434,1
POST,/api/payment/pay/anonymous-149,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-149,2
POST,/api/payment/pay/anonymous-13,429 Client Error: TOO MANY REQUESTS for url: http://20.117.85.128/api/payment/pay/anonymous-13,1
POST,/api/payment/pay/anonymous-506,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.128/api/payment/pay/anonymous-506,1
GET,/api/shipping/calc/3918850,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-455,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-326/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-430/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-275,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-275,2
POST,/api/payment/pay/anonymous-557,500 Server Error: INTERNAL SERVER ERROR for url: http://20.117.85.128/api/payment/pay/anonymous-557,1
GET,/api/cart/cart/anonymous-851,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/cart/anonymous-851,1
POST,/api/payment/pay/anonymous-147,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-147,2
POST,/api/payment/pay/anonymous-370,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-370,1
POST,/api/shipping/confirm/anonymous-468,404 Client Error:  for url: http://20.117.85.128/api/shipping/confirm/anonymous-468,1
GET,/api/cart/cart/anonymous-945,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/cart/anonymous-945,1
GET,/api/cart/cart/anonymous-925,Remote end closed connection without response,1
GET,/api/shipping/calc/3204305,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-224,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-224,2
GET,/api/cart/add/anonymous-708/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-173,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-173,2
POST,/api/payment/pay/anonymous-16,429 Client Error: TOO MANY REQUESTS for url: http://20.117.85.128/api/payment/pay/anonymous-16,1
POST,/api/payment/pay/anonymous-346,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-111,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-111,1
GET,/api/cart/cart/anonymous-323,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/cart/anonymous-323,1
POST,/api/payment/pay/anonymous-280,403 Client Error: FORBIDDEN for url: http://20.117.85.128/api/payment/pay/anonymous-280,1
GET,/api/shipping/calc/4174234,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-475/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-975/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-33,429 Client Error: TOO MANY REQUESTS for url: http://20.117.85.128/api/payment/pay/anonymous-33,2
GET,/api/cart/cart/anonymous-905,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-675/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1010/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3440026,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-488/RMC/2,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/update/anonymous-488/RMC/2,1
POST,/api/shipping/confirm/anonymous-643,404 Client Error:  for url: http://20.117.85.128/api/shipping/confirm/anonymous-643,1
GET,/api/cart/update/anonymous-531/SHCE/2,404 Client Error: Not Found for url: http://20.117.85.128/api/cart/update/anonymous-531/SHCE/2,1
GET,/api/cart/cart/anonymous-705,Remote end closed connection without response,1
