Method,Name,Error,Occurrences
GET,/api/cart/update/anonymous-252/HPTD/2,404 Client Error: Not Found for url: http://20.108.174.95/api/cart/update/anonymous-252/HPTD/2,1
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-424,404 Client Error:  for url: http://20.108.174.95/api/shipping/confirm/anonymous-424,2
GET,/api/catalogue/product/Watson,Remote end closed connection without response,12
GET,/api/shipping/calc/3959281,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-455,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-382,429 Client Error: TOO MANY REQUESTS for url: http://20.108.174.95/api/payment/pay/anonymous-382,1
POST,/api/shipping/confirm/anonymous-283,404 Client Error:  for url: http://20.108.174.95/api/shipping/confirm/anonymous-283,1
POST,/api/payment/pay/anonymous-485,404 Client Error: NOT FOUND for url: http://20.108.174.95/api/payment/pay/anonymous-485,1
GET,/api/cart/cart/anonymous-411,404 Client Error: Not Found for url: http://20.108.174.95/api/cart/cart/anonymous-411,1
GET,/api/cart/update/anonymous-762/EMM/2,404 Client Error: Not Found for url: http://20.108.174.95/api/cart/update/anonymous-762/EMM/2,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.174.95/api/shipping/cities/us,4
POST,/api/payment/pay/anonymous-780,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-780,1
POST,/api/shipping/confirm/anonymous-571,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-486/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-901,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-623,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-623,1
GET,/api/cart/add/anonymous-501/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-32,429 Client Error: TOO MANY REQUESTS for url: http://20.108.174.95/api/payment/pay/anonymous-32,1
POST,/api/payment/pay/anonymous-565,429 Client Error: TOO MANY REQUESTS for url: http://20.108.174.95/api/payment/pay/anonymous-565,1
POST,/api/payment/pay/anonymous-21,429 Client Error: TOO MANY REQUESTS for url: http://20.108.174.95/api/payment/pay/anonymous-21,1
GET,/api/cart/update/anonymous-446/EPE/2,404 Client Error: Not Found for url: http://20.108.174.95/api/cart/update/anonymous-446/EPE/2,1
GET,/api/shipping/calc/5372944,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-390,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-390,1
GET,/api/cart/add/anonymous-674/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-272,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-272,1
POST,/api/payment/pay/anonymous-414,429 Client Error: TOO MANY REQUESTS for url: http://20.108.174.95/api/payment/pay/anonymous-414,1
GET,/api/cart/update/anonymous-936/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5076329,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-394,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-394,1
POST,/api/payment/pay/anonymous-619,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.174.95/api/payment/pay/anonymous-619,1
GET,/api/cart/cart/anonymous-752,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-783,404 Client Error: Not Found for url: http://20.108.174.95/api/cart/cart/anonymous-783,1
POST,/api/shipping/confirm/anonymous-315,Remote end closed connection without response,1
GET,/api/shipping/calc/6061221,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-905,Remote end closed connection without response,1
