Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2338,51,34000.0,93051.72051071173,24.027651999972477,1838177.3390850003,2529.590248075278,0.6436449802567149,0.014040159962828255,34000,59000,77000,85000,133000,168000,1541000,1679000,1759000,1838000,1838000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,24.287053999955788,24.287053999955788,24.287053999955788,24.287053999955788,200.0,0.000275297254173103,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-1/RMC/1,1,0,48.13230100000965,48.13230100000965,48.13230100000965,48.13230100000965,108.0,0.000275297254173103,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-1/Watson/1,2,0,39,38.977395500012335,38.642141000025276,39.312649999999394,145.0,0.000550594508346206,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-10/EPE/1,1,0,52.293329999997695,52.293329999997695,52.293329999997695,52.293329999997695,200.0,0.000275297254173103,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/api/cart/add/anonymous-10/RED/1,1,0,63.22809400001006,63.22809400001006,63.22809400001006,63.22809400001006,196.0,0.000275297254173103,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,23.533346999954574,23.533346999954574,23.533346999954574,23.533346999954574,111.0,0.000275297254173103,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-10/Watson/1,1,0,29.046682999990026,29.046682999990026,29.046682999990026,29.046682999990026,106.0,0.000275297254173103,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-100/EPE/1,1,0,3043.6577170000305,3043.6577170000305,3043.6577170000305,3043.6577170000305,129.0,0.000275297254173103,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,2052.516695999998,2052.516695999998,2052.516695999998,2052.516695999998,217.0,0.000275297254173103,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,2925.2960830000347,2925.2960830000347,2925.2960830000347,2925.2960830000347,124.0,0.000275297254173103,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,1758.887419999951,1758.887419999951,1758.887419999951,1758.887419999951,230.0,0.000275297254173103,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/cart/add/anonymous-1000/UHJ/1,1,0,119105.78841700044,119105.78841700044,119105.78841700044,119105.78841700044,138.0,0.000275297254173103,0.0,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000,119000
GET,/api/cart/add/anonymous-1001/RED/1,1,0,49367.28774599987,49367.28774599987,49367.28774599987,49367.28774599987,132.0,0.000275297254173103,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1001/UHJ/1,1,0,85686.0053610003,85686.0053610003,85686.0053610003,85686.0053610003,138.0,0.000275297254173103,0.0,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
GET,/api/cart/add/anonymous-1002/RED/1,1,0,49378.12595000014,49378.12595000014,49378.12595000014,49378.12595000014,132.0,0.000275297254173103,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,26376.093828000194,26376.093828000194,26376.093828000194,26376.093828000194,111.0,0.000275297254173103,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1002/UHJ/1,1,0,117477.62257700015,117477.62257700015,117477.62257700015,117477.62257700015,209.0,0.000275297254173103,0.0,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
GET,/api/cart/add/anonymous-1003/RED/1,1,0,40015.62100399997,40015.62100399997,40015.62100399997,40015.62100399997,132.0,0.000275297254173103,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,87207.3705580001,87207.3705580001,87207.3705580001,87207.3705580001,124.0,0.000275297254173103,0.0,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,0,26313.440658000218,26313.440658000218,26313.440658000218,26313.440658000218,199.0,0.000275297254173103,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1004/RMC/1,1,0,67023.72100000002,67023.72100000002,67023.72100000002,67023.72100000002,108.0,0.000275297254173103,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,20030.191326000022,20030.191326000022,20030.191326000022,20030.191326000022,226.0,0.000275297254173103,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/cart/add/anonymous-1005/UHJ/1,1,0,50077.056918999915,50077.056918999915,50077.056918999915,50077.056918999915,138.0,0.000275297254173103,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,39628.26908399984,39628.26908399984,39628.26908399984,39628.26908399984,206.0,0.000275297254173103,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
