Count,Message,Traceback,Nodes
197,[Errno Expecting value] payment error: 0,"  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 309, in run
    self.execute_next_task()
  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 334, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 447, in execute_task
    task(self.user)
  File ""/home/testuser/locustfile.py"", line 87, in load
    order = self.client.post('/api/payment/pay/{}'.format(uniqueid), json=cart, headers={'x-forwarded-for': fake_ip}).json()
  File ""/usr/local/lib/python3.6/dist-packages/requests/models.py"", line 917, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
",local
9,0,"  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 309, in run
    self.execute_next_task()
  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 334, in execute_next_task
    self.execute_task(self._task_queue.pop(0))
  File ""/usr/local/lib/python3.6/dist-packages/locust/user/task.py"", line 447, in execute_task
    task(self.user)
  File ""/home/testuser/locustfile.py"", line 78, in load
    city = choice(self.client.get('/api/shipping/cities/{}'.format(code['code']), headers={'x-forwarded-for': fake_ip}).json())
  File ""/usr/lib/python3.6/random.py"", line 261, in choice
    return seq[i]
",local
