Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-537,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-537,1
GET,/api/cart/update/anonymous-489/RMC/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-622,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.157/api/payment/pay/anonymous-622,1
POST,/api/payment/pay/anonymous-140,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-140,1
GET,/api/cart/add/anonymous-885/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-814,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/cart/anonymous-814,1
POST,/api/payment/pay/anonymous-214,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-214,1
POST,/api/payment/pay/anonymous-396,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-396,1
GET,/api/shipping/calc/3785603,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,8
POST,/api/shipping/confirm/anonymous-263,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-263,1
GET,/api/cart/update/anonymous-795/RMC/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-795/RMC/2,1
GET,/api/cart/update/anonymous-470/Watson/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-470/Watson/2,1
POST,/api/shipping/confirm/anonymous-760,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-760,1
POST,/api/payment/pay/anonymous-688,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.157/api/payment/pay/anonymous-688,1
GET,/api/cart/add/anonymous-483/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-692/RMC/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-692/RMC/2,1
GET,/api/cart/update/anonymous-237/RMC/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-237/RMC/2,1
POST,/api/shipping/confirm/anonymous-260,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-444,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-444,1
POST,/api/payment/pay/anonymous-212,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-212,2
GET,/api/cart/cart/anonymous-587,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-553/EPE/1,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-865,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-420,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-420,1
POST,/api/payment/pay/anonymous-210,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-210,1
GET,/api/cart/add/anonymous-1037/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-182,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-182,1
POST,/api/payment/pay/anonymous-410,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-410,1
GET,/api/cart/update/anonymous-537/SHIP/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-537/SHIP/2,1
GET,/api/cart/update/anonymous-266/STAN-1/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-266/STAN-1/2,1
GET,/api/cart/add/anonymous-566/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-112,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-112,1
POST,/api/payment/pay/anonymous-21,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-21,1
POST,/api/payment/pay/anonymous-74,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-74,2
GET,/api/cart/update/anonymous-386/EMM/2,404 Client Error: Not Found for url: http://20.108.175.157/api/cart/update/anonymous-386/EMM/2,1
GET,/api/cart/cart/anonymous-770,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-579/EMM/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-163,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-163,1
POST,/api/payment/pay/anonymous-174,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-174,2
POST,/api/payment/pay/anonymous-317,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-317,1
POST,/api/payment/pay/anonymous-674,500 Server Error: INTERNAL SERVER ERROR for url: http://20.108.175.157/api/payment/pay/anonymous-674,1
POST,/api/shipping/confirm/anonymous-522,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-522,1
POST,/api/payment/pay/anonymous-365,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-365,1
GET,/api/cart/cart/anonymous-645,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-637/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-313,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-313,2
POST,/api/payment/pay/anonymous-277,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-277,2
POST,/api/shipping/confirm/anonymous-501,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-501,1
GET,/api/cart/add/anonymous-1007/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-155,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-155,1
POST,/api/shipping/confirm/anonymous-799,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-315,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-315,1
POST,/api/payment/pay/anonymous-128,429 Client Error: TOO MANY REQUESTS for url: http://20.108.175.157/api/payment/pay/anonymous-128,1
GET,/api/cart/cart/anonymous-552,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-301,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-301,1
POST,/api/payment/pay/anonymous-404,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-404,1
POST,/api/shipping/confirm/anonymous-590,404 Client Error:  for url: http://20.108.175.157/api/shipping/confirm/anonymous-590,1
GET,/api/cart/update/anonymous-416/EMM/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-654,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-376,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-342,403 Client Error: FORBIDDEN for url: http://20.108.175.157/api/payment/pay/anonymous-342,1
GET,/api/cart/add/anonymous-818/SHCE/1,Remote end closed connection without response,1
