Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2354,69,44000.0,128457.35114230566,12.093267999944146,1789705.6956760003,2510.1996601529313,0.6427116883180416,0.01883904269071575,44000,62000,77000,85000,204000,1031000,1454000,1564000,1790000,1790000,1790000
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,11.60626900002626,11.60626900002626,11.60626900002626,11.60626900002626,203.0,0.0002730296042132717,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,29.57492000007278,29.57492000007278,29.57492000007278,29.57492000007278,111.0,0.0002730296042132717,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,186.60391499997786,186.60391499997786,186.60391499997786,186.60391499997786,209.0,0.0002730296042132717,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-1/Watson/1,1,0,475.45906000004834,475.45906000004834,475.45906000004834,475.45906000004834,106.0,0.0002730296042132717,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/cart/add/anonymous-10/EMM/1,2,0,21.37604300003204,23.74258650002048,21.37604300003204,26.109130000008918,137.0,0.0005460592084265434,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,2407.1384669999816,2407.1384669999816,2407.1384669999816,2407.1384669999816,203.0,0.0002730296042132717,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,160.23148300007506,160.23148300007506,160.23148300007506,160.23148300007506,111.0,0.0002730296042132717,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/cart/add/anonymous-100/RED/1,3,0,2700.0,2831.6051753333795,1358.8850280000315,4399.966806000066,132.66666666666666,0.0008190888126398152,0.0,2700,2700,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/api/cart/add/anonymous-100/Watson/1,1,0,1355.103412999938,1355.103412999938,1355.103412999938,1355.103412999938,202.0,0.0002730296042132717,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
