Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1917,33,21000.0,70517.8394483997,3.7386079998213972,425452.6105240002,2541.4835680751175,1.0513080418037577,0.018097634522443406,21000,55000,109000,188000,230000,262000,307000,396000,425000,425000,425000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,25.057465000145385,25.057465000145385,25.057465000145385,25.057465000145385,222.0,0.0005484131673467699,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,48.57988900016608,48.57988900016608,48.57988900016608,48.57988900016608,124.0,0.0005484131673467699,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/api/cart/add/anonymous-10/RED/1,1,0,103.33579100006318,103.33579100006318,103.33579100006318,103.33579100006318,210.0,0.0005484131673467699,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-10/RMC/1,1,0,39.92925800002922,39.92925800002922,39.92925800002922,39.92925800002922,108.0,0.0005484131673467699,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/api/cart/add/anonymous-100/RMC/1,1,0,63.025915000025634,63.025915000025634,63.025915000025634,63.025915000025634,108.0,0.0005484131673467699,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,119.00308999997833,119.00308999997833,119.00308999997833,119.00308999997833,202.0,0.0005484131673467699,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-1000/HPTD/1,1,0,87674.3586509997,87674.3586509997,87674.3586509997,87674.3586509997,121.0,0.0005484131673467699,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1000/RED/1,1,0,158279.5422280001,158279.5422280001,158279.5422280001,158279.5422280001,219.0,0.0005484131673467699,0.0,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000
GET,/api/cart/add/anonymous-1001/STAN-1/1,2,0,36000.0,71715.02249150013,35930.57178500021,107499.47319800004,111.5,0.0010968263346935398,0.0,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000
GET,/api/cart/add/anonymous-1002/EMM/1,1,0,22319.252141000106,22319.252141000106,22319.252141000106,22319.252141000106,206.0,0.0005484131673467699,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,61915.23350399984,61915.23350399984,61915.23350399984,61915.23350399984,106.0,0.0005484131673467699,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1003/HPTD/1,1,0,64997.008092000215,64997.008092000215,64997.008092000215,64997.008092000215,121.0,0.0005484131673467699,0.0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,158261.67885099995,158261.67885099995,158261.67885099995,158261.67885099995,200.0,0.0005484131673467699,0.0,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000
GET,/api/cart/add/anonymous-1004/RMC/1,1,0,66581.60248199965,66581.60248199965,66581.60248199965,66581.60248199965,108.0,0.0005484131673467699,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1004/STAN-1/1,1,0,176178.7514560001,176178.7514560001,176178.7514560001,176178.7514560001,190.0,0.0005484131673467699,0.0,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000,176000
GET,/api/cart/add/anonymous-1005/EMM/1,2,0,48474.2174500002,57505.757711000115,48474.2174500002,66537.29797200003,137.0,0.0010968263346935398,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,55154.98901799992,55154.98901799992,55154.98901799992,55154.98901799992,216.0,0.0005484131673467699,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/cart/add/anonymous-1006/UHJ/1,1,0,67189.96093799979,67189.96093799979,67189.96093799979,67189.96093799979,138.0,0.0005484131673467699,0.0,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
GET,/api/cart/add/anonymous-1007/EMM/1,1,0,24265.42305799967,24265.42305799967,24265.42305799967,24265.42305799967,206.0,0.0005484131673467699,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,139353.70602900002,139353.70602900002,139353.70602900002,139353.70602900002,106.0,0.0005484131673467699,0.0,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,71847.56828599985,71847.56828599985,71847.56828599985,71847.56828599985,121.0,0.0005484131673467699,0.0,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
GET,/api/cart/add/anonymous-1008/RMC/1,1,0,48003.52975900023,48003.52975900023,48003.52975900023,48003.52975900023,199.0,0.0005484131673467699,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/cart/add/anonymous-1009/STAN-1/1,2,0,88000.0,231622.1506879999,87680.17850199976,375564.12287400005,111.5,0.0010968263346935398,0.0,376000,376000,376000,376000,376000,376000,376000,376000,376000,376000,376000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,97.80827100007627,97.80827100007627,97.80827100007627,97.80827100007627,137.0,0.0005484131673467699,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/cart/add/anonymous-101/Watson/1,1,0,58.881889000076626,58.881889000076626,58.881889000076626,58.881889000076626,206.0,0.0005484131673467699,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-1010/EMM/1,1,0,107528.39673200014,107528.39673200014,107528.39673200014,107528.39673200014,229.0,0.0005484131673467699,0.0,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000
GET,/api/cart/add/anonymous-1010/SHCE/1,1,0,43076.4284830002,43076.4284830002,43076.4284830002,43076.4284830002,124.0,0.0005484131673467699,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/api/cart/add/anonymous-1011/EMM/1,1,1,34367.25247999994,34367.25247999994,34367.25247999994,34367.25247999994,0.0,0.0005484131673467699,0.0005484131673467699,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
