Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-740/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1266/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-940,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1190/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,8
PUT,/api/ratings/api/rate/EPE/3,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/de,13
GET,/api/shipping/calc/5650539,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/calc/5650539,1
GET,/api/cart/update/anonymous-1372/SHCE/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1403/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1121/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1240,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/es,9
GET,/api/shipping/calc/3401119,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/calc/3401119,1
GET,/api/cart/add/anonymous-1208/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-960,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/ro,14
GET,/api/cart/update/anonymous-1304/EPE/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-738/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1368/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-823/SHCE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,6
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,66
GET,/api/cart/update/anonymous-733/RED/2,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,4
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,3
GET,/api/cart/update/anonymous-1361/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/fr,15
GET,/api/cart/update/anonymous-856/STAN-1/2,Remote end closed connection without response,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/at,13
PUT,/api/ratings/api/rate/RMC/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1207/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1068/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1040,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1369/RED/2,[Errno 104] Connection reset by peer,1
