Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643307119,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643307120,10,,Aggregated,0.000000,0.000000,44,59,66,69,90,130,150,150,150,150,150,55,0,44,50.453167872716556,8.552016000066942,151.2290739999571,444.1272727272727
1643307121,20,,Aggregated,0.000000,0.000000,49,60,74,80,130,210,1200,1200,1200,1200,1200,106,0,48,97.73159912262754,5.923110999901837,1225.8580860000166,470.2830188679245
1643307122,30,,Aggregated,51.000000,0.000000,49,66,79,86,120,210,1100,1200,1200,1200,1200,159,0,49,87.14204972954245,5.923110999901837,1225.8580860000166,468.2012578616352
1643307123,40,,Aggregated,45.500000,0.000000,52,71,86,97,150,280,980,1200,1200,1200,1200,204,0,52,100.06728560292083,5.923110999901837,1225.8580860000166,475.25
1643307124,50,,Aggregated,46.000000,0.000000,54,76,96,110,170,280,980,1200,1200,1200,1200,242,0,53,100.27359756197183,5.923110999901837,1225.8580860000166,491.37603305785126
1643307125,60,,Aggregated,45.750000,0.000000,58,80,100,130,190,300,950,1200,1200,1200,1200,290,0,58,102.91644563102598,5.923110999901837,1225.8580860000166,477.40344827586205
1643307126,70,,Aggregated,45.200000,0.000000,59,80,99,120,180,270,490,1100,1200,1200,1200,378,0,58,96.51063823279728,5.923110999901837,1225.8580860000166,466.2063492063492
1643307127,80,,Aggregated,45.833333,0.000000,57,78,98,110,170,220,360,980,1200,1200,1200,456,0,57,89.64475386403046,5.719112000178939,1225.8580860000166,475.00657894736844
1643307128,90,,Aggregated,49.857143,0.000000,56,76,96,110,160,210,340,950,1200,1200,1200,517,0,56,85.1689077678868,5.719112000178939,1225.8580860000166,461.03094777562865
1643307129,100,,Aggregated,52.500000,0.000000,53,74,92,100,160,200,330,950,1200,1200,1200,561,0,53,81.82887305168853,5.719112000178939,1225.8580860000166,457.63458110516933
1643307130,110,,Aggregated,56.000000,0.000000,51,72,87,99,150,190,310,750,1200,1200,1200,633,0,51,78.7420739841984,5.719112000178939,1225.8580860000166,454.8988941548183
1643307131,120,,Aggregated,54.400000,0.000000,53,73,90,100,150,190,300,750,1200,1200,1200,686,0,53,78.33901018221309,5.719112000178939,1225.8580860000166,460.8134110787172
1643307132,130,,Aggregated,55.200000,0.000000,51,72,90,100,150,190,300,490,1200,1200,1200,749,0,51,76.78073487983822,5.719112000178939,1225.8580860000166,453.803738317757
1643307133,140,,Aggregated,56.500000,0.000000,50,72,92,100,150,200,300,490,1200,1200,1200,831,0,50,77.50925322021382,5.719112000178939,1225.8580860000166,461.8760529482551
1643307134,150,,Aggregated,58.500000,0.000000,52,74,94,110,160,200,290,380,1200,1200,1200,929,0,52,77.4755127771777,5.719112000178939,1225.8580860000166,453.7911733046286
1643307135,160,,Aggregated,60.300000,0.000000,55,76,97,110,160,200,290,360,1200,1200,1200,1007,0,55,79.31929067527031,4.147709999870131,1225.8580860000166,462.23237338629593
1643307136,170,,Aggregated,64.900000,0.000000,57,79,100,120,180,210,300,360,1200,1200,1200,1097,0,57,83.48598147037124,3.7163100000725535,1225.8580860000166,454.34731084776666
1643307137,180,,Aggregated,69.300000,0.000000,59,83,110,130,180,220,290,350,1200,1200,1200,1197,0,59,85.22097947368233,3.1022069999835367,1225.8580860000166,462.0843776106934
1643307138,190,,Aggregated,68.600000,0.000000,59,87,110,140,190,220,310,380,1200,1200,1200,1288,0,59,88.4035442771728,3.1022069999835367,1225.8580860000166,459.4619565217391
1643307139,200,,Aggregated,71.100000,0.000000,61,94,120,140,190,260,340,490,1200,19000,19000,1384,0,61,106.26506915534559,3.1022069999835367,18533.13464200005,953.099710982659
1643307140,210,,Aggregated,71.600000,0.000000,62,95,120,150,200,260,330,460,1200,19000,19000,1484,0,62,106.11070638207417,3.1022069999835367,18533.13464200005,916.9103773584906
1643307141,220,,Aggregated,75.900000,0.000000,65,97,120,150,200,260,330,450,1200,19000,19000,1563,0,65,106.45163080294239,3.1022069999835367,18533.13464200005,896.2175303902751
1643307143,230,,Aggregated,79.600000,0.000000,68,100,130,160,210,280,380,520,1200,19000,19000,1675,0,68,111.56435971641842,3.1022069999835367,18533.13464200005,877.1928358208955
1643307144,240,,Aggregated,83.300000,0.000000,71,110,150,170,230,300,410,520,1200,19000,19000,1786,0,71,117.75896796696512,3.1022069999835367,18533.13464200005,854.3090705487122
1643307145,250,,Aggregated,88.900000,0.000000,78,120,160,190,260,330,480,560,1200,19000,19000,1913,0,78,127.80912473653927,3.1022069999835367,18533.13464200005,825.5431259801359
1643307146,260,,Aggregated,91.100000,0.000000,79,130,170,200,280,370,520,640,1200,19000,19000,1996,0,79,135.6597538056116,3.1022069999835367,18533.13464200005,810.9328657314629
