Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1910,22,19000.0,60204.538434992144,3.9161279999007093,361029.49801199976,2556.213612565445,1.0565180541981132,0.012169317901758372,19000,43000,85000,132000,187000,268000,318000,327000,360000,361000,361000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,47.0365999999558,47.0365999999558,47.0365999999558,47.0365999999558,226.0,0.0005531508137162896,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-1/UHJ/1,1,0,118.77851000008377,118.77851000008377,118.77851000008377,118.77851000008377,138.0,0.0005531508137162896,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-10/RMC/1,1,0,67.35596799990162,67.35596799990162,67.35596799990162,67.35596799990162,108.0,0.0005531508137162896,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,181.1893220001366,181.1893220001366,181.1893220001366,181.1893220001366,190.0,0.0005531508137162896,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,439.39655000008315,439.39655000008315,439.39655000008315,439.39655000008315,226.0,0.0005531508137162896,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,661.918734999972,661.918734999972,661.918734999972,661.918734999972,138.0,0.0005531508137162896,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/api/cart/add/anonymous-1000/UHJ/1,1,0,24109.57131100031,24109.57131100031,24109.57131100031,24109.57131100031,209.0,0.0005531508137162896,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,33669.444282999844,33669.444282999844,33669.444282999844,33669.444282999844,106.0,0.0005531508137162896,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/cart/add/anonymous-1001/EMM/1,1,0,70508.67143599999,70508.67143599999,70508.67143599999,70508.67143599999,137.0,0.0005531508137162896,0.0,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
GET,/api/cart/add/anonymous-1001/RMC/1,1,0,263026.1818480003,263026.1818480003,263026.1818480003,263026.1818480003,215.0,0.0005531508137162896,0.0,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,37239.94337699969,37239.94337699969,37239.94337699969,37239.94337699969,129.0,0.0005531508137162896,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1002/RMC/1,1,0,319353.6289079998,319353.6289079998,319353.6289079998,319353.6289079998,207.0,0.0005531508137162896,0.0,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,29618.897109000045,29618.897109000045,29618.897109000045,29618.897109000045,182.0,0.0005531508137162896,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1003/Watson/1,1,0,52860.533909999955,52860.533909999955,52860.533909999955,52860.533909999955,106.0,0.0005531508137162896,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1004/RMC/1,1,0,37851.64554599987,37851.64554599987,37851.64554599987,37851.64554599987,108.0,0.0005531508137162896,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/cart/add/anonymous-1004/SHCE/1,1,0,53861.81488699958,53861.81488699958,53861.81488699958,53861.81488699958,202.0,0.0005531508137162896,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1005/SHCE/1,2,0,37000.0,48970.126181000065,36977.1606700001,60963.09169200003,124.5,0.0011063016274325793,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1006/RED/1,2,0,37000.0,54201.363778000086,36999.16448300019,71403.56307299998,133.0,0.0011063016274325793,0.0,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
GET,/api/cart/add/anonymous-1007/Watson/1,2,0,53000.0,157890.74346799997,52822.925982000015,262958.5609539999,105.0,0.0011063016274325793,0.0,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000
GET,/api/cart/add/anonymous-1008/EPE/1,1,0,37138.823197999955,37138.823197999955,37138.823197999955,37138.823197999955,129.0,0.0005531508137162896,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1008/SHCE/1,1,0,71335.15470200017,71335.15470200017,71335.15470200017,71335.15470200017,222.0,0.0005531508137162896,0.0,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
GET,/api/cart/add/anonymous-1009/EPE/1,1,0,53194.2401780002,53194.2401780002,53194.2401780002,53194.2401780002,129.0,0.0005531508137162896,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1009/UHJ/1,1,0,24051.84691100021,24051.84691100021,24051.84691100021,24051.84691100021,220.0,0.0005531508137162896,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-101/RMC/1,1,0,743.0000080000809,743.0000080000809,743.0000080000809,743.0000080000809,216.0,0.0005531508137162896,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,489.6218559999852,489.6218559999852,489.6218559999852,489.6218559999852,138.0,0.0005531508137162896,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/api/cart/add/anonymous-1010/HPTD/1,1,0,37222.371467999896,37222.371467999896,37222.371467999896,37222.371467999896,121.0,0.0005531508137162896,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1010/UHJ/1,1,0,319217.9536949998,319217.9536949998,319217.9536949998,319217.9536949998,226.0,0.0005531508137162896,0.0,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000
GET,/api/cart/add/anonymous-1011/EPE/1,1,0,256122.84037100017,256122.84037100017,256122.84037100017,256122.84037100017,129.0,0.0005531508137162896,0.0,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000
GET,/api/cart/add/anonymous-1011/RMC/1,1,0,26809.056434000013,26809.056434000013,26809.056434000013,26809.056434000013,207.0,0.0005531508137162896,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1012/Watson/1,2,0,71000.0,166722.25463749986,70527.3285789999,262917.1806959998,105.0,0.0011063016274325793,0.0,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000,263000
GET,/api/cart/add/anonymous-1013/EPE/1,1,0,352592.2135630003,352592.2135630003,352592.2135630003,352592.2135630003,200.0,0.0005531508137162896,0.0,353000,353000,353000,353000,353000,353000,353000,353000,353000,353000,353000
