Method,Name,Error,Occurrences
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1319/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-582,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-919,Remote end closed connection without response,1
GET,/api/shipping/calc/3436991,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/3436991,1
GET,/api/shipping/calc/4043623,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/4043623,1
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,3
GET,/api/cart/cart/anonymous-986,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-811/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1054/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1012/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3398136,Remote end closed connection without response,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/ch,10
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,1
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/SHCE,[Errno 104] Connection reset by peer,3
GET,/api/shipping/calc/3208633,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/3208633,1
GET,/api/cart/update/anonymous-675/EPE/2,Remote end closed connection without response,1
GET,/api/catalogue/product/EMM,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-750/STAN-1/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,3
GET,/api/shipping/calc/5093309,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-686,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-941,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-786,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/hu,9
GET,/api/cart/add/anonymous-902/UHJ/1,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,15
GET,/api/cart/cart/anonymous-1091,Remote end closed connection without response,1
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,3
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/se,4
GET,/api/catalogue/product/RED,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-961/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-870,Remote end closed connection without response,1
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/fr,10
GET,/api/cart/cart/anonymous-581,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1009,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1198/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1210/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-560/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1207/EPE/1,Remote end closed connection without response,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/jp,12
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/ru,9
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/fi,8
GET,/api/cart/cart/anonymous-872,Remote end closed connection without response,1
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/gb,6
POST,/api/shipping/confirm/anonymous-9,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/confirm/anonymous-9,1
GET,/api/user/uniqueid,Remote end closed connection without response,52
GET,/api/cart/update/anonymous-666/HPTD/2,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/us,9
GET,/api/cart/cart/anonymous-1264,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-881,Remote end closed connection without response,1
GET,/api/shipping/calc/5084328,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1247,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/br,9
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,3
GET,/api/cart/add/anonymous-1522/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1290,Remote end closed connection without response,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/in,10
GET,/api/cart/cart/anonymous-1190,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-546/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1070,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-906,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1125/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-626/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1130,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-882,Remote end closed connection without response,1
GET,/api/catalogue/product/UHJ,[Errno 104] Connection reset by peer,2
GET,/api/cart/cart/anonymous-1049,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,5
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/pt,5
GET,/api/cart/add/anonymous-1067/Watson/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,4
GET,/api/cart/cart/anonymous-932,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-842,Remote end closed connection without response,1
GET,/api/shipping/calc/5651955,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/5651955,1
GET,/api/cart/add/anonymous-1139/RMC/1,Remote end closed connection without response,1
GET,/api/catalogue/product/EPE,Remote end closed connection without response,3
GET,/api/cart/update/anonymous-620/HPTD/2,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/bg,11
GET,/api/cart/add/anonymous-1014/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3949858,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/3949858,1
GET,/api/ratings/api/fetch/SHCE,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-488/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1194/RED/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RED,[Errno 104] Connection reset by peer,6
GET,/api/cart/update/anonymous-619/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1060/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-952,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-772/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1169,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-928,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/STAN-1,[Errno 104] Connection reset by peer,5
GET,/api/cart/cart/anonymous-643,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/tr,13
GET,/api/cart/add/anonymous-917/Watson/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1133,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-3,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/confirm/anonymous-3,1
GET,/api/cart/cart/anonymous-960,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-723/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-959,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1121/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-935,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-540/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-683/SHCE/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/it,12
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/cz,14
GET,/api/catalogue/categories,Remote end closed connection without response,53
GET,/api/cart/cart/anonymous-1272,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-2,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/confirm/anonymous-2,1
GET,/api/cart/cart/anonymous-1291,Remote end closed connection without response,1
GET,/api/catalogue/product/RMC,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-993,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-515/HPTD/2,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/EMM/3,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RED,Remote end closed connection without response,5
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,2
GET,/api/shipping/calc/5379361,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/5379361,1
GET,/api/cart/cart/anonymous-1032,Remote end closed connection without response,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/au,15
GET,/api/cart/cart/anonymous-1305,Remote end closed connection without response,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/es,5
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/ca,11
GET,/api/catalogue/products,Remote end closed connection without response,15
GET,/api/cart/cart/anonymous-900,Remote end closed connection without response,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/ro,9
GET,/api/catalogue/products,[Errno 104] Connection reset by peer,18
GET,/api/cart/add/anonymous-1196/EPE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/HPTD,Remote end closed connection without response,4
GET,/api/cart/cart/anonymous-816,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1340/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1443/EPE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-957/Watson/1,Remote end closed connection without response,1
POST,/api/user/login,Remote end closed connection without response,6
GET,/api/cart/cart/anonymous-1002,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,2
GET,/api/catalogue/product/RMC,[Errno 104] Connection reset by peer,2
GET,/api/ratings/api/fetch/EPE,[Errno 104] Connection reset by peer,3
GET,/api/ratings/api/fetch/EPE,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1114/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1296/RED/1,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,[Errno 104] Connection reset by peer,6
GET,/api/ratings/api/fetch/EMM,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1359/UHJ/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/3,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-824,Remote end closed connection without response,1
GET,/api/catalogue/product/STAN-1,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-1284,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1293,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-898,Remote end closed connection without response,1
GET,/api/catalogue/product/STAN-1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/Watson,[Errno 104] Connection reset by peer,2
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/de,8
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/dk,10
GET,/api/shipping/calc/4167929,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/4167929,1
GET,/api/cart/update/anonymous-519/EPE/2,[Errno 104] Connection reset by peer,1
POST,/api/shipping/confirm/anonymous-7,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/confirm/anonymous-7,1
GET,/api/cart/cart/anonymous-920,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-834,Remote end closed connection without response,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/codes,824
GET,/api/ratings/api/fetch/Watson,[Errno 104] Connection reset by peer,2
GET,/api/cart/cart/anonymous-1308,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-5,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/confirm/anonymous-5,1
GET,/api/cart/cart/anonymous-931,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/EMM,[Errno 104] Connection reset by peer,4
GET,/api/cart/cart/anonymous-1218,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1159/Watson/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/2,Remote end closed connection without response,2
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/no,10
GET,/api/shipping/calc/5650471,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/5650471,1
GET,/api/cart/cart/anonymous-850,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,[Errno 104] Connection reset by peer,2
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/nl,7
GET,/api/ratings/api/fetch/HPTD,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/5364809,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/5364809,1
GET,/api/cart/add/anonymous-1422/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3296771,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/3296771,1
GET,/api/ratings/api/fetch/STAN-1,Remote end closed connection without response,2
GET,/api/ratings/api/fetch/SHCE,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-530/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-574,Remote end closed connection without response,1
GET,/api/shipping/calc/5376228,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/calc/5376228,1
GET,/api/cart/add/anonymous-1238/HPTD/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/EPE,[Errno 104] Connection reset by peer,2
GET,/api/catalogue/product/HPTD,[Errno 104] Connection reset by peer,3
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.175.62/api/shipping/cities/at,8
GET,/api/cart/add/anonymous-1320/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/codes,Remote end closed connection without response,14
GET,/api/cart/cart/anonymous-566,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-484/RED/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-945,Remote end closed connection without response,1
