Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1969,15,27000.0,66681.09235825797,3.3804350000536942,510573.15316599986,2566.2996444895884,1.0674099449970005,0.008131614613994418,27000,62000,117000,138000,177000,230000,322000,371000,511000,511000,511000
GET,/api/cart/add/anonymous-1/SHCE/1,1,0,79.96111399984329,79.96111399984329,79.96111399984329,79.96111399984329,124.0,0.0005421076409329612,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/api/cart/add/anonymous-1/Watson/1,1,0,41.06626099996902,41.06626099996902,41.06626099996902,41.06626099996902,198.0,0.0005421076409329612,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/cart/add/anonymous-10/EMM/1,1,0,60.666537999850334,60.666537999850334,60.666537999850334,60.666537999850334,137.0,0.0005421076409329612,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,30.98152100005791,30.98152100005791,30.98152100005791,30.98152100005791,201.0,0.0005421076409329612,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,142.00413200001094,245.5922000000328,142.00413200001094,349.18026800005464,121.0,0.0010842152818659224,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/api/cart/add/anonymous-1000/EPE/1,1,0,48967.472711000024,48967.472711000024,48967.472711000024,48967.472711000024,200.0,0.0005421076409329612,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1000/Watson/1,1,0,36840.58009399996,36840.58009399996,36840.58009399996,36840.58009399996,106.0,0.0005421076409329612,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1001/RMC/1,1,0,36372.76068200026,36372.76068200026,36372.76068200026,36372.76068200026,108.0,0.0005421076409329612,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,207118.823238,207118.823238,207118.823238,207118.823238,190.0,0.0005421076409329612,0.0,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000
GET,/api/cart/add/anonymous-1002/HPTD/1,1,0,260725.85534100016,260725.85534100016,260725.85534100016,260725.85534100016,199.0,0.0005421076409329612,0.0,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000,261000
GET,/api/cart/add/anonymous-1002/RMC/1,1,0,36497.8480310001,36497.8480310001,36497.8480310001,36497.8480310001,108.0,0.0005421076409329612,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/cart/add/anonymous-1003/RED/1,1,0,130119.84471699997,130119.84471699997,130119.84471699997,130119.84471699997,196.0,0.0005421076409329612,0.0,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,56808.06463099998,56808.06463099998,56808.06463099998,56808.06463099998,111.0,0.0005421076409329612,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1004/EMM/1,1,0,48981.84641699982,48981.84641699982,48981.84641699982,48981.84641699982,223.0,0.0005421076409329612,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1004/HPTD/1,1,0,36499.9048349996,36499.9048349996,36499.9048349996,36499.9048349996,121.0,0.0005421076409329612,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/cart/add/anonymous-1005/EMM/1,1,0,37248.68839700002,37248.68839700002,37248.68839700002,37248.68839700002,137.0,0.0005421076409329612,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/cart/add/anonymous-1005/UHJ/1,1,0,48937.949613000004,48937.949613000004,48937.949613000004,48937.949613000004,214.0,0.0005421076409329612,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1006/EMM/1,1,0,36373.996887999965,36373.996887999965,36373.996887999965,36373.996887999965,137.0,0.0005421076409329612,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/cart/add/anonymous-1006/Watson/1,1,0,71741.93111899967,71741.93111899967,71741.93111899967,71741.93111899967,206.0,0.0005421076409329612,0.0,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
GET,/api/cart/add/anonymous-1007/HPTD/1,1,0,49152.52679100013,49152.52679100013,49152.52679100013,49152.52679100013,200.0,0.0005421076409329612,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1007/STAN-1/1,1,0,37278.70641900017,37278.70641900017,37278.70641900017,37278.70641900017,111.0,0.0005421076409329612,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
