Method,Name,Error,Occurrences
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-837,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1037,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1127/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1073/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4053802,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/4053802,1
GET,/api/cart/cart/anonymous-1060,Remote end closed connection without response,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/cz,6
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/gb,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3363587,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3363587,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/shipping/calc/4372296,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/4372296,1
PUT,/api/ratings/api/rate/EMM/3,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/EMM/3,1
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/au,4
GET,/,Remote end closed connection without response,40
GET,/api/cart/add/anonymous-1282/EMM/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/3,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RED/3,1
GET,/api/cart/cart/anonymous-917,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,5
GET,/api/cart/cart/anonymous-756,Remote end closed connection without response,1
GET,/api/shipping/calc/3397986,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3397986,1
GET,/api/shipping/calc/3759285,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3759285,1
PUT,/api/ratings/api/rate/RMC/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-859,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/Watson/2,1
PUT,/api/ratings/api/rate/RMC/5,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RMC/5,1
GET,/api/shipping/calc/3197437,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3197437,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/fi,5
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/dk,4
PUT,/api/ratings/api/rate/EMM/2,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/EMM/2,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/it,3
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/fr,4
GET,/api/cart/add/anonymous-541/RED/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-833,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1012/STAN-1/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/4,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/UHJ/4,1
PUT,/api/ratings/api/rate/UHJ/3,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/UHJ/3,1
GET,/api/cart/cart/anonymous-853,Remote end closed connection without response,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/ru,8
GET,/api/cart/cart/anonymous-1279,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/1,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RMC/1,1
GET,/api/cart/update/anonymous-709/STAN-1/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-14,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/confirm/anonymous-14,1
GET,/api/cart/add/anonymous-1619/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1205/UHJ/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/5,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/EPE/5,2
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/ch,6
GET,/api/cart/add/anonymous-895/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/br,"('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))",1
GET,/api/cart/cart/anonymous-771,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1051,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-1274/SHCE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3438938,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3438938,1
GET,/api/catalogue/product/EPE,Remote end closed connection without response,8
GET,/api/cart/cart/anonymous-1131,Remote end closed connection without response,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/pt,1
GET,/api/cart/update/anonymous-1126/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/es,5
GET,/api/shipping/calc/3204195,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3204195,1
GET,/api/cart/add/anonymous-510/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/tr,7
GET,/api/cart/cart/anonymous-899,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/5,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/Watson/5,1
GET,/api/cart/add/anonymous-1490/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3371529,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3371529,1
GET,/api/cart/cart/anonymous-1201,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1381/EMM/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1293/STAN-1/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/3,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/Watson/3,1
POST,/api/shipping/confirm/anonymous-24,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/confirm/anonymous-24,1
GET,/api/cart/cart/anonymous-828,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RMC/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3360566,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3360566,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/se,4
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/in,2
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/nl,2
GET,/api/catalogue/categories,Remote end closed connection without response,12
GET,/api/cart/cart/anonymous-1587,Remote end closed connection without response,1
GET,/api/catalogue/product/RMC,Remote end closed connection without response,8
GET,/api/cart/update/anonymous-570/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1468/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-878/STAN-1/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/2,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/EPE/2,1
GET,/api/shipping/calc/3934928,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3934928,1
GET,/api/ratings/api/fetch/RED,Remote end closed connection without response,1
GET,/api/catalogue/product/UHJ,Remote end closed connection without response,4
GET,/api/cart/update/anonymous-740/UHJ/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-860,Remote end closed connection without response,1
GET,/api/shipping/calc/4177372,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/4177372,1
PUT,/api/ratings/api/rate/RMC/3,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RMC/3,1
GET,/api/cart/update/anonymous-1321/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3955551,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3955551,1
GET,/api/catalogue/products,Remote end closed connection without response,5
GET,/api/shipping/calc/3201175,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3201175,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/at,3
GET,/api/cart/cart/anonymous-1644,Remote end closed connection without response,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/ro,8
GET,/api/cart/add/anonymous-1167/STAN-1/1,Remote end closed connection without response,1
POST,/api/user/login,Remote end closed connection without response,37
GET,/api/cart/cart/anonymous-748,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-925/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-811/EPE/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-765,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/EPE,Remote end closed connection without response,3
POST,/api/shipping/confirm/anonymous-28,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/confirm/anonymous-28,1
PUT,/api/ratings/api/rate/HPTD/5,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/HPTD/5,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/us,7
GET,/api/cart/cart/anonymous-1605,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-844,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/EMM,Remote end closed connection without response,2
GET,/api/cart/cart/anonymous-1537,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1599,Remote end closed connection without response,1
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/no,2
GET,/api/cart/cart/anonymous-854,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/3,Remote end closed connection without response,1
GET,/api/catalogue/product/STAN-1,Remote end closed connection without response,3
GET,/api/cart/cart/anonymous-1604,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/5,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1151,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/5,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RED/5,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/ca,2
GET,/api/cart/add/anonymous-799/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-898/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5381594,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/5381594,1
GET,/api/cart/cart/anonymous-779,Remote end closed connection without response,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/codes,857
PUT,/api/ratings/api/rate/UHJ/5,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/STAN-1/4,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/STAN-1/4,2
PUT,/api/ratings/api/rate/RED/2,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/RED/2,1
GET,/api/catalogue/product/EMM,Remote end closed connection without response,4
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/de,5
GET,/api/cart/cart/anonymous-762,Remote end closed connection without response,1
GET,/api/shipping/calc/5078095,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/5078095,1
GET,/api/shipping/cities/tr,"('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))",1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/bg,5
GET,/api/ratings/api/fetch/STAN-1,Remote end closed connection without response,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/hu,2
GET,/api/cart/update/anonymous-1276/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3210702,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3210702,1
GET,/api/cart/cart/anonymous-1209,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/UHJ/2,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/ratings/api/rate/UHJ/2,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/br,8
GET,/api/shipping/calc/3359320,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/calc/3359320,1
GET,/api/shipping/codes,Remote end closed connection without response,14
GET,/api/cart/add/anonymous-1253/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.70.174/api/shipping/cities/jp,6
