Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643311623,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643311624,10,,Aggregated,0.000000,0.000000,31,49,60,63,76,120,150,150,150,150,150,66,0,30,43.88737996969918,9.656767000024047,151.4989519999972,464.59090909090907
1643311625,20,,Aggregated,0.000000,0.000000,33,49,63,69,120,760,810,830,830,830,830,92,0,32,84.02390220652231,5.1478350000024875,830.2839430000404,472.8152173913044
1643311626,30,,Aggregated,5.000000,0.000000,38,51,60,64,100,180,760,810,830,830,830,162,0,38,71.03059798148028,5.1478350000024875,830.2839430000404,488.9259259259259
1643311627,40,,Aggregated,38.000000,0.000000,34,46,56,60,81,150,760,810,830,830,830,227,0,34,60.545900841409136,5.1478350000024875,830.2839430000404,482.3964757709251
1643311628,50,,Aggregated,36.333333,0.000000,33,45,53,59,76,150,350,810,830,830,830,258,0,32,57.013365062014756,5.1478350000024875,830.2839430000404,473.8255813953488
1643311629,60,,Aggregated,43.000000,0.000000,32,43,50,58,72,120,200,760,830,830,830,306,0,32,53.17740203267887,5.1478350000024875,830.2839430000404,476.26143790849676
1643311630,70,,Aggregated,47.600000,0.000000,33,45,52,59,76,150,180,760,830,830,830,357,0,33,53.11335028851455,5.1478350000024875,830.2839430000404,463.3669467787115
1643311631,80,,Aggregated,45.333333,0.000000,31,41,49,57,74,140,180,760,830,830,830,424,0,31,49.743433568395766,4.313928999977179,830.2839430000404,466.8160377358491
1643311633,90,,Aggregated,44.285714,0.000000,32,42,50,58,81,160,810,5300,7800,7800,7800,479,0,32,142.95862534864247,4.313928999977179,7795.107879999989,7155.450939457202
1643311634,100,,Aggregated,47.333333,0.000000,33,46,56,63,140,760,3900,5400,8100,8100,8100,559,0,33,219.656125091234,4.313928999977179,8127.444011000023,14984.50983899821
1643311635,110,,Aggregated,47.333333,0.000000,35,47,56,63,100,440,2900,5300,8100,8100,8100,674,0,35,190.38309700741854,4.313928999977179,8127.444011000023,12502.271513353116
1643311636,120,,Aggregated,55.300000,0.000000,33,46,55,63,100,420,3700,5500,11000,11000,11000,763,0,33,207.5135765111403,4.313928999977179,10504.59129699999,17422.083879423328
1643311637,130,,Aggregated,59.800000,0.000000,34,46,56,64,110,430,4500,6300,11000,11000,11000,827,0,34,230.81762196735212,4.313928999977179,10504.59129699999,25744.85731559855
1643311638,140,,Aggregated,64.900000,0.000000,38,53,65,72,120,220,3400,5700,11000,11000,11000,976,0,38,207.25068987807384,4.313928999977179,10504.59129699999,21891.00307377049
1643311639,150,,Aggregated,64.600000,0.000000,39,54,65,72,110,180,2700,5400,10000,11000,11000,1144,0,39,184.15680998426555,3.258920999996917,10504.59129699999,18737.673076923078
1643311640,160,,Aggregated,72.200000,0.000000,39,54,64,72,110,170,1800,5300,10000,11000,11000,1225,0,39,174.90247955673428,3.258920999996917,10504.59129699999,17521.635102040815
1643311641,170,,Aggregated,86.100000,0.000000,40,54,65,72,110,180,2800,6300,10000,11000,11000,1320,0,40,197.83577343106,3.258920999996917,10504.59129699999,21212.864393939395
1643311642,180,,Aggregated,91.400000,0.000000,39,54,64,71,110,170,2000,5700,10000,11000,11000,1415,0,39,187.30476294628923,3.258920999996917,10504.59129699999,19818.763250883392
1643311643,190,,Aggregated,95.300000,0.000000,39,53,63,71,110,170,2000,6300,11000,17000,17000,1489,0,39,190.9641586212218,3.258920999996917,16550.516640999944,21210.990597716587
1643311644,200,,Aggregated,97.600000,0.000000,39,54,65,72,110,170,1800,5700,11000,17000,17000,1614,0,39,187.78960013258933,3.258920999996917,16550.516640999944,19875.9083023544
1643311645,210,,Aggregated,100.500000,0.000000,39,53,64,72,110,170,1800,6300,12000,17000,17000,1697,0,39,187.66673495462553,3.258920999996917,16550.516640999944,19722.67707719505
1643311646,220,,Aggregated,100.200000,0.000000,39,54,65,74,110,190,1800,7700,17000,19000,19000,1761,0,39,209.99526706927853,3.258920999996917,18745.187951000047,23750.71607041454
1643311647,230,,Aggregated,99.000000,0.000000,39,54,65,74,110,180,1100,6300,17000,19000,19000,1906,0,39,197.64398383105956,3.258920999996917,18745.187951000047,21971.45278069255
1643311648,240,,Aggregated,94.200000,0.000000,39,54,65,74,110,180,1000,6300,17000,19000,19000,1994,0,39,190.9080391634905,3.258920999996917,18745.187951000047,21022.97843530592
1643311649,250,,Aggregated,101.900000,0.000000,40,55,66,76,120,200,2700,8100,16000,19000,19000,2073,0,40,241.3947570164014,3.258920999996917,18745.187951000047,23188.04534491076
1643311650,260,,Aggregated,98.800000,0.000000,40,56,68,78,120,220,5400,13000,17000,19000,19000,2150,0,40,331.01657301720934,3.258920999996917,18745.187951000047,25517.76837209302
1643311651,270,,Aggregated,86.400000,0.000000,40,56,68,78,120,220,5000,12000,17000,19000,19000,2275,0,40,316.4466920685716,3.258920999996917,18745.187951000047,24138.101098901097
1643311652,280,,Aggregated,87.500000,0.000000,41,57,69,79,120,200,3900,11000,17000,19000,19000,2428,0,41,301.3630492154037,3.258920999996917,18745.187951000047,22647.238879736407
1643311654,290,,Aggregated,86.100000,0.000000,41,57,69,79,120,210,4500,13000,18000,19000,19000,2628,0,41,319.4031998242007,3.258920999996917,18745.187951000047,20957.056316590562
1643311655,300,,Aggregated,88.900000,0.000000,41,57,69,78,120,210,4600,15000,18000,19000,19000,2742,0,41,323.1402528683441,3.258920999996917,18745.187951000047,20103.374908825674
1643311656,310,,Aggregated,106.800000,0.000000,42,58,70,80,120,230,3900,15000,19000,19000,19000,2908,0,42,324.14603926134777,3.258920999996917,19207.18538799997,18981.81258596974
1643311657,320,,Aggregated,107.800000,0.000000,43,59,73,85,140,440,13000,18000,21000,24000,24000,2977,0,43,501.5789228380917,3.258920999996917,23732.040205000034,21807.836748404436
