Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1510/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1468/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-884,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/us,5
GET,/,Remote end closed connection without response,22
GET,/api/shipping/calc/4024205,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/4024205,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/tr,5
GET,/api/shipping/calc/3850841,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/3850841,1
GET,/api/cart/add/anonymous-1204/RED/1,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/gb,10
GET,/api/cart/add/anonymous-1474/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-734/HPTD/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3208229,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/3208229,1
GET,/api/shipping/cities/it,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/it,7
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/ru,10
GET,/api/cart/add/anonymous-845/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1211/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5667371,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/5667371,1
GET,/api/shipping/calc/3806201,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/3806201,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/cities/cz,3
GET,/api/cart/add/anonymous-786/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3768969,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/3768969,1
GET,/api/shipping/calc/3306135,504 Server Error: Gateway Time-out for url: http://20.117.71.5/api/shipping/calc/3306135,1
GET,/api/user/uniqueid,Remote end closed connection without response,10
