Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1851,22,22000.0,95605.32537320956,3.2515070000727064,1248945.757366,2555.2641815235006,1.0137113045640913,0.01204843257720692,22000,50000,97000,141000,231000,492000,930000,1025000,1249000,1249000,1249000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,18.082739999954356,18.082739999954356,18.082739999954356,18.082739999954356,137.0,0.0005476560262366782,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/cart/add/anonymous-1/RMC/1,1,0,14.787133000027097,14.787133000027097,14.787133000027097,14.787133000027097,215.0,0.0005476560262366782,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-10/SHCE/1,2,0,46,65.86379850000412,45.65660299999763,86.07099400001061,124.5,0.0010953120524733564,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,35.180778000039936,35.180778000039936,35.180778000039936,35.180778000039936,219.0,0.0005476560262366782,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/cart/add/anonymous-100/RED/1,1,0,47.26640600006249,47.26640600006249,47.26640600006249,47.26640600006249,132.0,0.0005476560262366782,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-1000/RMC/1,1,0,26443.98179299992,26443.98179299992,26443.98179299992,26443.98179299992,190.0,0.0005476560262366782,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1000/STAN-1/1,1,0,76684.96067299998,76684.96067299998,76684.96067299998,76684.96067299998,111.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1001/RMC/1,1,0,610887.362257,610887.362257,610887.362257,610887.362257,108.0,0.0005476560262366782,0.0,611000,611000,611000,611000,611000,611000,611000,611000,611000,611000,611000
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,1138.7882590001936,1138.7882590001936,1138.7882590001936,1138.7882590001936,217.0,0.0005476560262366782,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/cart/add/anonymous-1002/HPTD/1,1,0,76693.76742000009,76693.76742000009,76693.76742000009,76693.76742000009,121.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,52957.30686000002,52957.30686000002,52957.30686000002,52957.30686000002,230.0,0.0005476560262366782,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,50579.75004900004,50579.75004900004,50579.75004900004,50579.75004900004,138.0,0.0005476560262366782,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-1004/EMM/1,1,0,76686.13187800019,76686.13187800019,76686.13187800019,76686.13187800019,137.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1004/RED/1,1,0,26587.915866999992,26587.915866999992,26587.915866999992,26587.915866999992,221.0,0.0005476560262366782,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,77414.99723099991,77414.99723099991,77414.99723099991,77414.99723099991,121.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,26431.79863299997,26431.79863299997,26431.79863299997,26431.79863299997,193.0,0.0005476560262366782,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1006/RED/1,1,0,26511.15221200007,26511.15221200007,26511.15221200007,26511.15221200007,196.0,0.0005476560262366782,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,77167.61084999985,77167.61084999985,77167.61084999985,77167.61084999985,111.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1007/EMM/1,1,0,50577.286137000105,50577.286137000105,50577.286137000105,50577.286137000105,137.0,0.0005476560262366782,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,54479.90004600001,54479.90004600001,54479.90004600001,54479.90004600001,206.0,0.0005476560262366782,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1008/EPE/1,1,0,77138.39657000017,77138.39657000017,77138.39657000017,77138.39657000017,129.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,26590.470978999976,26590.470978999976,26590.470978999976,26590.470978999976,217.0,0.0005476560262366782,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1009/EPE/1,1,0,26381.969965999815,26381.969965999815,26381.969965999815,26381.969965999815,179.0,0.0005476560262366782,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1009/STAN-1/1,1,0,77455.779699,77455.779699,77455.779699,77455.779699,111.0,0.0005476560262366782,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,70.95575800008191,70.95575800008191,70.95575800008191,70.95575800008191,198.0,0.0005476560262366782,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/cart/add/anonymous-101/Watson/1,1,0,76.76277100006246,76.76277100006246,76.76277100006246,76.76277100006246,106.0,0.0005476560262366782,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/cart/add/anonymous-1010/STAN-1/1,1,0,576264.975852,576264.975852,576264.975852,576264.975852,111.0,0.0005476560262366782,0.0,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,51891.15035899999,51891.15035899999,51891.15035899999,51891.15035899999,106.0,0.0005476560262366782,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1012/EMM/1,2,0,75000.0,76027.07452100003,74573.60710400008,77480.54193799998,137.0,0.0010953120524733564,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1014/EPE/1,1,0,51830.75112000006,51830.75112000006,51830.75112000006,51830.75112000006,129.0,0.0005476560262366782,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1014/RED/1,1,0,33077.08030699996,33077.08030699996,33077.08030699996,33077.08030699996,201.0,0.0005476560262366782,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/cart/add/anonymous-1015/SHCE/1,2,1,830.0,21009.51351499998,826.9424919999437,41192.08453800002,62.0,0.0010953120524733564,0.0005476560262366782,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/api/cart/add/anonymous-1016/UHJ/1,1,0,78947.33009800006,78947.33009800006,78947.33009800006,78947.33009800006,138.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1016/Watson/1,1,0,57735.387176999895,57735.387176999895,57735.387176999895,57735.387176999895,209.0,0.0005476560262366782,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1017/EMM/1,1,0,51830.455716999946,51830.455716999946,51830.455716999946,51830.455716999946,137.0,0.0005476560262366782,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/cart/add/anonymous-1017/STAN-1/1,1,0,58449.88731600006,58449.88731600006,58449.88731600006,58449.88731600006,201.0,0.0005476560262366782,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1018/RED/1,1,0,775555.8663749999,775555.8663749999,775555.8663749999,775555.8663749999,132.0,0.0005476560262366782,0.0,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000
GET,/api/cart/add/anonymous-1019/RMC/1,1,0,25968.62158199997,25968.62158199997,25968.62158199997,25968.62158199997,108.0,0.0005476560262366782,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-102/EPE/1,1,0,183.193906999918,183.193906999918,183.193906999918,183.193906999918,207.0,0.0005476560262366782,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-102/RMC/1,1,0,59.119031000022915,59.119031000022915,59.119031000022915,59.119031000022915,108.0,0.0005476560262366782,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-1020/EMM/1,1,0,79275.32360000009,79275.32360000009,79275.32360000009,79275.32360000009,137.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1021/RMC/1,1,0,79236.06365499995,79236.06365499995,79236.06365499995,79236.06365499995,108.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1022/HPTD/1,1,0,57908.556392000035,57908.556392000035,57908.556392000035,57908.556392000035,199.0,0.0005476560262366782,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,/api/cart/add/anonymous-1022/RMC/1,1,0,79215.53662999986,79215.53662999986,79215.53662999986,79215.53662999986,108.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1023/RED/1,1,0,79041.771508,79041.771508,79041.771508,79041.771508,132.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1024/EPE/1,1,0,79255.66458599997,79255.66458599997,79255.66458599997,79255.66458599997,129.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1024/RMC/1,1,0,54400.91667900015,54400.91667900015,54400.91667900015,54400.91667900015,207.0,0.0005476560262366782,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-1025/RED/1,1,0,79266.30174999991,79266.30174999991,79266.30174999991,79266.30174999991,132.0,0.0005476560262366782,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1025/STAN-1/1,1,0,32949.43786699991,32949.43786699991,32949.43786699991,32949.43786699991,196.0,0.0005476560262366782,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/cart/add/anonymous-1026/RED/1,1,0,72313.96012200002,72313.96012200002,72313.96012200002,72313.96012200002,210.0,0.0005476560262366782,0.0,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
GET,/api/cart/add/anonymous-1026/RMC/1,1,0,775671.183278,775671.183278,775671.183278,775671.183278,108.0,0.0005476560262366782,0.0,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000
GET,/api/cart/add/anonymous-1027/EPE/1,1,0,63013.34313699999,63013.34313699999,63013.34313699999,63013.34313699999,129.0,0.0005476560262366782,0.0,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000
GET,/api/cart/add/anonymous-1028/RED/1,1,0,775557.7352850003,775557.7352850003,775557.7352850003,775557.7352850003,132.0,0.0005476560262366782,0.0,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000,776000
