Method,Name,Error,Occurrences
GET,/api/catalogue/product/Watson,Remote end closed connection without response,5
GET,/api/cart/update/anonymous-1011/RED/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3436826,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3436826,1
GET,/api/shipping/calc/3439067,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3439067,1
GET,/api/shipping/calc/3397120,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3397120,1
GET,/api/shipping/calc/3398239,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3398239,1
GET,/api/shipping/calc/5350790,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/5350790,1
GET,/api/cart/cart/anonymous-1139,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1492/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-858/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/calc/5372538,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/5372538,1
GET,/api/shipping/calc/4047022,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/4047022,1
GET,/api/shipping/calc/5668420,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/5668420,1
GET,/api/shipping/calc/3371043,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3371043,1
GET,/api/shipping/calc/3911961,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3911961,1
GET,/api/cart/add/anonymous-1020/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-875/SHCE/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4045909,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/4045909,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/cities/nl,12
GET,/api/cart/add/anonymous-913/HPTD/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/shipping/calc/4040425,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/4040425,1
GET,/api/cart/cart/anonymous-1097,Remote end closed connection without response,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/cities/ca,8
GET,/,Remote end closed connection without response,28
GET,/api/cart/add/anonymous-1331/UHJ/1,Remote end closed connection without response,1
GET,/api/shipping/cities/cz,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/cities/cz,7
GET,/api/cart/update/anonymous-1518/RED/2,Remote end closed connection without response,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/cities/in,11
GET,/api/cart/cart/anonymous-1092,Remote end closed connection without response,1
GET,/api/shipping/calc/3399579,504 Server Error: Gateway Time-out for url: http://20.117.70.73/api/shipping/calc/3399579,1
