Method,Name,Error,Occurrences
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/jp,4
GET,/api/shipping/calc/4050871,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1004/EPE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5383994,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/5383994,1
POST,/api/shipping/confirm/anonymous-521,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-521,1
GET,/api/shipping/calc/4581102,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4581102,1
GET,/api/shipping/calc/4573195,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4573195,1
GET,/api/cart/update/anonymous-783/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4180725,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4180725,1
GET,/,Remote end closed connection without response,1
GET,/api/shipping/calc/5383501,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/5383501,1
POST,/api/shipping/confirm/anonymous-495,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-495,1
POST,/api/shipping/confirm/anonymous-488,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-488,1
POST,/api/shipping/confirm/anonymous-486,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-486,1
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/nl,4
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/codes,793
GET,/api/shipping/calc/5644706,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/5644706,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/hu,5
PUT,/api/ratings/api/rate/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5660954,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/5660954,1
GET,/api/shipping/calc/4170768,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4170768,1
GET,/api/user/uniqueid,Remote end closed connection without response,7
GET,/api/shipping/calc/3401002,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/3401002,1
GET,/api/cart/add/anonymous-1166/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3207022,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/3207022,1
GET,/api/shipping/calc/3196808,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/3196808,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/ch,4
GET,/api/shipping/calc/4053736,Remote end closed connection without response,1
GET,/api/shipping/calc/4397983,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4397983,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/ro,3
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/ru,10
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/no,5
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/fi,6
GET,/api/shipping/calc/3187871,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,2
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,2
GET,/api/catalogue/product/EPE,Remote end closed connection without response,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/bg,5
POST,/api/shipping/confirm/anonymous-5,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-5,1
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/de,9
POST,/api/shipping/confirm/anonymous-497,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-497,1
POST,/api/shipping/confirm/anonymous-487,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-487,1
GET,/api/shipping/calc/3763435,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/3763435,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/in,4
PUT,/api/ratings/api/rate/EPE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1028/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/calc/4178813,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/calc/4178813,1
POST,/api/shipping/confirm/anonymous-496,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/confirm/anonymous-496,1
GET,/api/shipping/calc/4047958,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1113/STAN-1/1,Remote end closed connection without response,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.117.70.220/api/shipping/cities/at,5
