Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643311612,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643311613,10,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,6,0,121.84405100003914,127.78588650000226,121.84405100003914,134.18355600003906,92.0
1643311614,20,,Aggregated,0.000000,0.000000,31,38,48,67,130,360,380,400,400,400,400,65,0,31,60.31162359999878,6.940503000009812,402.4975679999443,440.2307692307692
1643311615,30,,Aggregated,6.000000,0.000000,31,40,46,53,120,150,380,400,400,400,400,93,0,31,53.68219979569985,6.940503000009812,402.4975679999443,460.2795698924731
1643311616,40,,Aggregated,27.500000,0.000000,32,42,53,61,120,150,380,400,1800,1800,1800,115,0,32,67.36991505217307,6.940503000009812,1776.7556430000013,4263.382608695652
1643311617,50,,Aggregated,27.666667,0.000000,31,40,46,53,84,120,370,400,1800,1800,1800,195,0,31,53.4447294923089,4.964201999996476,1776.7556430000013,2701.128205128205
1643311618,60,,Aggregated,27.500000,0.000000,32,42,48,57,89,150,830,1800,3800,3800,3800,273,0,32,83.98367693040024,3.487100999905124,3814.1784989999223,6129.333333333333
1643311619,70,,Aggregated,32.600000,0.000000,32,41,48,55,78,130,790,900,3800,3800,3800,339,0,32,74.68815402064477,3.487100999905124,3814.1784989999223,5013.421828908555
1643311620,80,,Aggregated,39.500000,0.000000,30,39,46,52,73,120,600,900,3800,3800,3800,399,0,30,67.36116559147462,3.487100999905124,3814.1784989999223,4334.0927318295735
1643311621,90,,Aggregated,44.285714,0.000000,31,40,46,52,75,120,400,900,7200,7200,7200,483,0,31,77.28493246169458,3.487100999905124,7177.922021000086,9206.289855072464
1643311622,100,,Aggregated,46.375000,0.000000,33,43,52,58,89,130,790,3600,7200,7200,7200,591,0,33,98.83814094923616,3.487100999905124,7177.922021000086,7588.622673434857
1643311623,110,,Aggregated,47.555556,0.000000,34,43,50,57,84,120,370,1800,7200,7200,7200,751,0,34,86.0555318841533,3.487100999905124,7177.922021000086,6075.877496671105
1643311624,120,,Aggregated,52.700000,0.000000,34,43,50,57,84,120,360,900,7200,7200,7200,830,0,34,81.8188424650597,3.487100999905124,7177.922021000086,5536.065060240964
1643311625,130,,Aggregated,62.900000,0.000000,36,46,53,59,92,150,1800,3800,10000,10000,10000,906,0,36,150.22571921192002,3.487100999905124,10441.40710900001,9691.474613686534
1643311626,140,,Aggregated,71.800000,0.000000,36,46,55,61,98,250,4400,5700,10000,10000,10000,995,0,36,205.7948156904517,3.487100999905124,10441.40710900001,13545.840201005025
1643311628,150,,Aggregated,81.600000,0.000000,38,49,59,70,130,600,4800,6300,10000,10000,10000,1115,0,38,281.9724042098661,3.487100999905124,10441.40710900001,16001.37399103139
1643311629,160,,Aggregated,83.200000,0.000000,38,49,59,70,120,340,4600,5700,10000,10000,10000,1217,0,38,262.09656751109384,3.213700999936009,10441.40710900001,14697.319638455218
1643311630,170,,Aggregated,87.600000,0.000000,38,49,59,70,120,320,4500,5700,10000,10000,10000,1287,0,38,250.38420479409578,3.213700999936009,10441.40710900001,13918.777000777001
1643311631,180,,Aggregated,90.000000,0.000000,37,48,58,68,110,320,4500,5700,10000,10000,10000,1397,0,37,240.55694953758163,3.213700999936009,10441.40710900001,13176.810307802434
1643311632,190,,Aggregated,91.500000,0.000000,38,51,61,71,120,320,4800,6700,10000,10000,10000,1570,0,38,260.31348986879084,3.213700999936009,10441.40710900001,12652.98025477707
1643311633,200,,Aggregated,95.600000,0.000000,39,52,65,76,120,290,4500,6700,10000,10000,10000,1710,0,39,244.30458147017646,3.213700999936009,10441.40710900001,11643.809356725145
1643311634,210,,Aggregated,100.000000,0.000000,40,54,68,78,120,260,4400,6300,10000,10000,10000,1877,0,40,228.4271080900383,3.213700999936009,10441.40710900001,10651.579648375067
1643311635,220,,Aggregated,106.300000,0.000000,39,53,67,78,120,260,4400,6700,17000,20000,20000,1978,0,39,238.63090880283195,3.173401000026388,20097.919378000028,14237.809908998988
1643311636,230,,Aggregated,106.200000,0.000000,40,57,71,84,130,270,4500,6700,17000,20000,20000,2093,0,40,251.30118723554742,3.173401000026388,20097.919378000028,13486.403248924988
1643311637,240,,Aggregated,114.200000,0.000000,42,58,75,87,130,280,4400,6700,17000,20000,20000,2202,0,42,251.21566473796605,3.173401000026388,20097.919378000028,14430.768392370572
1643311638,250,,Aggregated,109.600000,0.000000,42,59,76,88,140,290,4500,7100,17000,20000,20000,2326,0,42,271.8314415098887,3.173401000026388,20097.919378000028,16425.659931212384
1643311639,260,,Aggregated,114.900000,0.000000,44,60,78,91,150,330,4600,7700,18000,21000,21000,2414,0,44,295.6080385447398,3.173401000026388,21067.455944000016,18858.21043910522
1643311641,270,,Aggregated,111.900000,0.000000,44,60,78,90,150,320,4500,7300,18000,21000,21000,2545,0,44,283.1845803390972,3.173401000026388,21067.455944000016,17904.84793713163
1643311642,280,,Aggregated,112.800000,0.000000,42,59,76,89,140,310,4400,7200,18000,21000,21000,2669,0,42,274.91502820045065,3.173401000026388,21067.455944000016,17095.43574372424
1643311643,290,,Aggregated,116.000000,0.000000,41,58,75,88,140,300,4400,7200,18000,21000,21000,2779,0,41,274.16695164591715,3.173401000026388,21067.455944000016,17025.391147894927
1643311644,300,,Aggregated,112.900000,0.000000,41,58,74,88,140,300,4200,7100,18000,21000,21000,2882,0,41,266.25939109021635,3.173401000026388,21067.455944000016,16432.34420541291
1643311645,310,,Aggregated,106.400000,0.000000,41,58,74,87,140,290,4000,6800,17000,21000,21000,3027,0,41,256.7481904975234,3.173401000026388,21067.455944000016,15667.36868186323
1643311646,320,,Aggregated,101.700000,0.000000,42,58,73,86,130,280,3800,6700,17000,21000,21000,3165,0,42,248.29285973459818,3.173401000026388,21067.455944000016,15005.188309636651
1643311647,330,,Aggregated,101.100000,0.000000,43,59,75,89,140,300,4400,8300,21000,21000,21000,3243,0,43,304.36113001048506,3.173401000026388,21461.130338999967,16096.178538390379
1643311648,340,,Aggregated,109.100000,0.000000,43,59,76,90,150,290,4200,8300,21000,22000,22000,3357,0,43,303.2764580283003,3.173401000026388,21909.265434000077,16108.286267500745
1643311649,350,,Aggregated,106.200000,0.000000,44,59,77,92,140,290,4100,7800,21000,22000,22000,3477,0,44,295.02152746937156,3.173401000026388,21909.265434000077,15568.659188955997
1643311650,360,,Aggregated,104.900000,0.000000,43,59,77,90,140,280,3800,7700,21000,22000,22000,3581,0,43,288.1742652183763,3.173401000026388,21909.265434000077,15127.644791957553
1643311651,370,,Aggregated,106.600000,0.000000,42,58,75,88,140,270,3800,7200,21000,22000,22000,3719,0,42,278.5829916283959,3.173401000026388,21909.265434000077,14584.087389083086
1643311652,380,,Aggregated,111.000000,0.000000,41,57,74,87,140,270,3700,7100,21000,22000,22000,3821,0,41,272.3799371797969,3.173401000026388,21909.265434000077,14209.691180319289
1643311654,390,,Aggregated,106.400000,0.000000,41,57,73,86,140,250,3700,6800,21000,22000,22000,4007,0,41,262.2643230778648,3.173401000026388,21909.265434000077,13570.81257798852
1643311655,400,,Aggregated,105.900000,0.000000,42,58,75,88,140,260,3600,6700,21000,22000,22000,4148,0,42,256.5202278777731,3.173401000026388,21909.265434000077,13126.758919961427
1643311656,410,,Aggregated,114.500000,0.000000,43,58,75,88,140,260,3000,6700,21000,22000,22000,4301,0,43,250.03806968449308,3.173401000026388,21909.265434000077,12670.787723785166
1643311657,420,,Aggregated,113.900000,0.000000,42,58,74,88,140,260,2700,6700,21000,22000,22000,4380,0,42,246.21319809429318,3.173401000026388,21909.265434000077,12452.5799086758
1643311658,430,,Aggregated,117.100000,0.000000,42,58,74,87,140,250,2400,6300,21000,22000,22000,4522,0,42,240.17067285847065,3.173401000026388,21909.265434000077,12074.34520123839
