Method,Name,Error,Occurrences
GET,/api/shipping/calc/3949972,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/calc/3949972,1
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/cities/pt,7
GET,/api/catalogue/product/Watson,Remote end closed connection without response,2
GET,/api/shipping/calc/3201688,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/calc/3201688,1
GET,/api/cart/add/anonymous-1055/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4047501,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/calc/4047501,1
GET,/api/shipping/calc/5652423,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/calc/5652423,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,1
GET,/api/shipping/codes,[Errno 104] Connection reset by peer,1
GET,/api/ratings/api/fetch/UHJ,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1249/UHJ/1,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,43
GET,/api/user/uniqueid,[Errno 104] Connection reset by peer,3
PUT,/api/ratings/api/rate/RMC/3,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/cities/jp,8
GET,/api/cart/update/anonymous-1303/RED/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5354748,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/calc/5354748,1
GET,/api/cart/cart/anonymous-1386,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/codes,"('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))",1
GET,/api/cart/add/anonymous-1006/EPE/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-882/EMM/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1470/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1275/Watson/2,Remote end closed connection without response,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/cities/br,3
GET,/api/user/uniqueid,Remote end closed connection without response,4
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.117.69.205/api/shipping/codes,749
GET,/api/cart/update/anonymous-879/HPTD/2,Remote end closed connection without response,1
