Method,Name,Error,Occurrences
GET,/api/shipping/calc/4566072,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/4566072,1
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/hu,6
GET,/api/shipping/cities/gb,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/gb,6
GET,/api/catalogue/product/Watson,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-720/EPE/2,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-21,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/confirm/anonymous-21,1
GET,/api/shipping/calc/3766698,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/3766698,1
GET,/api/shipping/calc/4171095,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/4171095,1
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/ch,8
GET,/api/cart/update/anonymous-1170/SHCE/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3193562,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/3193562,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/es,7
POST,/api/shipping/confirm/anonymous-39,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/confirm/anonymous-39,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,2
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/de,15
PUT,/api/ratings/api/rate/STAN-1/4,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,10
GET,/api/cart/add/anonymous-1204/RED/1,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,6
GET,/api/cart/add/anonymous-961/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/ca,4
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/in,8
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/cities/br,6
GET,/api/cart/update/anonymous-588/EMM/2,Remote end closed connection without response,1
GET,/api/shipping/calc/5079594,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/5079594,1
GET,/api/cart/add/anonymous-967/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-791,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3848257,504 Server Error: Gateway Time-out for url: http://20.117.69.135/api/shipping/calc/3848257,1
GET,/api/cart/cart/anonymous-609,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/2,Remote end closed connection without response,1
