Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1510,5,19000.0,84931.02573971651,2.6208269999870026,1385099.6939239998,2577.437086092715,0.8217769130608333,0.0027211156061617,19000,79000,120000,167000,211000,364000,519000,535000,1066000,1385000,1385000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,14.002786999981254,14.002786999981254,14.002786999981254,14.002786999981254,199.0,0.00054422312123234,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-1/RMC/1,1,0,43.350277000001824,43.350277000001824,43.350277000001824,43.350277000001824,108.0,0.00054422312123234,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/cart/add/anonymous-10/EMM/1,1,0,63.22482999996737,63.22482999996737,63.22482999996737,63.22482999996737,201.0,0.00054422312123234,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,39.2588170000181,39.2588170000181,39.2588170000181,39.2588170000181,111.0,0.00054422312123234,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-100/EMM/1,1,0,88.00737200010644,88.00737200010644,88.00737200010644,88.00737200010644,205.0,0.00054422312123234,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/cart/add/anonymous-100/EPE/1,1,0,145.8963779999749,145.8963779999749,145.8963779999749,145.8963779999749,129.0,0.00054422312123234,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-1000/UHJ/1,1,0,193768.26892300005,193768.26892300005,193768.26892300005,193768.26892300005,138.0,0.00054422312123234,0.0,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000,194000
GET,/api/cart/add/anonymous-1001/HPTD/1,1,1,74763.78102099989,74763.78102099989,74763.78102099989,74763.78102099989,0.0,0.00054422312123234,0.00054422312123234,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
GET,/api/cart/add/anonymous-1001/Watson/1,1,0,101206.69233000012,101206.69233000012,101206.69233000012,101206.69233000012,106.0,0.00054422312123234,0.0,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
GET,/api/cart/add/anonymous-1005/RED/1,1,0,49917.449601000044,49917.449601000044,49917.449601000044,49917.449601000044,132.0,0.00054422312123234,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,49120.33947699979,49120.33947699979,49120.33947699979,49120.33947699979,202.0,0.00054422312123234,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1006/HPTD/1,1,0,49228.1822330001,49228.1822330001,49228.1822330001,49228.1822330001,200.0,0.00054422312123234,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-1006/STAN-1/1,1,0,49996.74787699996,49996.74787699996,49996.74787699996,49996.74787699996,111.0,0.00054422312123234,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/cart/add/anonymous-1007/RMC/1,1,0,53099.08606099998,53099.08606099998,53099.08606099998,53099.08606099998,202.0,0.00054422312123234,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1007/SHCE/1,1,0,51060.54176199996,51060.54176199996,51060.54176199996,51060.54176199996,124.0,0.00054422312123234,0.0,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000
GET,/api/cart/add/anonymous-1008/RMC/1,1,0,29188.78077999989,29188.78077999989,29188.78077999989,29188.78077999989,108.0,0.00054422312123234,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1009/SHCE/1,1,0,28048.34167099989,28048.34167099989,28048.34167099989,28048.34167099989,124.0,0.00054422312123234,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,99.72781499993744,99.72781499993744,99.72781499993744,99.72781499993744,124.0,0.00054422312123234,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,82.41630400004851,82.41630400004851,82.41630400004851,82.41630400004851,230.0,0.00054422312123234,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/api/cart/add/anonymous-1012/Watson/1,1,0,29197.87727899984,29197.87727899984,29197.87727899984,29197.87727899984,106.0,0.00054422312123234,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1014/Watson/1,1,0,88005.72154700012,88005.72154700012,88005.72154700012,88005.72154700012,106.0,0.00054422312123234,0.0,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
GET,/api/cart/add/anonymous-1016/EPE/1,1,0,77120.70717200004,77120.70717200004,77120.70717200004,77120.70717200004,217.0,0.00054422312123234,0.0,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
GET,/api/cart/add/anonymous-1016/HPTD/1,1,0,79809.27580999992,79809.27580999992,79809.27580999992,79809.27580999992,121.0,0.00054422312123234,0.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
GET,/api/cart/add/anonymous-1017/RMC/1,1,0,118021.57853400013,118021.57853400013,118021.57853400013,118021.57853400013,108.0,0.00054422312123234,0.0,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000
GET,/api/cart/add/anonymous-1018/HPTD/1,1,0,118022.7003519999,118022.7003519999,118022.7003519999,118022.7003519999,121.0,0.00054422312123234,0.0,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000
GET,/api/cart/add/anonymous-1019/STAN-1/1,1,0,118022.57704300019,118022.57704300019,118022.57704300019,118022.57704300019,111.0,0.00054422312123234,0.0,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000
GET,/api/cart/add/anonymous-102/RED/1,1,0,71.35776999996324,71.35776999996324,71.35776999996324,71.35776999996324,209.0,0.00054422312123234,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/cart/add/anonymous-102/UHJ/1,1,0,87.10236100000657,87.10236100000657,87.10236100000657,87.10236100000657,138.0,0.00054422312123234,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/api/cart/add/anonymous-1020/EMM/1,1,0,118021.7417419999,118021.7417419999,118021.7417419999,118021.7417419999,137.0,0.00054422312123234,0.0,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000,118000
GET,/api/cart/add/anonymous-1021/STAN-1/1,1,0,84948.29987399999,84948.29987399999,84948.29987399999,84948.29987399999,111.0,0.00054422312123234,0.0,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
