Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,2
GET,/api/cart/add/anonymous-848/UHJ/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
GET,/api/cart/cart/anonymous-1254,Remote end closed connection without response,1
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/no,2
GET,/api/cart/update/anonymous-1179/UHJ/2,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,4
PUT,/api/ratings/api/rate/HPTD/5,Remote end closed connection without response,1
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/tr,2
PUT,/api/ratings/api/rate/STAN-1/4,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1171/STAN-1/1,Remote end closed connection without response,1
GET,/,Remote end closed connection without response,8
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/au,2
GET,/api/cart/update/anonymous-878/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-972/Watson/2,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
GET,/api/cart/cart/anonymous-1157,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1454,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1717/UHJ/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1603/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1453/EMM/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-946,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1438,Remote end closed connection without response,1
GET,/api/shipping/calc/3187894,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/calc/3187894,1
GET,/api/cart/update/anonymous-923/RED/2,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,29
GET,/api/cart/add/anonymous-1534/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1672/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/4031360,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/calc/4031360,1
GET,/api/ratings/api/fetch/Watson,Remote end closed connection without response,8
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/br,1
GET,/api/shipping/calc/5841031,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/calc/5841031,1
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/ro,2
GET,/api/cart/cart/anonymous-1048,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/4,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/UHJ,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-1215/HPTD/1,Remote end closed connection without response,1
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/us,2
GET,/api/ratings/api/fetch/HPTD,Remote end closed connection without response,4
GET,/api/cart/add/anonymous-916/UHJ/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/Watson/3,Remote end closed connection without response,1
GET,/api/shipping/calc/5089676,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/calc/5089676,1
GET,/api/cart/add/anonymous-1279/RED/1,Remote end closed connection without response,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.156.45/api/shipping/cities/se,3
GET,/api/cart/cart/anonymous-1316,Remote end closed connection without response,1
