Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643316201,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643316202,10,,Aggregated,0.000000,0.000000,22,32,49,68,120,430,460,460,460,460,460,45,0,22,59.94969219993638,4.286018000129843,459.2748789991674,473.97777777777776
1643316203,20,,Aggregated,0.000000,0.000000,21,30,45,49,96,430,460,480,480,480,480,77,0,21,51.14501196098368,4.286018000129843,484.1840779999984,463.9220779220779
1643316204,30,,Aggregated,24.000000,0.000000,23,33,45,54,120,190,480,1300,1400,1400,1400,151,0,23,73.08801534433366,4.286018000129843,1379.137236999668,21815.1059602649
1643316205,40,,Aggregated,34.000000,0.000000,22,31,41,46,110,370,460,1300,1400,1400,1400,218,0,22,64.56929311923953,4.286018000129843,1379.137236999668,15266.839449541285
1643316206,50,,Aggregated,33.000000,0.000000,23,34,45,54,170,440,1300,2000,3600,3600,3600,278,0,23,103.67164528775352,4.286018000129843,3576.500170000145,59495.91366906475
1643316208,60,,Aggregated,48.750000,0.000000,27,43,69,120,390,980,2400,3500,3700,3700,3700,367,0,27,184.8690482806305,3.5155140003553242,3661.7789029996857,88756.31607629427
1643316209,70,,Aggregated,49.600000,0.000000,29,46,99,170,400,820,2300,3500,3800,3800,3800,466,0,29,183.45151843130398,3.5155140003553242,3841.658712000026,77523.61802575107
1643316210,80,,Aggregated,46.333333,0.000000,26,42,67,130,370,780,2300,3500,3800,3800,3800,534,0,26,167.24970775653117,3.348113000356534,3841.658712000026,67709.47565543071
1643316211,90,,Aggregated,58.250000,0.000000,27,41,58,98,260,650,2000,3200,3800,3800,3800,615,0,27,153.0798516032372,3.348113000356534,3841.658712000026,60573.14796747967
1643316212,100,,Aggregated,59.333333,0.000000,27,40,54,89,240,550,2000,3500,3800,3800,3800,665,0,27,149.4506443443408,3.348113000356534,3841.658712000026,56054.79548872181
1643316213,110,,Aggregated,61.400000,0.000000,26,37,49,67,210,470,1600,3500,4800,4800,4800,768,0,26,138.98037933071336,3.31941399963398,4768.094848000146,48594.298177083336
1643316214,120,,Aggregated,63.900000,0.000000,28,36,48,59,190,440,1600,3500,6100,6100,6100,882,0,28,137.9567361280995,3.31941399963398,6088.304048999817,45040.316326530614
1643316215,130,,Aggregated,69.300000,0.000000,29,38,48,59,190,440,2000,3600,8000,8000,8000,999,0,29,149.73343010609403,3.31941399963398,8016.798827999992,48648.68568568568
1643316216,140,,Aggregated,77.200000,0.000000,29,38,48,58,150,420,1500,3600,8000,8200,8200,1154,0,29,141.68892751992047,2.952312000161328,8161.030829000083,42165.275563258234
1643316217,150,,Aggregated,78.600000,0.000000,29,39,49,61,210,880,3700,5800,8200,9200,9200,1319,0,29,237.380284704317,2.939912000329059,9234.171011999933,42254.13570887036
1643316218,160,,Aggregated,78.600000,0.000000,29,39,49,60,190,650,3600,5600,8200,9200,9200,1447,0,29,219.74260615825136,2.939912000329059,9234.171011999933,38546.044229440224
1643316219,170,,Aggregated,99.300000,0.000000,28,37,47,57,170,530,3500,5500,9200,10000,10000,1611,0,28,207.42861399068124,2.939912000329059,10485.754797000482,34668.324643078835
1643316220,180,,Aggregated,108.000000,0.000000,28,37,46,55,160,580,3500,5800,11000,12000,12000,1728,0,28,222.93692681191357,2.939912000329059,11518.086496000251,33787.26273148148
1643316221,190,,Aggregated,112.700000,0.000000,27,35,44,52,130,470,3500,5800,12000,13000,13000,1848,0,27,216.56362447888523,2.7760109996961546,12718.009958000039,31622.90367965368
1643316222,200,,Aggregated,118.800000,0.000000,27,35,43,51,110,440,3500,5800,13000,14000,14000,1994,0,27,209.77131749948694,2.7760109996961546,13623.708633000206,29341.245737211633
1643316223,210,,Aggregated,121.300000,0.000000,28,36,45,53,130,640,4600,8000,13000,15000,15000,2113,0,28,281.6727165305142,2.7760109996961546,14759.18852399991,28884.617605300522
1643316224,220,,Aggregated,131.600000,0.000000,27,35,44,53,130,780,5600,8200,14000,15000,15000,2217,0,27,303.0475898574552,2.7760109996961546,15150.299193999672,28217.251240414975
1643316225,230,,Aggregated,130.200000,0.000000,26,35,43,52,120,640,5600,8200,15000,16000,16000,2308,0,26,299.14412953985243,2.7760109996961546,16226.432731999921,27121.03292894281
1643316226,240,,Aggregated,132.800000,0.000000,26,34,43,52,120,770,5800,9200,17000,18000,18000,2371,0,26,319.7992963483673,2.7760109996961546,18352.170588000263,33509.48544917756
1643316228,250,,Aggregated,121.900000,0.000000,26,34,42,51,120,590,5800,9100,17000,18000,18000,2461,0,26,312.19651249247505,2.7760109996961546,18352.170588000263,32299.257212515236
1643316229,260,,Aggregated,121.900000,0.000000,26,34,42,51,120,600,6300,10000,17000,18000,18000,2548,0,26,324.25759508476443,2.7760109996961546,18352.170588000263,32843.16797488226
1643316230,270,,Aggregated,101.300000,0.000000,26,33,41,50,100,450,5800,9500,17000,18000,18000,2765,0,26,304.8264424828149,2.7760109996961546,18352.170588000263,30301.13707052441
1643316231,280,,Aggregated,95.500000,0.000000,26,33,41,49,99,440,5600,9100,17000,18000,18000,2910,0,26,294.1243589835049,2.7760109996961546,18352.170588000263,28815.161855670103
1643316232,290,,Aggregated,103.000000,0.000000,25,33,41,49,98,430,5600,9200,17000,18000,18000,2999,0,25,292.8126886632195,2.7760109996961546,18352.170588000263,27973.611203734577
1643316233,300,,Aggregated,107.800000,0.000000,25,33,41,48,95,410,5400,9000,16000,18000,18000,3133,0,25,282.3761609683995,2.7760109996961546,18352.170588000263,26796.053941908714
1643316234,310,,Aggregated,101.200000,0.000000,26,33,41,48,89,370,4600,8600,16000,18000,18000,3334,0,26,267.43395367396363,2.7760109996961546,18352.170588000263,25208.224955009
1643316235,320,,Aggregated,106.400000,0.000000,26,33,41,48,87,320,4200,8600,17000,18000,18000,3454,0,26,264.14343559264506,2.7760109996961546,18352.170588000263,24348.808627678056
1643316236,330,,Aggregated,106.800000,0.000000,26,33,41,48,84,270,3700,8200,17000,18000,18000,3630,0,26,253.20747225950194,2.7760109996961546,18352.170588000263,23190.3608815427
1643316237,340,,Aggregated,113.300000,0.000000,26,33,41,48,82,250,3700,8200,17000,28000,28000,3748,0,26,255.54049155522677,2.7760109996961546,28454.687008000292,24826.99172892209
1643316239,350,,Aggregated,115.700000,0.000000,26,34,41,48,82,240,3600,8000,17000,28000,28000,3917,0,26,246.6062435463329,2.7760109996961546,28454.687008000292,23775.88230788869
1643316240,360,,Aggregated,130.100000,0.000000,26,33,41,48,82,230,3500,8000,17000,28000,28000,4018,0,26,241.16175455176267,2.6187100002061925,28454.687008000292,23190.06719761075
1643316241,370,,Aggregated,136.900000,0.000000,26,33,41,48,81,230,3500,7900,17000,28000,28000,4155,0,26,234.54804728230545,2.6187100002061925,28454.687008000292,22439.34271961492
1643316242,380,,Aggregated,126.600000,0.000000,26,33,41,48,79,220,3400,7800,17000,28000,28000,4271,0,26,228.96121354904722,2.6187100002061925,28454.687008000292,21842.5424959026
1643316243,390,,Aggregated,123.900000,0.000000,26,33,41,48,79,210,3100,7500,17000,28000,28000,4429,0,26,221.94143805621596,2.6187100002061925,28454.687008000292,21079.663355159177
1643316244,400,,Aggregated,127.500000,0.000000,26,33,41,48,79,200,3100,7500,17000,28000,28000,4484,0,26,219.67380722479584,2.6187100002061925,28454.687008000292,20825.668153434435
1643316245,410,,Aggregated,121.800000,0.000000,26,33,41,48,78,200,3000,7400,17000,28000,28000,4558,0,26,216.62681779135198,2.6187100002061925,28454.687008000292,20494.450636243968
1643316246,420,,Aggregated,119.000000,0.000000,26,33,40,47,75,190,2800,7400,17000,28000,28000,4698,0,26,211.0287074604064,2.6187100002061925,28454.687008000292,19898.20072371222
1643316248,430,,Aggregated,106.200000,0.000000,26,33,40,48,75,180,2400,7300,17000,28000,28000,4843,0,26,206.18038202291723,2.6187100002061925,28454.687008000292,19315.486062358043
1643316249,440,,Aggregated,106.200000,0.000000,27,34,41,48,74,180,2200,7300,16000,28000,28000,5027,0,27,200.19289591067968,2.6187100002061925,28454.687008000292,18625.714143624427
1643316250,450,,Aggregated,109.000000,0.000000,27,34,41,48,74,170,2100,7100,16000,28000,28000,5189,0,27,195.2082517168992,2.6187100002061925,28454.687008000292,18057.605704374637
1643316251,460,,Aggregated,111.000000,0.000000,27,34,41,48,73,170,1900,7000,16000,28000,28000,5282,0,27,192.32796198277015,2.6187100002061925,28454.687008000292,17747.76826959485
1643316252,470,,Aggregated,114.400000,0.000000,27,34,41,48,72,160,1700,6900,16000,28000,28000,5415,0,27,188.48735670452308,2.6187100002061925,28454.687008000292,17323.046906740536
1643316253,480,,Aggregated,112.100000,0.000000,27,34,41,47,72,160,1600,6900,16000,28000,28000,5550,0,27,184.62506881711587,2.6187100002061925,28454.687008000292,16913.5
1643316255,490,,Aggregated,107.700000,0.000000,27,35,41,48,72,150,1400,6300,16000,28000,28000,5764,0,27,179.36080089139315,2.6187100002061925,28454.687008000292,16301.862074947952
1643316256,500,,Aggregated,111.700000,0.000000,27,35,41,48,71,140,1300,6100,16000,28000,28000,5844,0,27,177.28976149469386,2.6187100002061925,28454.687008000292,16084.9522587269
1643316257,510,,Aggregated,125.300000,0.000000,27,35,41,48,71,140,1200,5800,15000,28000,28000,6016,0,27,173.3876251888278,2.6187100002061925,28454.687008000292,15638.097739361701
1643316258,520,,Aggregated,125.800000,0.000000,27,35,41,48,71,140,1200,5600,15000,28000,28000,6124,0,27,170.88607839140857,2.6187100002061925,28454.687008000292,15371.485467015023
1643316259,530,,Aggregated,127.900000,0.000000,28,36,42,48,72,140,980,5500,15000,28000,28000,6316,0,28,167.79968910180338,2.6187100002061925,28454.687008000292,14917.852596580115
1643316260,540,,Aggregated,125.600000,0.000000,28,36,42,48,72,150,880,5500,15000,28000,28000,6394,0,28,166.4274936058788,2.6187100002061925,28454.687008000292,14740.198154519863
1643316262,550,,Aggregated,116.300000,0.000000,28,36,42,48,72,140,780,5400,15000,28000,28000,6553,0,28,163.28565512528368,2.6187100002061925,28454.687008000292,14393.19884022585
1643316263,560,,Aggregated,116.300000,0.000000,28,35,42,48,72,140,770,5000,15000,28000,28000,6658,0,28,161.13038084920237,2.6187100002061925,28454.687008000292,14173.76824872334
1643316264,570,,Aggregated,120.100000,0.000000,28,36,42,48,72,140,600,4600,15000,28000,28000,6876,0,28,157.63433486881695,2.6187100002061925,28454.687008000292,13738.88510762071
1643316265,580,,Aggregated,119.600000,0.000000,28,36,42,48,72,140,590,4600,15000,28000,28000,6988,0,28,155.75988491041744,2.6187100002061925,28454.687008000292,13525.211791642816
1643316266,590,,Aggregated,125.300000,0.000000,28,36,42,48,71,130,590,4600,15000,60000,60000,7099,1,28,162.0520724254115,2.6187100002061925,60014.83826799995,13321.29426679814
1643316268,600,,Aggregated,118.600000,0.000000,28,36,42,48,71,130,580,4600,15000,60000,60000,7196,1,28,160.38863474986027,2.6187100002061925,60014.83826799995,13147.947331851028
1643316269,610,,Aggregated,112.200000,0.100000,28,36,42,48,71,130,590,4200,16000,60000,60000,7368,2,28,165.90886757071064,2.6187100002061925,60014.83826799995,12851.4611834962
1643316270,620,,Aggregated,110.200000,0.100000,28,36,42,48,71,130,570,3900,16000,60000,60000,7468,2,28,164.1060210661483,2.6187100002061925,60014.83826799995,12685.163899303696
1643316271,630,,Aggregated,117.000000,0.200000,28,36,42,48,70,130,570,3700,16000,60000,60000,7649,2,28,161.25286340867942,2.6187100002061925,60014.83826799995,12395.82128382795
1643316272,640,,Aggregated,114.000000,0.200000,28,36,42,48,70,130,550,3700,16000,60000,60000,7777,2,28,159.14940128326913,2.6187100002061925,60014.83826799995,12199.122669409799
1643316274,650,,Aggregated,113.600000,0.200000,28,36,42,48,71,130,550,3600,16000,60000,60000,7947,2,28,157.08178622171735,2.6187100002061925,60014.83826799995,11947.01082169372
1643316275,660,,Aggregated,113.600000,0.200000,28,36,42,48,71,130,550,3600,15000,60000,60000,8043,2,28,155.57523818338726,2.6187100002061925,60014.83826799995,11810.311575282854
1643316276,670,,Aggregated,113.900000,0.200000,28,36,42,48,72,130,550,3700,18000,61000,61000,8258,6,28,182.04361507035318,2.6187100002061925,60608.3294379996,11514.65827076774
1643316277,680,,Aggregated,109.300000,0.200000,28,37,42,49,73,140,680,6900,60000,61000,61000,8404,31,28,358.1548587541621,2.6187100002061925,60608.3294379996,11321.394455021418
1643316279,690,,Aggregated,120.600000,0.700000,29,37,44,50,75,140,1100,8200,60000,61000,61000,8663,49,29,474.300034412557,2.6187100002061925,60648.870873000305,10997.391665704721
