Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1486,14,24000.0,88528.74358497783,2.7287020000130724,1088197.8199790001,2561.636608344549,0.8065465923024819,0.007598689294908981,24000,43000,73000,100000,350000,521000,574000,621000,1088000,1088000,1088000
GET,/api/cart/add/anonymous-1/RED/1,1,0,14.008021999984521,14.008021999984521,14.008021999984521,14.008021999984521,202.0,0.0005427635210649272,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-1/Watson/1,1,0,44.47497099999964,44.47497099999964,44.47497099999964,44.47497099999964,106.0,0.0005427635210649272,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/api/cart/add/anonymous-10/EMM/1,1,0,10.325615999988713,10.325615999988713,10.325615999988713,10.325615999988713,137.0,0.0005427635210649272,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,8.002411999996184,8.002411999996184,8.002411999996184,8.002411999996184,229.0,0.0005427635210649272,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/add/anonymous-100/EMM/1,1,0,9.92021100000784,9.92021100000784,9.92021100000784,9.92021100000784,214.0,0.0005427635210649272,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,46.58614899994973,46.58614899994973,46.58614899994973,46.58614899994973,138.0,0.0005427635210649272,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-1002/EPE/1,1,0,22770.59585400002,22770.59585400002,22770.59585400002,22770.59585400002,200.0,0.0005427635210649272,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1002/Watson/1,1,0,42913.54543400007,42913.54543400007,42913.54543400007,42913.54543400007,106.0,0.0005427635210649272,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,67844.88896400011,67844.88896400011,67844.88896400011,67844.88896400011,230.0,0.0005427635210649272,0.0,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,80512.79425799998,80512.79425799998,80512.79425799998,80512.79425799998,138.0,0.0005427635210649272,0.0,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000
GET,/api/cart/add/anonymous-1004/Watson/1,1,0,61192.30292599991,61192.30292599991,61192.30292599991,61192.30292599991,106.0,0.0005427635210649272,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1005/EPE/1,1,0,48329.76660699978,48329.76660699978,48329.76660699978,48329.76660699978,207.0,0.0005427635210649272,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/cart/add/anonymous-1005/RMC/1,1,0,61168.67408800022,61168.67408800022,61168.67408800022,61168.67408800022,108.0,0.0005427635210649272,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1006/HPTD/1,1,0,80512.59905899997,80512.59905899997,80512.59905899997,80512.59905899997,121.0,0.0005427635210649272,0.0,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,46760.8438929999,46760.8438929999,46760.8438929999,46760.8438929999,199.0,0.0005427635210649272,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1008/HPTD/1,1,0,61191.27292899998,61191.27292899998,61191.27292899998,61191.27292899998,121.0,0.0005427635210649272,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-1009/Watson/1,1,0,61189.632732999824,61189.632732999824,61189.632732999824,61189.632732999824,106.0,0.0005427635210649272,0.0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/cart/add/anonymous-101/EPE/1,1,0,64.18726700007937,64.18726700007937,64.18726700007937,64.18726700007937,129.0,0.0005427635210649272,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,48.019350000004124,48.019350000004124,48.019350000004124,48.019350000004124,179.0,0.0005427635210649272,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-1010/EMM/1,1,0,21812.672890999922,21812.672890999922,21812.672890999922,21812.672890999922,214.0,0.0005427635210649272,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1010/UHJ/1,1,0,42797.80413399999,42797.80413399999,42797.80413399999,42797.80413399999,138.0,0.0005427635210649272,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/api/cart/add/anonymous-1011/EMM/1,1,0,42849.304107000076,42849.304107000076,42849.304107000076,42849.304107000076,137.0,0.0005427635210649272,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/api/cart/add/anonymous-1011/SHCE/1,1,0,47031.82220099984,47031.82220099984,47031.82220099984,47031.82220099984,229.0,0.0005427635210649272,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/cart/add/anonymous-1012/EPE/1,1,0,61850.22345799985,61850.22345799985,61850.22345799985,61850.22345799985,129.0,0.0005427635210649272,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1017/HPTD/1,1,0,61685.218789000144,61685.218789000144,61685.218789000144,61685.218789000144,121.0,0.0005427635210649272,0.0,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
GET,/api/cart/add/anonymous-1018/EMM/1,1,0,109985.93394099998,109985.93394099998,109985.93394099998,109985.93394099998,137.0,0.0005427635210649272,0.0,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
GET,/api/cart/add/anonymous-1019/EPE/1,1,0,85368.92660400008,85368.92660400008,85368.92660400008,85368.92660400008,201.0,0.0005427635210649272,0.0,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
GET,/api/cart/add/anonymous-1019/RED/1,1,0,53674.04789999978,53674.04789999978,53674.04789999978,53674.04789999978,132.0,0.0005427635210649272,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-102/RED/1,1,0,32.06283199995141,32.06283199995141,32.06283199995141,32.06283199995141,225.0,0.0005427635210649272,0.0,32,32,32,32,32,32,32,32,32,32,32
