Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643316291,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643316292,10,,Aggregated,0.000000,0.000000,38,52,56,95,170,350,380,380,380,380,380,70,0,36,66.8512715999246,8.088651999969443,384.4929829992907,509.8
1643316293,20,,Aggregated,0.000000,0.000000,33,49,55,59,100,170,360,380,380,380,380,102,0,32,56.67724533328046,8.088651999969443,384.4929829992907,492.578431372549
1643316294,30,,Aggregated,65.000000,0.000000,33,49,55,59,110,170,380,490,1800,1800,1800,149,0,33,66.71570063083482,4.914031000225805,1785.5657330001122,8052.765100671141
1643316295,40,,Aggregated,51.000000,0.000000,33,48,56,67,120,170,380,1800,2200,2200,2200,241,0,33,77.36766733607239,4.914031000225805,2235.960743999385,17150.219917012448
1643316296,50,,Aggregated,48.666667,0.000000,36,52,65,85,150,380,1800,3000,4000,4000,4000,268,0,36,131.17652133952214,4.552828999294434,3965.340822000144,40682.361940298506
1643316297,60,,Aggregated,48.000000,0.000000,34,48,60,73,140,380,1700,2200,4000,4000,4000,312,0,33,122.7392599807433,4.552828999294434,3965.340822000144,38397.179487179485
1643316298,70,,Aggregated,53.200000,0.000000,36,49,65,82,160,680,1800,3000,5700,5700,5700,377,0,36,149.35516599999195,4.552828999294434,5674.9751779998405,46230.962864721485
1643316299,80,,Aggregated,51.666667,0.000000,34,47,59,75,150,640,1800,3000,5700,5700,5700,424,0,34,147.6265211014023,4.552828999294434,5674.9751779998405,44352.625
1643316300,90,,Aggregated,51.142857,0.000000,32,46,56,67,140,640,1700,3000,5700,5700,5700,499,0,32,136.96636646691994,4.552828999294434,5674.9751779998405,37752.775551102204
1643316301,100,,Aggregated,52.625000,0.000000,31,42,55,66,140,750,2200,3300,5700,5700,5700,573,0,31,162.3091955392514,4.552828999294434,5674.9751779998405,39452.169284467716
1643316302,110,,Aggregated,52.222222,0.000000,30,41,53,64,120,640,1800,3000,5700,5700,5700,677,0,30,142.64442561593233,3.722723999999289,5674.9751779998405,33456.344165435745
1643316303,120,,Aggregated,55.500000,0.000000,32,47,58,69,140,700,2700,3500,7000,7000,7000,790,0,32,172.18876585315041,3.722723999999289,6959.959138999693,36591.23544303798
1643316304,130,,Aggregated,55.600000,0.000000,32,45,56,67,130,430,2300,3400,7000,7000,7000,885,0,32,157.55615073670364,3.722723999999289,6959.959138999693,32702.377401129943
1643316305,140,,Aggregated,61.100000,0.000000,30,42,54,64,120,490,2700,4000,11000,11000,11000,960,0,30,178.6486232260245,3.722723999999289,11343.517116999465,30182.658333333333
1643316306,150,,Aggregated,70.000000,0.000000,30,42,54,64,140,680,3500,6100,11000,11000,11000,1089,0,30,233.4161033819834,3.722723999999289,11343.517116999465,28637.003673094583
1643316307,160,,Aggregated,74.900000,0.000000,30,42,54,63,120,430,3300,6100,11000,11000,11000,1191,0,30,217.9122091763015,3.722723999999289,11343.517116999465,26221.596977329973
1643316308,170,,Aggregated,71.600000,0.000000,30,42,52,60,110,370,3000,5600,11000,11000,11000,1320,0,30,202.27612354467882,3.722723999999289,11343.517116999465,23710.098484848484
1643316309,180,,Aggregated,82.000000,0.000000,30,41,51,59,110,350,2800,5400,11000,11000,11000,1410,0,30,193.6778746226807,3.448022000156925,11343.517116999465,22218.66879432624
1643316310,190,,Aggregated,86.100000,0.000000,30,41,50,58,98,320,2800,4800,11000,11000,11000,1529,0,30,184.2592485382501,3.448022000156925,11343.517116999465,20525.54022236756
1643316312,200,,Aggregated,91.900000,0.000000,30,40,49,56,95,300,2700,4800,11000,11000,11000,1618,0,30,179.4120017676086,3.448022000156925,11343.517116999465,19422.31458590853
1643316313,210,,Aggregated,97.400000,0.000000,29,39,48,56,89,200,2600,4800,11000,11000,11000,1761,0,29,171.3574462418993,3.427607000048738,11343.517116999465,17882.88245315162
1643316314,220,,Aggregated,99.700000,0.000000,29,39,48,55,87,200,2300,4800,11000,11000,11000,1862,0,29,167.8726419752848,3.427607000048738,11343.517116999465,16936.13372717508
1643316315,230,,Aggregated,104.500000,0.000000,29,39,47,54,87,200,2600,5600,14000,14000,14000,1997,0,29,177.57809260740208,3.427607000048738,14061.786529000528,16788.25738607912
1643316316,240,,Aggregated,101.500000,0.000000,29,39,47,54,88,190,2300,5600,11000,14000,14000,2078,0,29,177.27867110393797,3.427607000048738,14061.786529000528,16151.259865255053
1643316317,250,,Aggregated,104.100000,0.000000,29,38,47,53,86,170,2200,5400,11000,14000,14000,2226,0,29,172.77083427537778,2.976691000185383,14061.786529000528,15106.228212039532
1643316318,260,,Aggregated,108.400000,0.000000,29,39,47,53,85,160,1800,4800,11000,14000,14000,2357,0,29,165.28206775349315,2.976691000185383,14061.786529000528,14291.59355112431
1643316319,270,,Aggregated,104.900000,0.000000,29,39,48,55,86,160,1600,4700,13000,14000,14000,2524,0,29,162.97440353446217,2.976691000185383,14061.786529000528,13374.812202852614
1643316320,280,,Aggregated,109.900000,0.000000,29,39,48,54,86,160,1500,4200,13000,14000,14000,2648,0,29,157.1610442537712,2.976691000185383,14061.786529000528,12771.628776435045
1643316321,290,,Aggregated,108.700000,0.000000,30,41,50,57,92,150,1300,4000,13000,14000,14000,2853,0,30,150.3535631391513,2.976691000185383,14061.786529000528,11884.769015071854
1643316322,300,,Aggregated,117.500000,0.000000,30,40,49,57,91,150,1300,4000,13000,14000,14000,2933,0,30,149.03351185100465,2.976691000185383,14061.786529000528,11573.339924991476
1643316323,310,,Aggregated,117.700000,0.000000,30,40,49,56,89,140,870,4000,11000,14000,14000,3059,0,30,144.2810549578324,2.976691000185383,14061.786529000528,11114.68257600523
1643316325,320,,Aggregated,126.000000,0.000000,30,40,49,56,89,140,1100,4000,14000,23000,23000,3134,0,30,155.9898980714774,2.976691000185383,23335.172824999972,11712.7383535418
1643316326,330,,Aggregated,119.800000,0.000000,30,40,48,56,88,140,830,4000,14000,23000,23000,3218,0,30,152.84940423772852,2.976691000185383,23335.172824999972,11417.230267246738
1643316327,340,,Aggregated,115.200000,0.000000,30,40,48,56,86,140,740,3800,14000,23000,23000,3380,0,30,147.27099909112883,2.976691000185383,23335.172824999972,10893.731360946746
1643316328,350,,Aggregated,114.700000,0.000000,30,39,48,56,85,140,680,3500,14000,23000,23000,3524,0,30,143.0747232522749,2.976691000185383,23335.172824999972,10467.098183881952
1643316329,360,,Aggregated,119.700000,0.000000,30,39,48,56,85,130,680,3600,22000,27000,27000,3647,0,30,154.09911867919374,2.976691000185383,26582.481917999758,10130.95914450233
1643316330,370,,Aggregated,117.700000,0.000000,30,39,48,55,85,130,490,3500,23000,35000,35000,3805,0,30,158.7119757868655,2.976691000185383,34693.40189800005,11210.381865965834
1643316331,380,,Aggregated,118.800000,0.000000,30,40,49,56,86,140,540,3600,27000,35000,35000,3964,0,30,170.19018262916921,2.976691000185383,34693.40189800005,10778.257315842584
1643316333,390,,Aggregated,109.900000,0.000000,30,40,49,56,86,140,470,3500,26000,35000,35000,4060,0,30,167.13596951355422,2.976691000185383,34693.40189800005,10532.899507389162
