Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1602,18,19000.0,186055.28520462665,2.7830590001940436,1262695.4190649998,2556.9438202247193,0.8798464295221735,0.009885914938451387,19000,52000,133000,632000,771000,809000,864000,913000,1241000,1263000,1263000
GET,/api/cart/add/anonymous-1/UHJ/1,2,0,10.979038999721524,10.849739499917632,10.72044000011374,10.979038999721524,139.5,0.0010984349931612654,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-10/RMC/1,1,0,27.3125489998165,27.3125489998165,27.3125489998165,27.3125489998165,202.0,0.0005492174965806327,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,48.495731000002706,48.495731000002706,48.495731000002706,48.495731000002706,124.0,0.0005492174965806327,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-100/EPE/1,1,0,15.100768999673164,15.100768999673164,15.100768999673164,15.100768999673164,222.0,0.0005492174965806327,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,16.85314099995594,16.85314099995594,16.85314099995594,16.85314099995594,124.0,0.0005492174965806327,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-1001/RMC/1,1,0,57238.519342000014,57238.519342000014,57238.519342000014,57238.519342000014,190.0,0.0005492174965806327,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,105240.72846299986,105240.72846299986,105240.72846299986,105240.72846299986,111.0,0.0005492174965806327,0.0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
GET,/api/cart/add/anonymous-1002/RMC/1,1,0,29234.012886000073,29234.012886000073,29234.012886000073,29234.012886000073,190.0,0.0005492174965806327,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,105161.25527099984,105161.25527099984,105161.25527099984,105161.25527099984,111.0,0.0005492174965806327,0.0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,29551.474138999765,29551.474138999765,29551.474138999765,29551.474138999765,124.0,0.0005492174965806327,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/cart/add/anonymous-1003/UHJ/1,1,0,53120.48217900019,53120.48217900019,53120.48217900019,53120.48217900019,230.0,0.0005492174965806327,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/cart/add/anonymous-1004/RED/1,1,0,28831.592494999768,28831.592494999768,28831.592494999768,28831.592494999768,196.0,0.0005492174965806327,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/cart/add/anonymous-1004/STAN-1/1,1,0,105182.09049400002,105182.09049400002,105182.09049400002,105182.09049400002,111.0,0.0005492174965806327,0.0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
GET,/api/cart/add/anonymous-1005/UHJ/1,1,0,57238.62544199983,57238.62544199983,57238.62544199983,57238.62544199983,209.0,0.0005492174965806327,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/cart/add/anonymous-1005/Watson/1,1,0,105159.69478299985,105159.69478299985,105159.69478299985,105159.69478299985,106.0,0.0005492174965806327,0.0,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
GET,/api/cart/add/anonymous-1008/EMM/1,1,0,58502.16834499997,58502.16834499997,58502.16834499997,58502.16834499997,137.0,0.0005492174965806327,0.0,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
