Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1550,16,29000.0,128134.16933879281,2.9060720000302354,1046130.663182,2559.305806451613,0.8482558599352383,0.008756189521912138,29000,95000,152000,215000,352000,800000,880000,903000,1046000,1046000,1046000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,11.12107799997375,11.12107799997375,11.12107799997375,11.12107799997375,200.0,0.0005472618451195086,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1/Watson/1,1,0,35.64960799997152,35.64960799997152,35.64960799997152,35.64960799997152,106.0,0.0005472618451195086,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,37.425691999999344,37.425691999999344,37.425691999999344,37.425691999999344,198.0,0.0005472618451195086,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/cart/add/anonymous-10/Watson/1,1,0,47.122485999977926,47.122485999977926,47.122485999977926,47.122485999977926,106.0,0.0005472618451195086,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/cart/add/anonymous-100/EPE/1,1,0,9.779098000024078,9.779098000024078,9.779098000024078,9.779098000024078,220.0,0.0005472618451195086,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,21.214079000003494,21.214079000003494,21.214079000003494,21.214079000003494,138.0,0.0005472618451195086,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,79025.69353600006,79025.69353600006,79025.69353600006,79025.69353600006,111.0,0.0005472618451195086,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-1001/UHJ/1,1,0,94687.51908100012,94687.51908100012,94687.51908100012,94687.51908100012,191.0,0.0005472618451195086,0.0,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
GET,/api/cart/add/anonymous-1005/HPTD/1,1,0,22106.931751000047,22106.931751000047,22106.931751000047,22106.931751000047,213.0,0.0005472618451195086,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1005/SHCE/1,1,0,79013.29883300014,79013.29883300014,79013.29883300014,79013.29883300014,124.0,0.0005472618451195086,0.0,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,118.7124660000336,118.7124660000336,118.7124660000336,118.7124660000336,121.0,0.0005472618451195086,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-101/SHCE/1,1,0,20.50748599998542,20.50748599998542,20.50748599998542,20.50748599998542,213.0,0.0005472618451195086,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-1010/HPTD/1,1,0,142170.27016599991,142170.27016599991,142170.27016599991,142170.27016599991,121.0,0.0005472618451195086,0.0,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000
GET,/api/cart/add/anonymous-1011/STAN-1/1,1,0,80916.103818,80916.103818,80916.103818,80916.103818,111.0,0.0005472618451195086,0.0,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000,81000
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,22146.79301499996,22146.79301499996,22146.79301499996,22146.79301499996,182.0,0.0005472618451195086,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/cart/add/anonymous-1014/UHJ/1,1,0,54331.28257499993,54331.28257499993,54331.28257499993,54331.28257499993,138.0,0.0005472618451195086,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/api/cart/add/anonymous-102/EMM/1,1,0,10.243293000030462,10.243293000030462,10.243293000030462,10.243293000030462,215.0,0.0005472618451195086,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-102/RMC/1,1,0,37.63670899996896,37.63670899996896,37.63670899996896,37.63670899996896,108.0,0.0005472618451195086,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/cart/add/anonymous-1023/RMC/1,1,0,142023.40563400002,142023.40563400002,142023.40563400002,142023.40563400002,108.0,0.0005472618451195086,0.0,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000,142000
