Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643320433,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643320434,10,,Aggregated,0.000000,0.000000,19,25,30,45,100,180,200,200,200,200,200,69,0,19,36.64564468116281,4.446409000024687,203.66398500004834,516.7971014492754
1643320435,20,,Aggregated,0.000000,0.000000,22,36,67,88,180,320,780,1000,1200,1200,1200,151,1,22,82.15577711258666,4.446409000024687,1213.711193999984,77353.96688741722
1643320437,30,,Aggregated,35.000000,0.000000,22,33,57,86,190,560,930,1200,2600,2600,2600,190,1,22,97.51658152105465,4.446409000024687,2583.2646769999883,172584.73684210525
1643320439,40,,Aggregated,50.333333,0.333333,24,45,88,160,510,930,2000,2300,3300,3300,3300,234,1,23,170.99518461966085,4.446409000024687,3307.922226999949,268895.2136752137
1643320440,50,,Aggregated,38.600000,0.200000,22,40,78,150,330,880,2000,2600,4200,4200,4200,320,1,22,168.68811345937698,4.446409000024687,4178.979151999897,230924.203125
1643320441,60,,Aggregated,39.000000,0.166667,21,36,67,94,320,780,2000,3300,4300,4300,4300,396,1,21,159.86616506313308,4.446409000024687,4282.787832000054,223307.53787878787
1643320442,70,,Aggregated,43.857143,0.142857,20,32,56,80,290,650,2000,3300,4300,4300,4300,470,1,20,149.0766087000024,4.329907999931493,4282.787832000054,214052.0234042553
1643320443,80,,Aggregated,43.500000,0.125000,20,30,46,67,260,560,2000,3300,4700,4700,4700,543,1,20,142.84502666851006,4.329907999931493,4740.476460999957,187372.36832412524
1643320445,90,,Aggregated,47.777778,0.111111,19,30,42,60,260,560,1700,3300,6200,6200,6200,617,1,19,144.90660654295235,4.329907999931493,6188.523752000037,187734.1085899514
1643320446,100,,Aggregated,54.300000,0.100000,20,31,47,70,320,880,2200,3700,7600,7600,7600,634,1,20,172.36401457571205,4.329907999931493,7640.255836000051,213090.1829652997
1643320447,110,,Aggregated,54.700000,0.100000,24,48,80,150,460,980,2100,3700,8600,8600,8600,731,1,24,206.6223228495235,4.329907999931493,8610.63492200003,200161.6976744186
1643320448,120,,Aggregated,54.700000,0.100000,27,57,88,150,430,980,2100,4200,8600,8600,8600,761,1,27,208.41431977266987,4.329907999931493,8610.63492200003,216253.83048620238
1643320449,130,,Aggregated,46.900000,0.000000,27,58,95,150,510,1100,2200,4300,9800,9800,9800,771,1,27,237.34365571206447,4.329907999931493,9845.066363999991,239893.2477302205
1643320450,140,,Aggregated,56.800000,0.000000,57,120,160,190,890,1500,2400,4200,9800,10000,10000,1007,1,57,304.6748668589894,4.329907999931493,9999.191758000052,187830.91062562066
1643320452,150,,Aggregated,57.700000,0.000000,77,150,230,290,860,1500,2300,4200,10000,11000,11000,1111,1,77,320.58953224842725,4.329907999931493,10572.948193000002,193033.78307830784
1643320453,160,,Aggregated,69.000000,0.000000,100,160,240,320,890,1500,2300,4300,12000,12000,12000,1295,1,100.0,343.12127679768463,4.329907999931493,12413.091212999916,172694.4115830116
1643320454,170,,Aggregated,67.800000,0.000000,110,180,280,380,910,1400,2300,4200,12000,13000,13000,1439,1,110.0,359.1310175038236,4.329907999931493,13476.122685000064,160745.05281445448
1643320456,180,,Aggregated,78.000000,0.000000,120,180,320,420,910,1500,2300,4300,13000,14000,14000,1481,1,120.0,378.88016450439017,4.329907999931493,14213.288361999957,169685.42403781228
1643320457,190,,Aggregated,84.400000,0.000000,120,190,330,460,1100,1700,2900,4400,13000,14000,14000,1508,1,120.0,416.66920906697726,4.329907999931493,14213.288361999957,188971.4900530504
1643320458,200,,Aggregated,86.100000,0.000000,130,240,400,540,1300,2400,3400,4500,16000,17000,17000,1718,1,130.0,504.10953548253883,4.329907999931493,16856.219239999973,168317.98079161817
1643320460,210,,Aggregated,75.100000,0.000000,150,220,340,480,1100,2200,2900,4300,16000,18000,18000,2024,1,150.0,475.98490962796603,4.329907999931493,17671.15478700009,142931.53804347827
1643320461,220,,Aggregated,94.700000,0.000000,150,230,340,460,1100,2200,2900,4200,17000,18000,18000,2250,1,150.0,464.30162212711207,4.329907999931493,18219.121853999924,128607.94355555555
1643320462,230,,Aggregated,111.900000,0.000000,140,210,320,420,1000,2100,2900,4200,18000,18000,18000,2434,1,140.0,447.8525089971248,3.587436999964666,18313.854921000027,119964.66105176664
1643320463,240,,Aggregated,116.400000,0.000000,140,200,310,390,1000,2100,2900,4300,18000,19000,19000,2546,1,140.0,446.2370172486262,3.587436999964666,18921.669761999965,114706.73291437549
1643320464,250,,Aggregated,129.500000,0.000000,140,190,290,380,960,2100,2900,4300,18000,19000,19000,2626,1,130.0,441.62764977227806,3.587436999964666,18921.669761999965,111225.16070068545
1643320465,260,,Aggregated,125.800000,0.000000,130,190,280,360,930,2000,2900,4400,18000,19000,19000,2726,1,130.0,439.7982099526788,3.391234999980952,18921.669761999965,107160.96368305209
1643320466,270,,Aggregated,125.100000,0.000000,130,180,260,340,900,1800,2900,4400,19000,19000,19000,2851,1,130.0,427.9706082455287,3.1803319999426094,19446.75142199992,102482.01858996843
1643320467,280,,Aggregated,125.000000,0.000000,120,170,250,330,840,1800,2900,4500,19000,20000,20000,2992,3,120.0,422.0103900935834,3.1803319999426094,20153.131648,97672.94284759359
1643320468,290,,Aggregated,131.600000,0.000000,110,160,230,310,790,1600,2900,4500,19000,21000,21000,3195,5,110.0,408.51399042034456,2.792527999986305,20804.38096099999,91497.22159624413
1643320469,300,,Aggregated,142.400000,0.100000,99,150,220,290,760,1500,2900,4500,20000,21000,21000,3291,6,99,403.00868116499544,2.792527999986305,20804.38096099999,88839.77909450015
