Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643320438,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643320439,10,,Aggregated,0.000000,0.000000,13,31,57,83,99,170,570,570,570,570,570,33,0,13,50.80184915152069,4.600223000011283,573.280791000002,66117.12121212122
1643320440,20,,Aggregated,0.000000,0.000000,19,31,57,83,120,420,570,570,570,570,570,39,0,19,56.97180866666958,4.600223000011283,573.280791000002,55963.53846153846
1643320442,30,,Aggregated,0.000000,0.000000,13,22,31,36,99,170,570,2200,2200,2200,2200,65,0,13,73.58635269230788,4.02581899999177,2152.514172999986,469496.2153846154
1643320443,40,,Aggregated,21.666667,0.000000,12,20,27,31,83,210,1300,2200,2300,2300,2300,170,0,12,73.57073844706095,4.02581899999177,2291.685413000039,230486.65294117646
1643320444,50,,Aggregated,21.666667,0.000000,14,26,35,43,170,420,1400,1600,2300,2300,2300,201,0,14,99.67710835821126,4.02581899999177,2291.685413000039,290393.3333333333
1643320445,60,,Aggregated,33.000000,0.000000,26,32,47,60,190,490,1400,1600,2500,2500,2500,315,0,26,106.71084860952699,4.02581899999177,2512.171934000037,223003.20317460317
1643320446,70,,Aggregated,33.500000,0.000000,29,41,57,87,180,420,1100,1500,2500,2500,2500,437,0,29,96.97027275057363,4.02581899999177,2512.171934000037,187343.95881006864
1643320447,80,,Aggregated,33.500000,0.000000,31,48,72,100,290,420,1300,1800,3700,3700,3700,485,0,31,116.09779855464087,4.02581899999177,3658.2208799999876,201939.05360824743
1643320448,90,,Aggregated,53.625000,0.000000,31,49,87,110,380,510,1600,2500,5100,5100,5100,495,0,31,148.83023087272875,4.02581899999177,5092.114078000009,255064.9818181818
1643320449,100,,Aggregated,53.888889,0.000000,39,50,89,140,420,1100,1800,2300,6000,6000,6000,697,0,39,183.33666478335826,4.02581899999177,5992.329963999964,191904.4175035868
1643320450,110,,Aggregated,49.000000,0.000000,41,64,120,190,420,890,1800,2200,6000,6000,6000,775,0,41,188.20216747741983,4.02581899999177,5992.329963999964,199460.00129032257
1643320451,120,,Aggregated,48.200000,0.000000,43,71,160,220,510,1100,1800,2200,6900,6900,6900,817,0,43,209.39512794124855,4.02581899999177,6904.708366999956,210529.59975520195
1643320453,130,,Aggregated,67.500000,0.000000,55,82,140,200,490,1000,1600,2100,6900,8000,8000,1026,0,53,205.54181949707618,4.02581899999177,8012.235101999977,180582.01169590643
1643320454,140,,Aggregated,75.200000,0.000000,60,98,170,240,510,990,1600,2100,8000,9100,9100,1139,0,60,221.61435194732218,4.02581899999177,9070.927715999971,172568.978928885
1643320455,150,,Aggregated,86.100000,0.000000,61,100,190,290,530,1000,1600,2300,9100,10000,10000,1167,0,61,239.54324484490132,4.02581899999177,10197.747675000017,187220.90745501284
1643320456,160,,Aggregated,91.600000,0.000000,70,110,210,310,640,1000,1800,2300,10000,11000,11000,1335,0,70,263.96770236254685,4.02581899999177,11101.510023000003,175500.89213483146
