Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1252,18,29000.0,145223.73144412137,2.723494000008486,1515946.702115,2548.821086261981,0.6840824216588187,0.009835050790621993,29000,69000,110000,281000,500000,778000,1264000,1444000,1515000,1516000,1516000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,19.004555999970307,19.004555999970307,19.004555999970307,19.004555999970307,129.0,0.0005463917105901108,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,11.763672999961727,11.763672999961727,11.763672999961727,11.763672999961727,179.0,0.0005463917105901108,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,10.320877000026485,10.320877000026485,10.320877000026485,10.320877000026485,219.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-10/RED/1,1,0,11.517073999982586,11.517073999982586,11.517073999982586,11.517073999982586,132.0,0.0005463917105901108,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-100/RED/1,1,0,18.72546100003092,18.72546100003092,18.72546100003092,18.72546100003092,132.0,0.0005463917105901108,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-100/Watson/1,1,0,38.73711899996124,38.73711899996124,38.73711899996124,38.73711899996124,202.0,0.0005463917105901108,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/cart/add/anonymous-1004/SHCE/1,1,0,1045.798277999893,1045.798277999893,1045.798277999893,1045.798277999893,124.0,0.0005463917105901108,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/cart/add/anonymous-1004/Watson/1,1,0,23772.255977999976,23772.255977999976,23772.255977999976,23772.255977999976,198.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1006/RMC/1,1,0,25073.307444999955,25073.307444999955,25073.307444999955,25073.307444999955,202.0,0.0005463917105901108,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1006/SHCE/1,1,0,1035.392012000102,1035.392012000102,1035.392012000102,1035.392012000102,124.0,0.0005463917105901108,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/cart/add/anonymous-101/EPE/1,1,0,12.802072999988923,12.802072999988923,12.802072999988923,12.802072999988923,201.0,0.0005463917105901108,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-101/RED/1,1,0,28.30154099996207,28.30154099996207,28.30154099996207,28.30154099996207,132.0,0.0005463917105901108,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-1011/Watson/1,1,0,23752.470868999808,23752.470868999808,23752.470868999808,23752.470868999808,106.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1012/EMM/1,1,0,26141.60346999961,26141.60346999961,26141.60346999961,26141.60346999961,137.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1012/UHJ/1,1,0,1349.9577740003588,1349.9577740003588,1349.9577740003588,1349.9577740003588,214.0,0.0005463917105901108,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1013/RMC/1,1,0,23862.34972300008,23862.34972300008,23862.34972300008,23862.34972300008,216.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1013/UHJ/1,1,0,26046.142834999955,26046.142834999955,26046.142834999955,26046.142834999955,138.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1014/STAN-1/1,1,0,26046.19203600032,26046.19203600032,26046.19203600032,26046.19203600032,111.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1016/HPTD/1,1,0,23879.31605699987,23879.31605699987,23879.31605699987,23879.31605699987,219.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1016/RED/1,1,0,26021.97652299992,26021.97652299992,26021.97652299992,26021.97652299992,132.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1017/RED/1,1,0,23851.64116499982,23851.64116499982,23851.64116499982,23851.64116499982,196.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1017/STAN-1/1,1,0,26024.014815999635,26024.014815999635,26024.014815999635,26024.014815999635,111.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1018/RED/1,1,0,23265.75575800007,23265.75575800007,23265.75575800007,23265.75575800007,209.0,0.0005463917105901108,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1018/UHJ/1,1,0,26023.01751999994,26023.01751999994,26023.01751999994,26023.01751999994,138.0,0.0005463917105901108,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1019/EPE/1,1,0,49038.98339499983,49038.98339499983,49038.98339499983,49038.98339499983,129.0,0.0005463917105901108,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/cart/add/anonymous-102/EMM/1,1,0,11.58187599997973,11.58187599997973,11.58187599997973,11.58187599997973,137.0,0.0005463917105901108,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-102/EPE/1,1,0,26.636944000017593,26.636944000017593,26.636944000017593,26.636944000017593,205.0,0.0005463917105901108,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/cart/add/anonymous-1022/RMC/1,1,0,27415.01413900005,27415.01413900005,27415.01413900005,27415.01413900005,108.0,0.0005463917105901108,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1022/Watson/1,1,0,23761.243322000155,23761.243322000155,23761.243322000155,23761.243322000155,184.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-103/EPE/1,1,0,21.25855600002069,21.25855600002069,21.25855600002069,21.25855600002069,220.0,0.0005463917105901108,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-103/UHJ/1,1,0,21.28095599999824,21.28095599999824,21.28095599999824,21.28095599999824,138.0,0.0005463917105901108,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-1037/RED/1,1,0,25093.717463999837,25093.717463999837,25093.717463999837,25093.717463999837,132.0,0.0005463917105901108,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1039/STAN-1/1,1,0,25102.943926999615,25102.943926999615,25102.943926999615,25102.943926999615,111.0,0.0005463917105901108,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-104/RED/1,1,0,13.065971999992598,13.065971999992598,13.065971999992598,13.065971999992598,202.0,0.0005463917105901108,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-104/Watson/1,1,0,11.354777000008198,11.354777000008198,11.354777000008198,11.354777000008198,106.0,0.0005463917105901108,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1040/UHJ/1,1,0,25104.242823000277,25104.242823000277,25104.242823000277,25104.242823000277,138.0,0.0005463917105901108,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1042/STAN-1/1,1,0,1357.194545999846,1357.194545999846,1357.194545999846,1357.194545999846,111.0,0.0005463917105901108,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1046/RMC/1,1,0,1390.8805130004112,1390.8805130004112,1390.8805130004112,1390.8805130004112,108.0,0.0005463917105901108,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1047/HPTD/1,1,0,1378.9413599997715,1378.9413599997715,1378.9413599997715,1378.9413599997715,121.0,0.0005463917105901108,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1048/UHJ/1,1,0,23487.04746200019,23487.04746200019,23487.04746200019,23487.04746200019,138.0,0.0005463917105901108,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1049/RED/1,1,0,23936.899653999717,23936.899653999717,23936.899653999717,23936.899653999717,132.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-105/EPE/1,1,0,15.656466999985241,15.656466999985241,15.656466999985241,15.656466999985241,179.0,0.0005463917105901108,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-105/STAN-1/1,1,0,17.72506300000032,17.72506300000032,17.72506300000032,17.72506300000032,111.0,0.0005463917105901108,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/cart/add/anonymous-1050/Watson/1,1,0,1407.6397469998483,1407.6397469998483,1407.6397469998483,1407.6397469998483,106.0,0.0005463917105901108,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart/add/anonymous-1051/EMM/1,1,0,23809.73183399965,23809.73183399965,23809.73183399965,23809.73183399965,137.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1052/UHJ/1,1,0,23810.145832000217,23810.145832000217,23810.145832000217,23810.145832000217,138.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1053/EMM/1,1,0,23799.366473999726,23799.366473999726,23799.366473999726,23799.366473999726,137.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1054/RMC/1,1,0,23275.385019999703,23275.385019999703,23275.385019999703,23275.385019999703,108.0,0.0005463917105901108,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-1055/RMC/1,1,0,23937.34355200013,23937.34355200013,23937.34355200013,23937.34355200013,108.0,0.0005463917105901108,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1056/UHJ/1,1,0,24726.689069999793,24726.689069999793,24726.689069999793,24726.689069999793,138.0,0.0005463917105901108,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-106/HPTD/1,1,0,10.361278000004859,10.361278000004859,10.361278000004859,10.361278000004859,121.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-106/SHCE/1,1,0,9.704880000015237,9.704880000015237,9.704880000015237,9.704880000015237,213.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-107/STAN-1/1,1,0,21.247956000024715,21.247956000024715,21.247956000024715,21.247956000024715,111.0,0.0005463917105901108,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-107/Watson/1,1,0,11.922575000028246,11.922575000028246,11.922575000028246,11.922575000028246,182.0,0.0005463917105901108,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-108/RMC/1,1,0,12.212873999999374,12.212873999999374,12.212873999999374,12.212873999999374,108.0,0.0005463917105901108,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/cart/add/anonymous-108/STAN-1/1,1,0,10.452877999966859,10.452877999966859,10.452877999966859,10.452877999966859,190.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-109/EPE/1,1,0,10.076878999996097,10.076878999996097,10.076878999996097,10.076878999996097,129.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-109/RMC/1,1,0,13.002072000006137,13.002072000006137,13.002072000006137,13.002072000006137,207.0,0.0005463917105901108,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-11/STAN-1/1,1,0,12.72907100002385,12.72907100002385,12.72907100002385,12.72907100002385,111.0,0.0005463917105901108,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-11/UHJ/1,1,0,9.993777999966369,9.993777999966369,9.993777999966369,9.993777999966369,191.0,0.0005463917105901108,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/add/anonymous-110/EMM/1,1,0,17.10726499999282,17.10726499999282,17.10726499999282,17.10726499999282,221.0,0.0005463917105901108,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-110/RED/1,1,0,27.77884299996458,27.77884299996458,27.77884299996458,27.77884299996458,132.0,0.0005463917105901108,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/cart/add/anonymous-111/HPTD/1,1,0,16.779564999978902,16.779564999978902,16.779564999978902,16.779564999978902,193.0,0.0005463917105901108,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-111/Watson/1,1,0,28.79203999998481,28.79203999998481,28.79203999998481,28.79203999998481,106.0,0.0005463917105901108,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-112/HPTD/1,1,0,26.07984599995916,26.07984599995916,26.07984599995916,26.07984599995916,121.0,0.0005463917105901108,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/cart/add/anonymous-112/UHJ/1,1,0,30.281636999973216,30.281636999973216,30.281636999973216,30.281636999973216,226.0,0.0005463917105901108,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/cart/add/anonymous-113/Watson/1,2,0,17.172463999997944,17.42836349998811,17.172463999997944,17.684262999978273,105.0,0.0010927834211802215,0.0,18,18,18,18,18,18,18,18,18,18,18
