Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-114,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-114,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,6
POST,/api/payment/pay/anonymous-133,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-133,1
POST,/api/payment/pay/anonymous-64,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-64,1
GET,/api/cart/add/anonymous-331/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-413/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-334,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-304,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-304,1
POST,/api/payment/pay/anonymous-296,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-296,1
POST,/api/payment/pay/anonymous-43,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-43,1
POST,/api/payment/pay/anonymous-159,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-159,1
POST,/api/payment/pay/anonymous-246,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-246,1
GET,/api/cart/update/anonymous-604/STAN-1/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-143,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-143,1
POST,/api/payment/pay/anonymous-293,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-293,1
POST,/api/shipping/confirm/anonymous-320,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-47,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-47,1
POST,/api/payment/pay/anonymous-295,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-295,1
POST,/api/payment/pay/anonymous-111,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-111,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,5
PUT,/api/ratings/api/rate/EMM/4,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-265,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-265,1
POST,/api/payment/pay/anonymous-254,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-254,1
GET,/api/shipping/cities/ru,500 Server Error:  for url: http://20.117.158.100/api/shipping/cities/ru,2
POST,/api/payment/pay/anonymous-101,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-101,1
POST,/api/payment/pay/anonymous-65,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-65,1
GET,/api/cart/update/anonymous-1075/UHJ/2,Remote end closed connection without response,1
GET,/api/shipping/calc/3950173,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-144,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-144,1
POST,/api/shipping/confirm/anonymous-935,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-52,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-52,1
GET,/,Remote end closed connection without response,20
POST,/api/payment/pay/anonymous-153,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-153,1
POST,/api/payment/pay/anonymous-32,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-32,1
POST,/api/payment/pay/anonymous-109,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-109,1
GET,/api/catalogue/product/RED,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-121,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-121,1
POST,/api/payment/pay/anonymous-117,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-117,1
POST,/api/payment/pay/anonymous-273,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-273,1
POST,/api/payment/pay/anonymous-113,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-113,1
GET,/api/cart/cart/anonymous-358,Remote end closed connection without response,1
GET,/api/shipping/cities/us,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",1
GET,/api/cart/add/anonymous-1143/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-234,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-234,1
GET,/api/shipping/cities/in,"('Connection broken: IncompleteRead(233 bytes read, 10007 more expected)', IncompleteRead(233 bytes read, 10007 more expected))",1
GET,/api/cart/add/anonymous-1138/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-167,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-167,1
GET,/api/cart/add/anonymous-635/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-108,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-108,1
POST,/api/payment/pay/anonymous-162,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-162,1
POST,/api/payment/pay/anonymous-68,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-68,1
PUT,/api/ratings/api/rate/RED/5,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-196,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-196,1
POST,/api/payment/pay/anonymous-155,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-155,1
GET,/api/shipping/cities/us,Remote end closed connection without response,1
GET,/api/user/uniqueid,Remote end closed connection without response,20
POST,/api/payment/pay/anonymous-102,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-102,1
GET,/api/cart/add/anonymous-736/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-171,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-171,1
POST,/api/payment/pay/anonymous-161,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-161,1
GET,/api/cart/add/anonymous-421/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-57,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-57,1
POST,/api/payment/pay/anonymous-98,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-98,1
POST,/api/payment/pay/anonymous-149,429 Client Error: TOO MANY REQUESTS for url: http://20.117.158.100/api/payment/pay/anonymous-149,1
