Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1335,20,45000.0,134670.34975228398,6.958397000005334,1410516.916843,2547.258426966292,0.7343789723409997,0.011001932169902617,45000,77000,118000,222000,349000,640000,1173000,1225000,1411000,1411000,1411000
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,10.927493999986382,10.927493999986382,10.927493999986382,10.927493999986382,193.0,0.0005500966084951308,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-1/Watson/1,1,0,23.8322860000153,23.8322860000153,23.8322860000153,23.8322860000153,106.0,0.0005500966084951308,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-10/EMM/1,1,0,32.72658200000933,32.72658200000933,32.72658200000933,32.72658200000933,137.0,0.0005500966084951308,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/cart/add/anonymous-10/RED/1,1,0,11.324994000005972,11.324994000005972,11.324994000005972,11.324994000005972,221.0,0.0005500966084951308,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-100/EPE/1,1,0,289.5331199999873,289.5331199999873,289.5331199999873,289.5331199999873,129.0,0.0005500966084951308,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/cart/add/anonymous-100/RED/1,1,0,314.7346279999965,314.7346279999965,314.7346279999965,314.7346279999965,201.0,0.0005500966084951308,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/api/cart/add/anonymous-1002/STAN-1/1,1,0,23605.266847999927,23605.266847999927,23605.266847999927,23605.266847999927,111.0,0.0005500966084951308,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1003/EMM/1,1,0,3418.252627999891,3418.252627999891,3418.252627999891,3418.252627999891,229.0,0.0005500966084951308,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/cart/add/anonymous-1003/SHCE/1,1,0,23140.889637000102,23140.889637000102,23140.889637000102,23140.889637000102,124.0,0.0005500966084951308,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,235.6852269999763,235.6852269999763,235.6852269999763,235.6852269999763,215.0,0.0005500966084951308,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/cart/add/anonymous-101/RMC/1,1,0,148.49411300002657,148.49411300002657,148.49411300002657,148.49411300002657,108.0,0.0005500966084951308,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-1010/EMM/1,2,0,1400.0,13064.67245749991,1360.4440989997784,24768.90081600004,137.0,0.0011001932169902617,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/cart/add/anonymous-1011/EMM/1,1,0,261646.1824349999,261646.1824349999,261646.1824349999,261646.1824349999,215.0,0.0005500966084951308,0.0,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000
GET,/api/cart/add/anonymous-1011/RMC/1,1,0,1814.8880740000095,1814.8880740000095,1814.8880740000095,1814.8880740000095,108.0,0.0005500966084951308,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/cart/add/anonymous-1012/EMM/1,2,0,3100.0,13299.13530600004,3070.64900499995,23527.62160700013,137.0,0.0011001932169902617,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/cart/add/anonymous-1013/HPTD/1,1,0,23531.956388000028,23531.956388000028,23531.956388000028,23531.956388000028,121.0,0.0005500966084951308,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
