Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643320471,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643320472,10,,Aggregated,0.000000,0.000000,14,25,34,57,85,170,180,180,180,180,180,43,0,14,34.21407300000278,4.528397000001405,176.79349600001615,496.3720930232558
1643320473,20,,Aggregated,0.000000,0.000000,28,37,57,85,190,260,750,860,980,980,980,150,0,28,75.11344762000209,4.528397000001405,976.7999400000349,61394.84
1643320474,30,,Aggregated,43.000000,0.000000,29,48,78,120,260,670,860,1100,1300,1300,1300,198,0,29,108.32440048990102,4.528397000001405,1335.6420970000045,135976.9393939394
1643320475,40,,Aggregated,74.500000,0.000000,29,48,80,120,250,540,860,1300,2300,2300,2300,283,0,29,109.98929558303995,4.312898000023324,2285.422442999959,138874.56537102474
1643320476,50,,Aggregated,63.333333,0.000000,28,38,71,92,250,540,850,1300,3300,3300,3300,351,0,28,107.41338411681062,3.7222980000137795,3308.882873000016,122206.20797720797
1643320478,60,,Aggregated,69.750000,0.000000,29,40,60,89,230,410,850,1300,3300,3300,3300,440,0,29,103.62870892045574,3.7222980000137795,3308.882873000016,168881.47954545455
1643320479,70,,Aggregated,70.333333,0.000000,34,51,97,140,270,550,1500,2300,5400,5400,5400,516,0,34,150.4264791647293,3.7222980000137795,5440.848117999963,179017.42248062015
1643320482,80,,Aggregated,62.857143,0.000000,38,51,82,120,260,540,1500,2600,6700,6700,6700,667,0,38,158.80384121739178,3.7222980000137795,6710.381866000034,178993.1724137931
1643320483,90,,Aggregated,66.700000,0.000000,39,57,110,150,380,980,2400,3300,8100,8100,8100,701,0,39,232.34539646647679,3.7222980000137795,8083.276280999997,199421.00285306704
1643320484,100,,Aggregated,62.400000,0.000000,47,81,180,250,540,1300,2400,3800,9200,9200,9200,797,0,47,260.71127806022656,3.7222980000137795,9186.048693999965,188816.65495608532
1643320486,110,,Aggregated,54.100000,0.000000,53,86,140,220,430,980,2300,3300,9900,9900,9900,932,0,52,249.83176963519406,3.7222980000137795,9872.741115999987,181094.4549356223
1643320487,120,,Aggregated,60.500000,0.000000,59,110,190,250,540,1100,2300,3800,11000,12000,12000,1034,0,59,285.10137613152904,3.7222980000137795,11898.894960000007,183881.081237911
1643320488,130,,Aggregated,60.000000,0.000000,66,130,230,300,770,1300,2300,5400,12000,13000,13000,1085,0,66,322.3434532986183,3.7222980000137795,13054.339257000038,189682.56405529953
1643320489,140,,Aggregated,60.300000,0.000000,67,140,250,320,810,1300,2500,5400,13000,14000,14000,1109,0,67,342.9403529729495,3.7222980000137795,13978.557052999975,201149.56627592427
1643320490,150,,Aggregated,60.500000,0.000000,85,180,280,380,840,1400,2300,5400,14000,15000,15000,1285,0,85,366.37495576420304,3.7222980000137795,14511.289200000021,179796.62101167315
1643320492,160,,Aggregated,60.000000,0.000000,97,180,280,380,810,1300,2300,5400,15000,15000,15000,1393,0,97,367.83434208758143,3.7222980000137795,14657.637041999977,181556.03876525484
1643320493,170,,Aggregated,61.800000,0.000000,120,200,300,410,920,1400,2300,5400,16000,16000,16000,1552,0,120.0,393.65153424677936,3.7222980000137795,16338.484653999956,166538.10115979382
1643320496,180,,Aggregated,76.200000,0.000000,120,220,360,500,970,1400,2300,5400,16000,18000,18000,1608,0,120.0,422.9472021766181,3.7222980000137795,17805.87176099999,193948.08457711444
1643320497,190,,Aggregated,72.100000,0.000000,140,260,450,560,1000,2200,2800,6300,18000,18000,18000,1717,0,140.0,511.08501156785223,3.7222980000137795,18463.90910299999,188096.83401281305
1643320499,200,,Aggregated,67.600000,0.000000,150,290,460,560,1100,2200,3300,6300,18000,19000,19000,1849,0,150.0,536.5840866787464,3.7222980000137795,18822.757594999985,180026.0
