Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-50,1
GET,/api/cart/update/anonymous-827/EPE/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-56,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-56,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,6
POST,/api/payment/pay/anonymous-249,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-249,1
POST,/api/payment/pay/anonymous-57,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-57,1
POST,/api/payment/pay/anonymous-166,504 Server Error: Gateway Time-out for url: http://20.117.157.51/api/payment/pay/anonymous-166,1
POST,/api/payment/pay/anonymous-163,504 Server Error: Gateway Time-out for url: http://20.117.157.51/api/payment/pay/anonymous-163,1
POST,/api/payment/pay/anonymous-160,504 Server Error: Gateway Time-out for url: http://20.117.157.51/api/payment/pay/anonymous-160,1
POST,/api/payment/pay/anonymous-74,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-74,1
POST,/api/payment/pay/anonymous-124,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-124,1
POST,/api/payment/pay/anonymous-96,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-96,1
POST,/api/payment/pay/anonymous-168,504 Server Error: Gateway Time-out for url: http://20.117.157.51/api/payment/pay/anonymous-168,1
POST,/api/payment/pay/anonymous-234,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-234,1
POST,/api/payment/pay/anonymous-555,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-90,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-90,1
POST,/api/payment/pay/anonymous-83,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-83,1
POST,/api/payment/pay/anonymous-171,504 Server Error: Gateway Time-out for url: http://20.117.157.51/api/payment/pay/anonymous-171,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,5
GET,/api/cart/add/anonymous-1242/HPTD/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-108,429 Client Error: TOO MANY REQUESTS for url: http://20.117.157.51/api/payment/pay/anonymous-108,1
