Method,Name,Error,Occurrences
POST,/api/payment/pay/anonymous-66,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-66,1
POST,/api/payment/pay/anonymous-113,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-113,1
POST,/api/payment/pay/anonymous-157,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-157,1
GET,/api/cart/add/anonymous-458/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-28,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-28,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-152,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-152,1
POST,/api/payment/pay/anonymous-75,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-75,1
POST,/api/payment/pay/anonymous-191,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-110,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-110,1
POST,/api/payment/pay/anonymous-174,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-174,1
POST,/api/payment/pay/anonymous-195,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-195,1
POST,/api/payment/pay/anonymous-50,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-50,1
POST,/api/payment/pay/anonymous-120,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-120,1
POST,/api/payment/pay/anonymous-97,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-97,1
POST,/api/payment/pay/anonymous-64,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-64,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-194,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-194,1
GET,/api/cart/add/anonymous-640/RMC/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-192,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-192,1
PUT,/api/ratings/api/rate/EMM/4,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-261,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-100,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-100,1
POST,/api/payment/pay/anonymous-163,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.140/api/payment/pay/anonymous-163,1
