Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1336,27,44000.0,124896.44237420805,11.302744000033726,1475039.8011679999,2533.738023952096,0.7233965624540765,0.014619541307080887,44000,75000,124000,216000,285000,536000,1036000,1193000,1475000,1475000,1475000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,14.258455999993203,14.258455999993203,14.258455999993203,14.258455999993203,179.0,0.0005414644928548477,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,28.724313999987316,28.724313999987316,28.724313999987316,28.724313999987316,111.0,0.0005414644928548477,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-10/HPTD/1,1,0,124.80729199995722,124.80729199995722,124.80729199995722,124.80729199995722,193.0,0.0005414644928548477,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-10/Watson/1,1,0,122.17378100001497,122.17378100001497,122.17378100001497,122.17378100001497,106.0,0.0005414644928548477,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-100/RMC/1,1,0,707.2384339999758,707.2384339999758,707.2384339999758,707.2384339999758,190.0,0.0005414644928548477,0.0,710,710,710,710,710,710,710,710,710,710,710
GET,/api/cart/add/anonymous-100/STAN-1/1,1,0,575.870727999984,575.870727999984,575.870727999984,575.870727999984,111.0,0.0005414644928548477,0.0,580,580,580,580,580,580,580,580,580,580,580
GET,/api/cart/add/anonymous-1007/EMM/1,1,0,149320.74887800013,149320.74887800013,149320.74887800013,149320.74887800013,137.0,0.0005414644928548477,0.0,149000,149000,149000,149000,149000,149000,149000,149000,149000,149000,149000
GET,/api/cart/add/anonymous-1007/Watson/1,1,0,26603.882185999966,26603.882185999966,26603.882185999966,26603.882185999966,206.0,0.0005414644928548477,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-101/EMM/1,1,0,482.8755679999972,482.8755679999972,482.8755679999972,482.8755679999972,137.0,0.0005414644928548477,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,480.94795900004783,480.94795900004783,480.94795900004783,480.94795900004783,223.0,0.0005414644928548477,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/cart/add/anonymous-1010/EPE/1,1,0,103371.68413900008,103371.68413900008,103371.68413900008,103371.68413900008,129.0,0.0005414644928548477,0.0,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
GET,/api/cart/add/anonymous-1010/UHJ/1,1,0,26455.296497999825,26455.296497999825,26455.296497999825,26455.296497999825,220.0,0.0005414644928548477,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/cart/add/anonymous-1011/SHCE/1,1,0,26579.165712000075,26579.165712000075,26579.165712000075,26579.165712000075,230.0,0.0005414644928548477,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/cart/add/anonymous-1011/UHJ/1,1,0,103370.44442799993,103370.44442799993,103370.44442799993,103370.44442799993,138.0,0.0005414644928548477,0.0,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
GET,/api/cart/add/anonymous-1012/EPE/1,1,0,102967.27461500018,102967.27461500018,102967.27461500018,102967.27461500018,129.0,0.0005414644928548477,0.0,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
GET,/api/cart/add/anonymous-1012/SHCE/1,1,0,53126.99892099999,53126.99892099999,53126.99892099999,53126.99892099999,222.0,0.0005414644928548477,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
