Method,Name,Error,Occurrences
PUT,/api/ratings/api/rate/SHCE/1,Remote end closed connection without response,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-149,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-149,1
POST,/api/shipping/confirm/anonymous-571,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-642,404 Client Error: Not Found for url: http://20.108.242.129/api/cart/cart/anonymous-642,1
GET,/api/cart/cart/anonymous-925,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-31,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-31,1
GET,/api/shipping/calc/3914539,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-183,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-183,1
GET,/api/cart/cart/anonymous-365,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-712/UHJ/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-165,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-165,1
GET,/api/cart/cart/anonymous-464,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-117,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-117,1
POST,/api/payment/pay/anonymous-80,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-80,1
GET,/api/cart/add/anonymous-1201/RED/1,Remote end closed connection without response,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,8
POST,/api/shipping/confirm/anonymous-271,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-206,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-206,1
GET,/api/cart/add/anonymous-640/RED/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-61,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-61,1
POST,/api/payment/pay/anonymous-30,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-30,1
POST,/api/payment/pay/anonymous-209,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-209,1
POST,/api/payment/pay/anonymous-96,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-96,1
POST,/api/payment/pay/anonymous-133,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-133,1
POST,/api/payment/pay/anonymous-112,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-112,1
PUT,/api/ratings/api/rate/EPE/2,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-178,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-178,1
POST,/api/payment/pay/anonymous-122,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-122,1
POST,/api/payment/pay/anonymous-172,429 Client Error: TOO MANY REQUESTS for url: http://20.108.242.129/api/payment/pay/anonymous-172,1
PUT,/api/ratings/api/rate/HPTD/4,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-629/HPTD/1,Remote end closed connection without response,1
