Method,Name,Error,Occurrences
GET,/api/shipping/calc/4563526,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-143,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-143,1
POST,/api/payment/pay/anonymous-42,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-42,1
POST,/api/payment/pay/anonymous-67,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-67,1
GET,/api/cart/add/anonymous-324/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-129,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-129,1
GET,/api/catalogue/product/Watson,Remote end closed connection without response,3
POST,/api/payment/pay/anonymous-141,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-141,1
GET,/api/cart/add/anonymous-945/SHCE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-45,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-45,1
POST,/api/payment/pay/anonymous-138,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-138,1
POST,/api/payment/pay/anonymous-144,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-144,1
GET,/api/cart/add/anonymous-1169/Watson/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-77,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-77,1
GET,/api/cart/cart/anonymous-403,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-157,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-157,1
POST,/api/payment/pay/anonymous-288,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-288,1
POST,/api/payment/pay/anonymous-350,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-92,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-92,1
GET,/api/shipping/calc/4558551,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-105,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-105,1
POST,/api/payment/pay/anonymous-155,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-155,1
GET,/api/cart/add/anonymous-840/STAN-1/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-63,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-63,1
GET,/api/cart/add/anonymous-804/EPE/1,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-278,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-278,1
GET,/api/cart/cart/anonymous-525,Remote end closed connection without response,1
POST,/api/payment/pay/anonymous-36,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-36,1
GET,/api/catalogue/product/SHCE,Remote end closed connection without response,2
POST,/api/payment/pay/anonymous-98,429 Client Error: TOO MANY REQUESTS for url: http://20.108.247.86/api/payment/pay/anonymous-98,1
GET,/api/cart/cart/anonymous-884,Remote end closed connection without response,1
