Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1419,13,43000.0,120309.74443326783,2.9774189999898226,1362428.1430729998,2562.30866807611,0.7675986577821721,0.007032263954311654,43000,69000,104000,190000,295000,539000,1027000,1162000,1362000,1362000,1362000
GET,/api/cart/add/anonymous-1/EPE/1,1,0,29.477689000032115,29.477689000032115,29.477689000032115,29.477689000032115,129.0,0.0005409433811008965,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/cart/add/anonymous-1/STAN-1/1,1,0,17.81941399997322,17.81941399997322,17.81941399997322,17.81941399997322,179.0,0.0005409433811008965,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,10.719168999969497,10.719168999969497,10.719168999969497,10.719168999969497,111.0,0.0005409433811008965,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-10/Watson/1,1,0,10.883869000053892,10.883869000053892,10.883869000053892,10.883869000053892,182.0,0.0005409433811008965,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/add/anonymous-100/HPTD/1,1,0,4190.573004999977,4190.573004999977,4190.573004999977,4190.573004999977,121.0,0.0005409433811008965,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/cart/add/anonymous-100/Watson/1,1,0,213.0531939999969,213.0531939999969,213.0531939999969,213.0531939999969,193.0,0.0005409433811008965,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/cart/add/anonymous-1001/STAN-1/1,1,0,20969.837819000077,20969.837819000077,20969.837819000077,20969.837819000077,111.0,0.0005409433811008965,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1001/UHJ/1,1,0,1341.753560999905,1341.753560999905,1341.753560999905,1341.753560999905,191.0,0.0005409433811008965,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1003/EPE/1,1,0,20962.021739000193,20962.021739000193,20962.021739000193,20962.021739000193,129.0,0.0005409433811008965,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/cart/add/anonymous-1003/STAN-1/1,1,0,1339.2898380000133,1339.2898380000133,1339.2898380000133,1339.2898380000133,179.0,0.0005409433811008965,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart/add/anonymous-1007/EPE/1,1,0,46379.33946299995,46379.33946299995,46379.33946299995,46379.33946299995,129.0,0.0005409433811008965,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/cart/add/anonymous-101/EPE/1,1,0,235.65123299999868,235.65123299999868,235.65123299999868,235.65123299999868,129.0,0.0005409433811008965,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,548.1092280000439,548.1092280000439,548.1092280000439,548.1092280000439,179.0,0.0005409433811008965,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/cart/add/anonymous-1010/EMM/1,1,0,21175.036789999922,21175.036789999922,21175.036789999922,21175.036789999922,137.0,0.0005409433811008965,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
