Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1643325263,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1643325264,10,,Aggregated,0.000000,0.000000,13,24,32,48,82,210,530,530,530,530,530,43,0,13,44.42795953488797,5.254026999978123,529.6204300000227,55066.558139534885
1643325265,20,,Aggregated,0.000000,0.000000,19,32,45,55,210,500,710,790,1000,1000,1000,110,0,19,82.47567664545478,4.196621999994932,1015.5954339999766,138871.96363636362
1643325266,30,,Aggregated,42.000000,0.000000,20,31,48,62,210,490,680,790,1000,1000,1000,182,0,20,75.71441157692146,4.196621999994932,1015.5954339999766,161065.0879120879
1643325267,40,,Aggregated,37.000000,0.000000,20,36,53,76,210,490,710,1000,2100,2100,2100,247,0,20,87.30917295546412,4.196621999994932,2136.483356000042,165172.8744939271
1643325268,50,,Aggregated,54.000000,0.000000,19,27,40,55,170,330,680,790,2100,2100,2100,327,0,19,73.26607505810259,3.9231200000244826,2136.483356000042,161203.0519877676
1643325269,60,,Aggregated,49.250000,0.000000,19,29,42,62,210,570,720,1100,4000,4000,4000,361,0,19,97.01468674515115,3.9231200000244826,4047.870709999984,182385.63434903047
1643325270,70,,Aggregated,61.200000,0.000000,16,23,38,47,180,500,720,1100,4300,4300,4300,449,0,16,91.28806652561131,3.3833169999866186,4289.355325000031,159326.14922048998
1643325271,80,,Aggregated,54.666667,0.000000,17,23,40,49,150,490,710,1100,4900,4900,4900,521,0,17,95.98277535892456,3.3833169999866186,4920.9355109999815,158318.42610364684
1643325273,90,,Aggregated,52.142857,0.000000,18,25,40,50,150,450,710,1100,6400,6400,6400,605,0,18,101.91744784793352,3.3833169999866186,6351.2292519999955,153665.52892561984
1643325274,100,,Aggregated,57.888889,0.000000,19,27,41,55,170,450,680,1100,7000,7000,7000,723,0,19,103.57924333333317,3.3833169999866186,7001.616339000009,141772.00414937758
1643325275,110,,Aggregated,60.500000,0.000000,20,38,53,69,200,430,680,1100,7600,7600,7600,821,0,20,115.16800953714959,3.3833169999866186,7600.497227000005,138034.47624847747
1643325276,120,,Aggregated,60.500000,0.000000,21,45,61,90,190,430,710,2100,8400,8400,8400,879,0,21,126.05855652104626,3.3833169999866186,8408.54778199997,149708.55972696247
1643325277,130,,Aggregated,68.000000,0.000000,22,46,66,97,210,480,1100,4000,9400,9400,9400,887,0,22,149.09578464599727,3.3833169999866186,9365.123765000022,178655.82638105974
